[2025-08-23 19:10:20.550] [OUT] {"outlet":{"OutletKeyService":{"outletid":"1hugdxmjczoe21vm8x6kz0zx82"}}}
[2025-08-23 19:10:21.324] [OUT] {"csb":{"name":"init","token":"85372212-5e58-4988-9df1-668199ec69e5","apptype":"OptaWidgetsV3","version":"3.248.1","referer":"pub.fotmob.com","topReferer":"www.fotmob.com"}}
[2025-08-23 19:10:21.983] [OUT] {"csb":{"name":"subscribe","messagetype":["POEM"],"sendLastData":true,"eventuuid":"ct1wksqog4t3a6w7kt2fc4jys"}}
[2025-08-23 19:11:15.677] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":117,"TS":"2025-08-23T14:41:12.798","TID":1,"PID":1,"M":10,"S":56,"PLID":160541,"PLUUID":"2p48525x4ap9m81g6ode51cyd","PN":"N. Stark","TEAMID":171,"TUUID":"cu0eztmjcsbydyp53aleznorw","O":1,"X":35.5,"Y":10.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Right"]},{"I":140,"V":["54.9"]},{"I":141,"V":["9.4"]},{"I":212,"V":["20.37919"]},{"I":213,"V":["6.25315"]},{"I":318,"V":["0.00007397"]}]}}}
[2025-08-23 19:11:18.325] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":89,"TS":"2025-08-23T14:41:18.60","TID":45,"PID":1,"M":11,"S":1,"PLID":573379,"PLUUID":"684cguhktvth28ql6qgvvmcyc","PN":"F. Cha\u00efbi","TEAMID":159,"TUUID":"c5hderjlkcoaze51e5wgvptk","O":0,"X":57.2,"Y":87.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Left"]},{"I":285,"V":["NULL"]}]}}}
[2025-08-23 19:11:18.927] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":118,"TS":"2025-08-23T14:41:15.310","TID":1,"PID":1,"M":10,"S":58,"PLID":565380,"PLUUID":"68rs7juin2mmdok00hw6uvre2","PN":"J. Njinmah","TEAMID":171,"TUUID":"cu0eztmjcsbydyp53aleznorw","O":1,"X":54,"Y":3.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["43.6"]},{"I":141,"V":["4.7"]},{"I":212,"V":["10.93714"]},{"I":213,"V":["3.085607"]},{"I":318,"V":["0.00002207"]}]}}}
[2025-08-23 19:11:19.753] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":119,"TS":"2025-08-23T14:41:18.733","TID":3,"PID":1,"M":11,"S":2,"PLID":518758,"PLUUID":"3tpfqju821lze7myekb40kefo","PN":"J. Malatini","TEAMID":171,"TUUID":"cu0eztmjcsbydyp53aleznorw","O":1,"X":48.1,"Y":1.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":286,"V":["NULL"]}]}}}
[2025-08-23 19:11:21.136] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":120,"TS":"2025-08-23T14:41:19.374","TID":1,"PID":1,"M":11,"S":2,"PLID":518758,"PLUUID":"3tpfqju821lze7myekb40kefo","PN":"J. Malatini","TEAMID":171,"TUUID":"cu0eztmjcsbydyp53aleznorw","O":1,"X":57.1,"Y":5.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["57.8"]},{"I":141,"V":["21.8"]},{"I":212,"V":["11.24405"]},{"I":213,"V":["1.505382"]},{"I":318,"V":["0.00021072"]}]}}}
[2025-08-23 19:11:23.194] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":121,"TS":"2025-08-23T14:41:20.829","TID":1,"PID":1,"M":11,"S":4,"PLID":96601,"PLUUID":"26nfmfc8p2doisd9p8vtd33dh","PN":"L. Bittencourt","TEAMID":171,"TUUID":"cu0eztmjcsbydyp53aleznorw","O":1,"X":57.8,"Y":23.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":155,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":140,"V":["69.7"]},{"I":141,"V":["40.1"]},{"I":212,"V":["16.65765"]},{"I":213,"V":["0.7225742"]},{"I":318,"V":["0.00224634"]}]}}}
[2025-08-23 19:11:23.335] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":122,"TS":"2025-08-23T14:41:22.926","TID":86,"PID":1,"M":11,"S":6,"PLID":474605,"PLUUID":"6qj9kdcrum9mqla72ytoojje1","PN":"M. Gr\u00fcll","TEAMID":171,"TUUID":"cu0eztmjcsbydyp53aleznorw","O":1,"X":69.4,"Y":40,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[]}}}
[2025-08-23 19:11:26.069] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":90,"TS":"2025-08-23T14:41:25.836","TID":86,"PID":1,"M":11,"S":9,"PLID":224209,"PLUUID":"dn3llv8xjdbbndltfym5ar561","PN":"R. Kristensen","TEAMID":159,"TUUID":"c5hderjlkcoaze51e5wgvptk","O":1,"X":30.6,"Y":56.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[]}}}
[2025-08-23 19:11:29.330] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":91,"TS":"2025-08-23T14:41:28.907","TID":78,"PID":1,"M":11,"S":12,"PLID":224209,"PLUUID":"dn3llv8xjdbbndltfym5ar561","PN":"R. Kristensen","TEAMID":159,"TUUID":"c5hderjlkcoaze51e5wgvptk","O":1,"X":30.6,"Y":56.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[]}}}
[2025-08-23 19:11:32.197] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":91,"TS":"2025-08-23T14:41:28.907","TID":17,"PID":1,"M":11,"S":12,"PLID":224209,"PLUUID":"dn3llv8xjdbbndltfym5ar561","PN":"R. Kristensen","TEAMID":159,"TUUID":"c5hderjlkcoaze51e5wgvptk","O":1,"X":30.6,"Y":56.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":31,"V":["NULL"]},{"I":393,"V":["NULL"]},{"I":13,"V":["243"]},{"I":55,"V":["90"]},{"I":368,"V":["1l46zwdy0kjlblf1gm3543f9"]}]}}}
[2025-08-23 19:11:48.640] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":92,"TS":"2025-08-23T14:41:48.362","TID":61,"PID":1,"M":11,"S":31,"PLID":193645,"PLUUID":"1zumt9vkrqd8d3p3eqtwezi6t","PN":"R. Koch","TEAMID":159,"TUUID":"c5hderjlkcoaze51e5wgvptk","O":1,"X":93,"Y":55.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]}]}}}
[2025-08-23 19:12:05.801] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":64,"TS":"2025-08-23T14:37:13.213","TID":15,"PID":1,"M":6,"S":56,"PLID":225485,"PLUUID":"d3tfdqfnab7bqxfdh3399y06i","PN":"J. Burkardt","TEAMID":159,"TUUID":"c5hderjlkcoaze51e5wgvptk","O":1,"X":97.6,"Y":41.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":233,"V":["65"]},{"I":372,"V":["1jawzzqrharex8xx0mdyro89b"]},{"I":22,"V":["NULL"]},{"I":20,"V":["NULL"]},{"I":60,"V":["NULL"]},{"I":78,"V":["NULL"]},{"I":29,"V":["NULL"]},{"I":154,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":55,"V":["63"]},{"I":368,"V":["cql8wtq9md5k5krdqou4s7xsu"]},{"I":102,"V":["49.1"]},{"I":103,"V":["19"]},{"I":321,"V":["0.0977"]},{"I":328,"V":["NULL"]},{"I":327,"V":["2"]},{"I":326,"V":["3"]},{"I":100,"V":["NULL"]},{"I":82,"V":["NULL"]},{"I":146,"V":["98.5"]},{"I":147,"V":["44.2"]},{"I":230,"V":["0.206730769230769"]},{"I":231,"V":["52.5277777777778"]}]}}}
[2025-08-23 19:12:26.533] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":123,"TS":"2025-08-23T14:42:25.693","TID":39,"PID":1,"M":12,"S":9,"PLID":474605,"PLUUID":"6qj9kdcrum9mqla72ytoojje1","PN":"M. Gr\u00fcll","TEAMID":171,"TUUID":"cu0eztmjcsbydyp53aleznorw","O":1,"X":74.1,"Y":35.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":26,"V":["NULL"]},{"I":18,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":327,"V":["2"]},{"I":326,"V":["1"]},{"I":249,"V":["NULL"]}]}}}
[2025-08-23 19:12:27.935] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":93,"TS":"2025-08-23T14:42:27.626","TID":63,"PID":1,"M":12,"S":11,"PLID":155465,"PLUUID":"7llxni56g8q0yt33vhp1pt3o5","PN":"M. Zetterer","TEAMID":159,"TUUID":"c5hderjlkcoaze51e5wgvptk","O":0,"X":0.8,"Y":49.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":173,"V":["NULL"]},{"I":178,"V":["NULL"]},{"I":182,"V":["NULL"]},{"I":56,"V":["Back"]}]}}}
[2025-08-23 19:12:29.930] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":94,"TS":"2025-08-23T14:42:29.596","TID":49,"PID":1,"M":12,"S":13,"PLID":225485,"PLUUID":"d3tfdqfnab7bqxfdh3399y06i","PN":"J. Burkardt","TEAMID":159,"TUUID":"c5hderjlkcoaze51e5wgvptk","O":1,"X":3.3,"Y":19.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[]}}}
[2025-08-23 19:12:30.530] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":123,"TS":"2025-08-23T14:42:25.693","TID":15,"PID":1,"M":12,"S":9,"PLID":474605,"PLUUID":"6qj9kdcrum9mqla72ytoojje1","PN":"M. Gr\u00fcll","TEAMID":171,"TUUID":"cu0eztmjcsbydyp53aleznorw","O":1,"X":74.1,"Y":35.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":26,"V":["NULL"]},{"I":20,"V":["NULL"]},{"I":18,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":321,"V":["0.0618"]},{"I":327,"V":["2"]},{"I":326,"V":["1"]}]}}}
[2025-08-23 19:12:30.717] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":95,"TS":"2025-08-23T14:42:29.851","TID":1,"PID":1,"M":12,"S":13,"PLID":225485,"PLUUID":"d3tfdqfnab7bqxfdh3399y06i","PN":"J. Burkardt","TEAMID":159,"TUUID":"c5hderjlkcoaze51e5wgvptk","O":1,"X":3.3,"Y":19.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["10.8"]},{"I":141,"V":["24.6"]},{"I":212,"V":["8.550898"]},{"I":213,"V":["0.4002697"]},{"I":318,"V":["0.00000036"]}]}}}
[2025-08-23 19:12:31.325] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":96,"TS":"2025-08-23T14:42:30.443","TID":1,"PID":1,"M":12,"S":13,"PLID":573379,"PLUUID":"684cguhktvth28ql6qgvvmcyc","PN":"F. Cha\u00efbi","TEAMID":159,"TUUID":"c5hderjlkcoaze51e5wgvptk","O":0,"X":10.8,"Y":24.6,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["18.2"]},{"I":141,"V":["-1.0"]},{"I":212,"V":["19.06335"]},{"I":213,"V":["5.132201"]}]}}}
[2025-08-23 19:12:31.525] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":97,"TS":"2025-08-23T14:42:31.3","TID":5,"PID":1,"M":12,"S":14,"PLID":573379,"PLUUID":"684cguhktvth28ql6qgvvmcyc","PN":"F. Cha\u00efbi","TEAMID":159,"TUUID":"c5hderjlkcoaze51e5wgvptk","O":0,"X":18.2,"Y":-1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":347,"V":["NULL"]}]}}}
[2025-08-23 19:12:33.332] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":123,"TS":"2025-08-23T14:42:25.693","TID":15,"PID":1,"M":12,"S":9,"PLID":474605,"PLUUID":"6qj9kdcrum9mqla72ytoojje1","PN":"M. Gr\u00fcll","TEAMID":171,"TUUID":"cu0eztmjcsbydyp53aleznorw","O":1,"X":74.1,"Y":35.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":26,"V":["NULL"]},{"I":20,"V":["NULL"]},{"I":18,"V":["NULL"]},{"I":76,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":102,"V":["53.475935828877"]},{"I":103,"V":["6.96202531645569"]},{"I":321,"V":["0.0618"]},{"I":327,"V":["3"]},{"I":326,"V":["1"]},{"I":458,"V":["NULL"]},{"I":146,"V":["98.4951923076923"]},{"I":147,"V":["48.7361111111111"]},{"I":322,"V":["0.3104"]}]}}}
[2025-08-23 19:12:35.433] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":93,"TS":"2025-08-23T14:42:27.626","TID":10,"PID":1,"M":12,"S":11,"PLID":155465,"PLUUID":"7llxni56g8q0yt33vhp1pt3o5","PN":"M. Zetterer","TEAMID":159,"TUUID":"c5hderjlkcoaze51e5wgvptk","O":1,"X":0.8,"Y":49.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":174,"V":["NULL"]},{"I":179,"V":["NULL"]},{"I":182,"V":["NULL"]},{"I":56,"V":["Back"]}]}}}
[2025-08-23 19:12:35.626] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":123,"TS":"2025-08-23T14:42:25.693","TID":15,"PID":1,"M":12,"S":9,"PLID":474605,"PLUUID":"6qj9kdcrum9mqla72ytoojje1","PN":"M. Gr\u00fcll","TEAMID":171,"TUUID":"cu0eztmjcsbydyp53aleznorw","O":1,"X":74.1,"Y":35.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":233,"V":["93"]},{"I":372,"V":["bg69xbzvcind33v1cbtoxmr3j"]},{"I":26,"V":["NULL"]},{"I":20,"V":["NULL"]},{"I":18,"V":["NULL"]},{"I":76,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":102,"V":["53.475935828877"]},{"I":103,"V":["6.96202531645569"]},{"I":321,"V":["0.0618"]},{"I":327,"V":["3"]},{"I":326,"V":["1"]},{"I":458,"V":["NULL"]},{"I":146,"V":["98.4951923076923"]},{"I":147,"V":["48.7361111111111"]},{"I":322,"V":["0.3104"]}]}}}
[2025-08-23 19:12:35.860] [POEM] {"data":{"OID":2569047,"UUID":"ct1wksqog4t3a6w7kt2fc4jys","POEM":{"EVID":93,"TS":"2025-08-23T14:42:25.793","TID":10,"PID":1,"M":12,"S":9,"PLID":155465,"PLUUID":"7llxni56g8q0yt33vhp1pt3o5","PN":"M. Zetterer","TEAMID":159,"TUUID":"c5hderjlkcoaze51e5wgvptk","O":1,"X":0.8,"Y":49.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":174,"V":["NULL"]},{"I":179,"V":["NULL"]},{"I":182,"V":["NULL"]},{"I":233,"V":["123"]},{"I":372,"V":["6a39g7p6031qa5phuay13y8t1"]},{"I":56,"V":["Back"]}]}}}
