[2025-08-23 22:03:54.108] [OUT] {"outlet":{"OutletKeyService":{"outletid":"1hugdxmjczoe21vm8x6kz0zx82"}}}
[2025-08-23 22:03:54.770] [OUT] {"csb":{"name":"init","token":"85372212-5e58-4988-9df1-668199ec69e5","apptype":"OptaWidgetsV3","version":"3.248.1","referer":"pub.fotmob.com","topReferer":"www.fotmob.com"}}
[2025-08-23 22:03:55.430] [OUT] {"csb":{"name":"subscribe","messagetype":["POEM"],"sendLastData":true,"eventuuid":"14qo3uypv7lmce0ewcvxe89w4"}}
[2025-08-23 22:04:21.595] [POEM] {"data":{"OID":2561906,"UUID":"14qo3uypv7lmce0ewcvxe89w4","POEM":{"EVID":37,"TS":"2025-08-23T17:34:19.818","TID":1,"PID":1,"M":3,"S":55,"PLID":466525,"PLUUID":"az7owi5t4bclkamjsjuyxzv1l","PN":"A. Stach","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":66.6,"Y":88.6,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Left"]},{"I":140,"V":["65.7"]},{"I":141,"V":["94.5"]},{"I":212,"V":["4.121792"]},{"I":213,"V":["1.802123"]},{"I":318,"V":["0.00016412"]}]}}}
[2025-08-23 22:04:21.650] [POEM] {"data":{"OID":2561906,"UUID":"14qo3uypv7lmce0ewcvxe89w4","POEM":{"EVID":38,"TS":"2025-08-23T17:34:20.826","TID":3,"PID":1,"M":3,"S":56,"PLID":243526,"PLUUID":"fij46jr9fq43444gr1y8tl9l","PN":"G. Gudmundsson","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":0,"X":66,"Y":94.5,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Left"]},{"I":286,"V":["NULL"]}]}}}
[2025-08-23 22:04:27.088] [POEM] {"data":{"OID":2561906,"UUID":"14qo3uypv7lmce0ewcvxe89w4","POEM":{"EVID":54,"TS":"2025-08-23T17:34:24.398","TID":1,"PID":1,"M":3,"S":59,"PLID":445122,"PLUUID":"aqlakf0mo95rlktf6xdbaegh5","PN":"J. Timber","TEAMID":3,"TUUID":"4dsgumo7d4zupm2ugsvm4zm4d","O":1,"X":21.5,"Y":13.5,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["27.5"]},{"I":141,"V":["34.3"]},{"I":212,"V":["15.48363"]},{"I":213,"V":["1.151759"]},{"I":318,"V":["0.00000311"]}]}}}
[2025-08-23 22:04:28.276] [POEM] {"data":{"OID":2561906,"UUID":"14qo3uypv7lmce0ewcvxe89w4","POEM":{"EVID":55,"TS":"2025-08-23T17:34:26.846","TID":1,"PID":1,"M":4,"S":2,"PLID":226597,"PLUUID":"8libvn3hxypz8x7gm4mr7kj55","PN":"Gabriel Magalh\u00e3es","TEAMID":3,"TUUID":"4dsgumo7d4zupm2ugsvm4zm4d","O":1,"X":27.5,"Y":34.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":155,"V":["NULL"]},{"I":56,"V":["Back"]},{"I":140,"V":["47.3"]},{"I":141,"V":["28.9"]},{"I":212,"V":["21.11179"]},{"I":213,"V":["6.108365"]},{"I":318,"V":["0.00003928"]}]}}}
[2025-08-23 22:04:29.099] [POEM] {"data":{"OID":2561906,"UUID":"14qo3uypv7lmce0ewcvxe89w4","POEM":{"EVID":56,"TS":"2025-08-23T17:34:27.949","TID":1,"PID":1,"M":4,"S":3,"PLID":224117,"PLUUID":"73xu8dfkmgivh8l71hkqfe6sp","PN":"V. Gy\u00f6keres","TEAMID":3,"TUUID":"4dsgumo7d4zupm2ugsvm4zm4d","O":0,"X":47.3,"Y":28.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":3,"V":["NULL"]},{"I":56,"V":["Back"]},{"I":140,"V":["47.3"]},{"I":141,"V":["28.9"]},{"I":212,"V":["0"]},{"I":213,"V":["0"]}]}}}
[2025-08-23 22:04:29.881] [POEM] {"data":{"OID":2561906,"UUID":"14qo3uypv7lmce0ewcvxe89w4","POEM":{"EVID":39,"TS":"2025-08-23T17:34:29.641","TID":61,"PID":1,"M":4,"S":4,"PLID":200617,"PLUUID":"dkwkmrmpb7rq4e660efcu5hat","PN":"D. James","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":0,"X":55.5,"Y":50.5,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]}]}}}
[2025-08-23 22:04:36.306] [POEM] {"data":{"OID":2561906,"UUID":"14qo3uypv7lmce0ewcvxe89w4","POEM":{"EVID":57,"TS":"2025-08-23T17:34:32.494","TID":1,"PID":1,"M":4,"S":7,"PLID":204480,"PLUUID":"6jgocc12bori2wygyu07c082x","PN":"D. Rice","TEAMID":3,"TUUID":"4dsgumo7d4zupm2ugsvm4zm4d","O":1,"X":63.5,"Y":48.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Left"]},{"I":140,"V":["71.6"]},{"I":141,"V":["81.2"]},{"I":212,"V":["23.61661"]},{"I":213,"V":["1.202391"]},{"I":318,"V":["0.00107464"]}]}}}
[2025-08-23 22:04:38.722] [POEM] {"data":{"OID":2561906,"UUID":"14qo3uypv7lmce0ewcvxe89w4","POEM":{"EVID":58,"TS":"2025-08-23T17:34:35.903","TID":1,"PID":1,"M":4,"S":11,"PLID":248857,"PLUUID":"e3il1t1s5lrn4g8t85fcm40oa","PN":"N. Madueke","TEAMID":3,"TUUID":"4dsgumo7d4zupm2ugsvm4zm4d","O":1,"X":75.6,"Y":76.6,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["73"]},{"I":141,"V":["66.1"]},{"I":212,"V":["7.644115"]},{"I":213,"V":["4.347188"]},{"I":318,"V":["0.00248129"]}]}}}
[2025-08-23 22:04:39.089] [POEM] {"data":{"OID":2561906,"UUID":"14qo3uypv7lmce0ewcvxe89w4","POEM":{"EVID":59,"TS":"2025-08-23T17:34:37.774","TID":39,"PID":1,"M":4,"S":13,"PLID":184029,"PLUUID":"b1lcxeihx8z6pfv1jef4j5jh1","PN":"M. \u00d8degaard","TEAMID":3,"TUUID":"4dsgumo7d4zupm2ugsvm4zm4d","O":1,"X":72.9,"Y":67.6,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":22,"V":["NULL"]},{"I":18,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":327,"V":["2"]},{"I":326,"V":["2"]},{"I":250,"V":["NULL"]}]}}}
[2025-08-23 22:04:39.694] [POEM] {"data":{"OID":2561906,"UUID":"14qo3uypv7lmce0ewcvxe89w4","POEM":{"EVID":40,"TS":"2025-08-23T17:34:39.482","TID":10,"PID":1,"M":4,"S":14,"PLID":214225,"PLUUID":"otan631zzfnq2sektkl3ywo9","PN":"J. Rodon","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":12.1,"Y":42.1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":94,"V":["NULL"]},{"I":56,"V":["Back"]}]}}}
[2025-08-23 22:04:41.720] [POEM] {"data":{"OID":2561906,"UUID":"14qo3uypv7lmce0ewcvxe89w4","POEM":{"EVID":41,"TS":"2025-08-23T17:34:41.450","TID":49,"PID":1,"M":4,"S":16,"PLID":248056,"PLUUID":"28ucbvor6b0yxreoieehudfc9","PN":"A. Tanaka","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":29.7,"Y":28,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[]}}}
[2025-08-23 22:04:43.308] [POEM] {"data":{"OID":2561906,"UUID":"14qo3uypv7lmce0ewcvxe89w4","POEM":{"EVID":60,"TS":"2025-08-23T17:34:43.55","TID":45,"PID":1,"M":4,"S":18,"PLID":226597,"PLUUID":"8libvn3hxypz8x7gm4mr7kj55","PN":"Gabriel Magalh\u00e3es","TEAMID":3,"TUUID":"4dsgumo7d4zupm2ugsvm4zm4d","O":0,"X":70.2,"Y":87.1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Left"]},{"I":286,"V":["NULL"]}]}}}
[2025-08-23 22:04:45.970] [POEM] {"data":{"OID":2561906,"UUID":"14qo3uypv7lmce0ewcvxe89w4","POEM":{"EVID":61,"TS":"2025-08-23T17:34:45.167","TID":7,"PID":1,"M":4,"S":20,"PLID":184029,"PLUUID":"b1lcxeihx8z6pfv1jef4j5jh1","PN":"M. \u00d8degaard","TEAMID":3,"TUUID":"4dsgumo7d4zupm2ugsvm4zm4d","O":1,"X":69.9,"Y":89.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Left"]},{"I":286,"V":["NULL"]}]}}}
[2025-08-23 22:04:46.186] [POEM] {"data":{"OID":2561906,"UUID":"14qo3uypv7lmce0ewcvxe89w4","POEM":{"EVID":62,"TS":"2025-08-23T17:34:45.646","TID":49,"PID":1,"M":4,"S":20,"PLID":184029,"PLUUID":"b1lcxeihx8z6pfv1jef4j5jh1","PN":"M. \u00d8degaard","TEAMID":3,"TUUID":"4dsgumo7d4zupm2ugsvm4zm4d","O":1,"X":70,"Y":84.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[]}}}
[2025-08-23 22:04:48.412] [POEM] {"data":{"OID":2561906,"UUID":"14qo3uypv7lmce0ewcvxe89w4","POEM":{"EVID":42,"TS":"2025-08-23T17:34:48.105","TID":50,"PID":1,"M":4,"S":23,"PLID":248056,"PLUUID":"28ucbvor6b0yxreoieehudfc9","PN":"A. Tanaka","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":0,"X":32.5,"Y":11.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":285,"V":["NULL"]}]}}}
[2025-08-23 22:04:52.491] [POEM] {"data":{"OID":2561906,"UUID":"14qo3uypv7lmce0ewcvxe89w4","POEM":{"EVID":63,"TS":"2025-08-23T17:34:49.918","TID":1,"PID":1,"M":4,"S":25,"PLID":184029,"PLUUID":"b1lcxeihx8z6pfv1jef4j5jh1","PN":"M. \u00d8degaard","TEAMID":3,"TUUID":"4dsgumo7d4zupm2ugsvm4zm4d","O":1,"X":79.7,"Y":79.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Left"]},{"I":140,"V":["83.1"]},{"I":141,"V":["95.7"]},{"I":212,"V":["11.32159"]},{"I":213,"V":["1.249995"]},{"I":318,"V":["0.00077287"]}]}}}
[2025-08-23 22:04:55.246] [POEM] {"data":{"OID":2561906,"UUID":"14qo3uypv7lmce0ewcvxe89w4","POEM":{"EVID":64,"TS":"2025-08-23T17:34:52.207","TID":1,"PID":1,"M":4,"S":27,"PLID":248857,"PLUUID":"e3il1t1s5lrn4g8t85fcm40oa","PN":"N. Madueke","TEAMID":3,"TUUID":"4dsgumo7d4zupm2ugsvm4zm4d","O":1,"X":82.7,"Y":95.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Left"]},{"I":140,"V":["73.4"]},{"I":141,"V":["90.8"]},{"I":212,"V":["10.25376"]},{"I":213,"V":["3.451593"]},{"I":318,"V":["0.0004952"]}]}}}
[2025-08-23 22:04:59.358] [POEM] {"data":{"OID":2561906,"UUID":"14qo3uypv7lmce0ewcvxe89w4","POEM":{"EVID":65,"TS":"2025-08-23T17:34:54.847","TID":1,"PID":1,"M":4,"S":30,"PLID":226597,"PLUUID":"8libvn3hxypz8x7gm4mr7kj55","PN":"Gabriel Magalh\u00e3es","TEAMID":3,"TUUID":"4dsgumo7d4zupm2ugsvm4zm4d","O":1,"X":73.4,"Y":90.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Left"]},{"I":140,"V":["63.3"]},{"I":141,"V":["80.3"]},{"I":212,"V":["12.78458"]},{"I":213,"V":["3.734151"]},{"I":318,"V":["0.000349"]}]}}}
[2025-08-23 22:05:02.157] [POEM] {"data":{"OID":2561906,"UUID":"14qo3uypv7lmce0ewcvxe89w4","POEM":{"EVID":59,"TS":"2025-08-23T17:34:37.774","TID":15,"PID":1,"M":4,"S":13,"PLID":184029,"PLUUID":"b1lcxeihx8z6pfv1jef4j5jh1","PN":"M. \u00d8degaard","TEAMID":3,"TUUID":"4dsgumo7d4zupm2ugsvm4zm4d","O":1,"X":74.1,"Y":62.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":22,"V":["NULL"]},{"I":72,"V":["NULL"]},{"I":18,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":321,"V":["0.0256"]},{"I":327,"V":["2"]},{"I":326,"V":["2"]},{"I":82,"V":["NULL"]}]}}}
[2025-08-23 22:05:03.377] [POEM] {"data":{"OID":2561906,"UUID":"14qo3uypv7lmce0ewcvxe89w4","POEM":{"EVID":66,"TS":"2025-08-23T17:34:59.136","TID":1,"PID":1,"M":4,"S":34,"PLID":466075,"PLUUID":"dhs8pujk55ewcis7y5alchu22","PN":"R. Calafiori","TEAMID":3,"TUUID":"4dsgumo7d4zupm2ugsvm4zm4d","O":1,"X":60.9,"Y":69.1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["55.5"]},{"I":141,"V":["41.9"]},{"I":212,"V":["19.34557"]},{"I":213,"V":["4.414931"]},{"I":318,"V":["0.000278"]}]}}}
[2025-08-23 22:05:05.962] [POEM] {"data":{"OID":2561906,"UUID":"14qo3uypv7lmce0ewcvxe89w4","POEM":{"EVID":67,"TS":"2025-08-23T17:35:03.119","TID":1,"PID":1,"M":4,"S":38,"PLID":481655,"PLUUID":"80aqmv4ht6rs1812qrr5j8kix","PN":"Mart\u00edn Zubimendi","TEAMID":3,"TUUID":"4dsgumo7d4zupm2ugsvm4zm4d","O":1,"X":57,"Y":36.6,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["56.6"]},{"I":141,"V":["57.3"]},{"I":212,"V":["14.08226"]},{"I":213,"V":["1.600626"]},{"I":318,"V":["0.00027495"]}]}}}
[2025-08-23 22:05:07.987] [POEM] {"data":{"OID":2561906,"UUID":"14qo3uypv7lmce0ewcvxe89w4","POEM":{"EVID":68,"TS":"2025-08-23T17:35:05.759","TID":1,"PID":1,"M":4,"S":41,"PLID":204480,"PLUUID":"6jgocc12bori2wygyu07c082x","PN":"D. Rice","TEAMID":3,"TUUID":"4dsgumo7d4zupm2ugsvm4zm4d","O":1,"X":56.4,"Y":61.2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["60.5"]},{"I":141,"V":["73.3"]},{"I":212,"V":["9.286173"]},{"I":213,"V":["1.088751"]},{"I":318,"V":["0.00028379"]}]}}}
[2025-08-23 22:05:10.383] [POEM] {"data":{"OID":2561906,"UUID":"14qo3uypv7lmce0ewcvxe89w4","POEM":{"EVID":59,"TS":"2025-08-23T17:34:37.774","TID":15,"PID":1,"M":4,"S":13,"PLID":184029,"PLUUID":"b1lcxeihx8z6pfv1jef4j5jh1","PN":"M. \u00d8degaard","TEAMID":3,"TUUID":"4dsgumo7d4zupm2ugsvm4zm4d","O":1,"X":74.1,"Y":62.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":22,"V":["NULL"]},{"I":72,"V":["NULL"]},{"I":18,"V":["NULL"]},{"I":80,"V":["NULL"]},{"I":29,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":55,"V":["58"]},{"I":368,"V":["ejkvi3iiywco8u9d7t8cd4s2t"]},{"I":102,"V":["47.2846086357085"]},{"I":103,"V":["19"]},{"I":215,"V":["NULL"]},{"I":321,"V":["0.0256"]},{"I":327,"V":["3"]},{"I":326,"V":["3"]},{"I":82,"V":["NULL"]},{"I":146,"V":["86.0336538461538"]},{"I":147,"V":["55.5972222222222"]},{"I":230,"V":["98.3653846153846"]},{"I":231,"V":["50.5416666666667"]}]}}}
[2025-08-23 22:05:10.563] [POEM] {"data":{"OID":2561906,"UUID":"14qo3uypv7lmce0ewcvxe89w4","POEM":{"EVID":59,"TS":"2025-08-23T17:34:37.774","TID":15,"PID":1,"M":4,"S":13,"PLID":184029,"PLUUID":"b1lcxeihx8z6pfv1jef4j5jh1","PN":"M. \u00d8degaard","TEAMID":3,"TUUID":"4dsgumo7d4zupm2ugsvm4zm4d","O":1,"X":74.1,"Y":62.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":233,"V":["40"]},{"I":372,"V":["25ygsmc7x0jecri0ld2wbfpw3"]},{"I":22,"V":["NULL"]},{"I":72,"V":["NULL"]},{"I":18,"V":["NULL"]},{"I":80,"V":["NULL"]},{"I":29,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":55,"V":["58"]},{"I":368,"V":["ejkvi3iiywco8u9d7t8cd4s2t"]},{"I":102,"V":["47.2846086357085"]},{"I":103,"V":["19"]},{"I":215,"V":["NULL"]},{"I":321,"V":["0.0256"]},{"I":327,"V":["3"]},{"I":326,"V":["3"]},{"I":82,"V":["NULL"]},{"I":146,"V":["86.0336538461538"]},{"I":147,"V":["55.5972222222222"]},{"I":230,"V":["98.3653846153846"]},{"I":231,"V":["50.5416666666667"]}]}}}
[2025-08-23 22:05:10.786] [POEM] {"data":{"OID":2561906,"UUID":"14qo3uypv7lmce0ewcvxe89w4","POEM":{"EVID":40,"TS":"2025-08-23T17:34:37.874","TID":10,"PID":1,"M":4,"S":13,"PLID":214225,"PLUUID":"otan631zzfnq2sektkl3ywo9","PN":"J. Rodon","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":14,"Y":44.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":94,"V":["NULL"]},{"I":233,"V":["59"]},{"I":372,"V":["b7p9i8fnq4vzg9iocttrtyu1"]},{"I":56,"V":["Back"]}]}}}
[2025-08-23 22:05:11.361] [POEM] {"data":{"OID":2561906,"UUID":"14qo3uypv7lmce0ewcvxe89w4","POEM":{"EVID":69,"TS":"2025-08-23T17:35:07.679","TID":1,"PID":1,"M":4,"S":42,"PLID":184029,"PLUUID":"b1lcxeihx8z6pfv1jef4j5jh1","PN":"M. \u00d8degaard","TEAMID":3,"TUUID":"4dsgumo7d4zupm2ugsvm4zm4d","O":1,"X":61.7,"Y":75.6,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Left"]},{"I":140,"V":["70.6"]},{"I":141,"V":["97.4"]},{"I":212,"V":["17.5237"]},{"I":213,"V":["1.008326"]},{"I":318,"V":["0.0002667"]}]}}}
[2025-08-23 22:05:14.788] [POEM] {"data":{"OID":2561906,"UUID":"14qo3uypv7lmce0ewcvxe89w4","POEM":{"EVID":59,"TS":"2025-08-23T17:34:37.774","TID":15,"PID":1,"M":4,"S":13,"PLID":184029,"PLUUID":"b1lcxeihx8z6pfv1jef4j5jh1","PN":"M. \u00d8degaard","TEAMID":3,"TUUID":"4dsgumo7d4zupm2ugsvm4zm4d","O":1,"X":74.1,"Y":62.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":320,"V":["4"]},{"I":233,"V":["40"]},{"I":372,"V":["25ygsmc7x0jecri0ld2wbfpw3"]},{"I":22,"V":["NULL"]},{"I":72,"V":["NULL"]},{"I":18,"V":["NULL"]},{"I":80,"V":["NULL"]},{"I":29,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":55,"V":["58"]},{"I":368,"V":["ejkvi3iiywco8u9d7t8cd4s2t"]},{"I":102,"V":["47.2846086357085"]},{"I":103,"V":["19"]},{"I":215,"V":["NULL"]},{"I":321,"V":["0.0256"]},{"I":327,"V":["3"]},{"I":326,"V":["3"]},{"I":82,"V":["NULL"]},{"I":146,"V":["86.0336538461538"]},{"I":147,"V":["55.5972222222222"]},{"I":230,"V":["98.3653846153846"]},{"I":231,"V":["50.5416666666667"]}]}}}
[2025-08-23 22:05:14.830] [POEM] {"data":{"OID":2561906,"UUID":"14qo3uypv7lmce0ewcvxe89w4","POEM":{"EVID":40,"TS":"2025-08-23T17:34:37.874","TID":10,"PID":1,"M":4,"S":13,"PLID":214225,"PLUUID":"otan631zzfnq2sektkl3ywo9","PN":"J. Rodon","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":12.5,"Y":46.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":94,"V":["NULL"]},{"I":233,"V":["59"]},{"I":372,"V":["b7p9i8fnq4vzg9iocttrtyu1"]},{"I":56,"V":["Back"]}]}}}
