[2025-08-23 22:14:37.940] [OUT] {"outlet":{"OutletKeyService":{"outletid":"1hugdxmjczoe21vm8x6kz0zx82"}}}
[2025-08-23 22:14:38.606] [OUT] {"csb":{"name":"init","token":"85372212-5e58-4988-9df1-668199ec69e5","apptype":"OptaWidgetsV3","version":"3.248.1","referer":"pub.fotmob.com","topReferer":"www.fotmob.com"}}
[2025-08-23 22:14:39.256] [OUT] {"csb":{"name":"subscribe","messagetype":["POEM"],"sendLastData":true,"eventuuid":"cj1crau6yj93nnyk80lzjpes4"}}
[2025-08-23 22:15:05.224] [POEM] {"data":{"OID":2558511,"UUID":"cj1crau6yj93nnyk80lzjpes4","POEM":{"EVID":106,"TS":"2025-08-23T17:45:02.426","TID":1,"PID":1,"M":10,"S":59,"PLID":503566,"PLUUID":"1lisq580zw4yfk6id6f1dwr56","PN":"Danilo Veiga","TEAMID":130,"TUUID":"bi1fxjrncd0ram0oi7ja1jyuo","O":1,"X":32,"Y":31.1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["26.5"]},{"I":141,"V":["48.8"]},{"I":212,"V":["13.34975"]},{"I":213,"V":["2.018162"]},{"I":318,"V":["0.0000041"]}]}}}
[2025-08-23 22:15:12.654] [POEM] {"data":{"OID":2558511,"UUID":"cj1crau6yj93nnyk80lzjpes4","POEM":{"EVID":107,"TS":"2025-08-23T17:45:04.938","TID":1,"PID":1,"M":11,"S":1,"PLID":520242,"PLUUID":"6udrxynn6611j9tjm258iu80k","PN":"Kialonda Gaspar","TEAMID":130,"TUUID":"bi1fxjrncd0ram0oi7ja1jyuo","O":1,"X":26.4,"Y":48.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["4.9"]},{"I":141,"V":["40.4"]},{"I":212,"V":["23.28642"]},{"I":213,"V":["3.389415"]},{"I":318,"V":["0.00000035"]}]}}}
[2025-08-23 22:15:16.051] [POEM] {"data":{"OID":2558511,"UUID":"cj1crau6yj93nnyk80lzjpes4","POEM":{"EVID":108,"TS":"2025-08-23T17:45:12.427","TID":1,"PID":1,"M":11,"S":9,"PLID":126486,"PLUUID":"3nfxhugbxid6o0r92txslivh1","PN":"W. Falcone","TEAMID":130,"TUUID":"bi1fxjrncd0ram0oi7ja1jyuo","O":1,"X":7.4,"Y":40.1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":155,"V":["NULL"]},{"I":56,"V":["Back"]},{"I":140,"V":["49.7"]},{"I":141,"V":["71.4"]},{"I":212,"V":["49.2514"]},{"I":213,"V":["0.4468757"]},{"I":1,"V":["NULL"]},{"I":318,"V":["0.00005915"]}]}}}
[2025-08-23 22:15:21.460] [POEM] {"data":{"OID":2558511,"UUID":"cj1crau6yj93nnyk80lzjpes4","POEM":{"EVID":109,"TS":"2025-08-23T17:45:15.722","TID":1,"PID":1,"M":11,"S":12,"PLID":633952,"PLUUID":"5vz3ahy53htjc8pk4wzvytzbo","PN":"F. Camarda","TEAMID":130,"TUUID":"bi1fxjrncd0ram0oi7ja1jyuo","O":1,"X":54.5,"Y":79.2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":155,"V":["NULL"]},{"I":56,"V":["Left"]},{"I":140,"V":["68.1"]},{"I":141,"V":["96.8"]},{"I":212,"V":["18.632"]},{"I":213,"V":["0.697542"]},{"I":318,"V":["0.00020442"]}]}}}
[2025-08-23 22:15:24.682] [POEM] {"data":{"OID":2558511,"UUID":"cj1crau6yj93nnyk80lzjpes4","POEM":{"EVID":110,"TS":"2025-08-23T17:45:21.82","TID":1,"PID":1,"M":11,"S":17,"PLID":462484,"PLUUID":"1oszv53od5pulbhx566ht984q","PN":"A. Gallo","TEAMID":130,"TUUID":"bi1fxjrncd0ram0oi7ja1jyuo","O":1,"X":74.8,"Y":97.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Left"]},{"I":140,"V":["69.4"]},{"I":141,"V":["93.9"]},{"I":212,"V":["6.231048"]},{"I":213,"V":["3.569203"]},{"I":318,"V":["0.00025812"]}]}}}
[2025-08-23 22:15:27.078] [POEM] {"data":{"OID":2558511,"UUID":"cj1crau6yj93nnyk80lzjpes4","POEM":{"EVID":111,"TS":"2025-08-23T17:45:25.658","TID":1,"PID":1,"M":11,"S":22,"PLID":633952,"PLUUID":"5vz3ahy53htjc8pk4wzvytzbo","PN":"F. Camarda","TEAMID":130,"TUUID":"bi1fxjrncd0ram0oi7ja1jyuo","O":1,"X":70,"Y":88.2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":155,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":140,"V":["54.0"]},{"I":141,"V":["38.8"]},{"I":212,"V":["37.55879"]},{"I":213,"V":["4.248646"]},{"I":1,"V":["NULL"]},{"I":318,"V":["0.0003273"]}]}}}
[2025-08-23 22:15:30.673] [POEM] {"data":{"OID":2558511,"UUID":"cj1crau6yj93nnyk80lzjpes4","POEM":{"EVID":112,"TS":"2025-08-23T17:45:26.843","TID":1,"PID":1,"M":11,"S":23,"PLID":520242,"PLUUID":"6udrxynn6611j9tjm258iu80k","PN":"Kialonda Gaspar","TEAMID":130,"TUUID":"bi1fxjrncd0ram0oi7ja1jyuo","O":1,"X":54,"Y":38.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Right"]},{"I":140,"V":["63.8"]},{"I":141,"V":["19.1"]},{"I":212,"V":["16.89192"]},{"I":213,"V":["5.367399"]},{"I":318,"V":["0.00034604"]}]}}}
[2025-08-23 22:15:32.910] [POEM] {"data":{"OID":2558511,"UUID":"cj1crau6yj93nnyk80lzjpes4","POEM":{"EVID":113,"TS":"2025-08-23T17:45:30.426","TID":1,"PID":1,"M":11,"S":27,"PLID":503566,"PLUUID":"1lisq580zw4yfk6id6f1dwr56","PN":"Danilo Veiga","TEAMID":130,"TUUID":"bi1fxjrncd0ram0oi7ja1jyuo","O":1,"X":65.7,"Y":9.2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Right"]},{"I":140,"V":["67.3"]},{"I":141,"V":["2.2"]},{"I":212,"V":["5.047772"]},{"I":213,"V":["5.051682"]},{"I":318,"V":["0.00015891"]}]}}}
[2025-08-23 22:15:37.744] [POEM] {"data":{"OID":2558511,"UUID":"cj1crau6yj93nnyk80lzjpes4","POEM":{"EVID":114,"TS":"2025-08-23T17:45:32.666","TID":1,"PID":1,"M":11,"S":29,"PLID":440272,"PLUUID":"cntcffa67r95rbcf1154r92zu","PN":"L. Banda","TEAMID":130,"TUUID":"bi1fxjrncd0ram0oi7ja1jyuo","O":1,"X":66.5,"Y":12.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["65.3"]},{"I":141,"V":["28.6"]},{"I":212,"V":["10.81763"]},{"I":213,"V":["1.687538"]},{"I":318,"V":["0.00061218"]}]}}}
[2025-08-23 22:15:40.573] [POEM] {"data":{"OID":2558511,"UUID":"cj1crau6yj93nnyk80lzjpes4","POEM":{"EVID":115,"TS":"2025-08-23T17:45:37.386","TID":1,"PID":1,"M":11,"S":34,"PLID":227386,"PLUUID":"c4kxfrbrfedilykhbyak3e579","PN":"Y. Ramadani","TEAMID":130,"TUUID":"bi1fxjrncd0ram0oi7ja1jyuo","O":1,"X":56.6,"Y":37.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["47.9"]},{"I":141,"V":["60.6"]},{"I":212,"V":["18.22993"]},{"I":213,"V":["2.095665"]},{"I":318,"V":["0.00010017"]}]}}}
[2025-08-23 22:15:42.762] [POEM] {"data":{"OID":2558511,"UUID":"cj1crau6yj93nnyk80lzjpes4","POEM":{"EVID":116,"TS":"2025-08-23T17:45:40.331","TID":1,"PID":1,"M":11,"S":36,"PLID":647210,"PLUUID":"dfsb8uzowi737si30le6gjaxg","PN":"Tiago Gabriel","TEAMID":130,"TUUID":"bi1fxjrncd0ram0oi7ja1jyuo","O":1,"X":48,"Y":58.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["69.7"]},{"I":141,"V":["51.8"]},{"I":212,"V":["23.2769"]},{"I":213,"V":["6.077238"]},{"I":318,"V":["0.00178321"]}]}}}
[2025-08-23 22:15:43.215] [POEM] {"data":{"OID":2558511,"UUID":"cj1crau6yj93nnyk80lzjpes4","POEM":{"EVID":117,"TS":"2025-08-23T17:45:42.458","TID":1,"PID":1,"M":11,"S":39,"PLID":633952,"PLUUID":"5vz3ahy53htjc8pk4wzvytzbo","PN":"F. Camarda","TEAMID":130,"TUUID":"bi1fxjrncd0ram0oi7ja1jyuo","O":1,"X":70.5,"Y":51.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":3,"V":["NULL"]},{"I":168,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":140,"V":["77.2"]},{"I":141,"V":["42.4"]},{"I":212,"V":["9.279975"]},{"I":213,"V":["5.572759"]},{"I":318,"V":["0.00626563"]}]}}}
[2025-08-23 22:15:43.365] [POEM] {"data":{"OID":2558511,"UUID":"cj1crau6yj93nnyk80lzjpes4","POEM":{"EVID":111,"TS":"2025-08-23T17:45:43.117","TID":49,"PID":1,"M":11,"S":39,"PLID":431026,"PLUUID":"7ojvhhfvbtbn60sc50y4l2ctm","PN":"J. V\u00e1squez","TEAMID":990,"TUUID":"4kumqzwifv478caxed8zywlh3","O":1,"X":23.2,"Y":59.6,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[]}}}
[2025-08-23 22:15:47.559] [POEM] {"data":{"OID":2558511,"UUID":"cj1crau6yj93nnyk80lzjpes4","POEM":{"EVID":112,"TS":"2025-08-23T17:45:43.539","TID":1,"PID":1,"M":11,"S":40,"PLID":431026,"PLUUID":"7ojvhhfvbtbn60sc50y4l2ctm","PN":"J. V\u00e1squez","TEAMID":990,"TUUID":"4kumqzwifv478caxed8zywlh3","O":1,"X":23.2,"Y":59.6,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["4.9"]},{"I":141,"V":["47.8"]},{"I":212,"V":["20.82308"]},{"I":213,"V":["3.537171"]},{"I":318,"V":["0.00000032"]}]}}}
[2025-08-23 22:15:53.275] [POEM] {"data":{"OID":2558511,"UUID":"cj1crau6yj93nnyk80lzjpes4","POEM":{"EVID":113,"TS":"2025-08-23T17:45:47.195","TID":1,"PID":1,"M":11,"S":43,"PLID":87968,"PLUUID":"9dc7uictce9dq0tbphn74qz85","PN":"N. Leali","TEAMID":990,"TUUID":"4kumqzwifv478caxed8zywlh3","O":1,"X":4.8,"Y":47.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["8.7"]},{"I":141,"V":["71.1"]},{"I":212,"V":["16.36464"]},{"I":213,"V":["1.317874"]},{"I":318,"V":["0.00000027"]}]}}}
[2025-08-23 22:15:53.484] [POEM] {"data":{"OID":2558511,"UUID":"cj1crau6yj93nnyk80lzjpes4","POEM":{"EVID":114,"TS":"2025-08-23T17:45:52.961","TID":1,"PID":1,"M":11,"S":49,"PLID":431026,"PLUUID":"7ojvhhfvbtbn60sc50y4l2ctm","PN":"J. V\u00e1squez","TEAMID":990,"TUUID":"4kumqzwifv478caxed8zywlh3","O":0,"X":3.6,"Y":73,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":155,"V":["NULL"]},{"I":56,"V":["Back"]},{"I":140,"V":["4.7"]},{"I":141,"V":["73.8"]},{"I":212,"V":["1.276699"]},{"I":213,"V":["0.4401761"]}]}}}
[2025-08-23 22:15:54.512] [POEM] {"data":{"OID":2558511,"UUID":"cj1crau6yj93nnyk80lzjpes4","POEM":{"EVID":118,"TS":"2025-08-23T17:45:54.268","TID":74,"PID":1,"M":11,"S":50,"PLID":440272,"PLUUID":"cntcffa67r95rbcf1154r92zu","PN":"L. Banda","TEAMID":130,"TUUID":"bi1fxjrncd0ram0oi7ja1jyuo","O":1,"X":98.3,"Y":27.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":285,"V":["NULL"]}]}}}
[2025-08-23 22:15:55.332] [POEM] {"data":{"OID":2558511,"UUID":"cj1crau6yj93nnyk80lzjpes4","POEM":{"EVID":119,"TS":"2025-08-23T17:45:54.938","TID":5,"PID":1,"M":11,"S":51,"PLID":440272,"PLUUID":"cntcffa67r95rbcf1154r92zu","PN":"L. Banda","TEAMID":130,"TUUID":"bi1fxjrncd0ram0oi7ja1jyuo","O":0,"X":100.3,"Y":28.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":346,"V":["NULL"]}]}}}
[2025-08-23 22:16:00.882] [POEM] {"data":{"OID":2558511,"UUID":"cj1crau6yj93nnyk80lzjpes4","POEM":{"EVID":115,"TS":"2025-08-23T17:45:53.883","TID":5,"PID":1,"M":11,"S":50,"PLID":431026,"PLUUID":"7ojvhhfvbtbn60sc50y4l2ctm","PN":"J. V\u00e1squez","TEAMID":990,"TUUID":"4kumqzwifv478caxed8zywlh3","O":1,"X":-0.7,"Y":72,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":346,"V":["NULL"]}]}}}
[2025-08-23 22:16:21.052] [POEM] {"data":{"OID":2558511,"UUID":"cj1crau6yj93nnyk80lzjpes4","POEM":{"EVID":116,"TS":"2025-08-23T17:46:15.804","TID":1,"PID":1,"M":12,"S":12,"PLID":431026,"PLUUID":"7ojvhhfvbtbn60sc50y4l2ctm","PN":"J. V\u00e1squez","TEAMID":990,"TUUID":"4kumqzwifv478caxed8zywlh3","O":1,"X":4.7,"Y":60.2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":124,"V":["NULL"]},{"I":56,"V":["Back"]},{"I":140,"V":["3.1"]},{"I":141,"V":["48.2"]},{"I":212,"V":["8.331146"]},{"I":213,"V":["4.509344"]},{"I":318,"V":["0.00000052"]},{"I":237,"V":["NULL"]}]}}}
[2025-08-23 22:16:25.495] [POEM] {"data":{"OID":2558511,"UUID":"cj1crau6yj93nnyk80lzjpes4","POEM":{"EVID":117,"TS":"2025-08-23T17:46:20.835","TID":1,"PID":1,"M":12,"S":17,"PLID":87968,"PLUUID":"9dc7uictce9dq0tbphn74qz85","PN":"N. Leali","TEAMID":990,"TUUID":"4kumqzwifv478caxed8zywlh3","O":0,"X":8.2,"Y":46.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":155,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":140,"V":["57.4"]},{"I":141,"V":["51.3"]},{"I":212,"V":["51.77176"]},{"I":213,"V":["0.06572016"]},{"I":1,"V":["NULL"]}]}}}
[2025-08-23 22:16:25.511] [POEM] {"data":{"OID":2558511,"UUID":"cj1crau6yj93nnyk80lzjpes4","POEM":{"EVID":120,"TS":"2025-08-23T17:46:25.274","TID":86,"PID":1,"M":12,"S":21,"PLID":520242,"PLUUID":"6udrxynn6611j9tjm258iu80k","PN":"Kialonda Gaspar","TEAMID":130,"TUUID":"bi1fxjrncd0ram0oi7ja1jyuo","O":1,"X":47.1,"Y":48.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[]}}}
[2025-08-23 22:16:26.716] [POEM] {"data":{"OID":2558511,"UUID":"cj1crau6yj93nnyk80lzjpes4","POEM":{"EVID":118,"TS":"2025-08-23T17:46:26.460","TID":86,"PID":1,"M":12,"S":23,"PLID":450025,"PLUUID":"46yp8iqh0qm7i75d98tfrsbxm","PN":"L. Colombo","TEAMID":990,"TUUID":"4kumqzwifv478caxed8zywlh3","O":1,"X":56,"Y":52.2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[]}}}
[2025-08-23 22:17:00.529] [POEM] {"data":{"OID":2558511,"UUID":"cj1crau6yj93nnyk80lzjpes4","POEM":{"EVID":119,"TS":"2025-08-23T17:46:59.896","TID":1,"PID":1,"M":12,"S":56,"PLID":83289,"PLUUID":"65jv6v3qujiijivadpijzpr6d","PN":"N. Stanciu","TEAMID":990,"TUUID":"4kumqzwifv478caxed8zywlh3","O":0,"X":61,"Y":28.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":5,"V":["NULL"]},{"I":152,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":140,"V":["58.4"]},{"I":141,"V":["25.2"]},{"I":212,"V":["3.712567"]},{"I":213,"V":["3.88622"]}]}}}
[2025-08-23 22:17:01.727] [POEM] {"data":{"OID":2558511,"UUID":"cj1crau6yj93nnyk80lzjpes4","POEM":{"EVID":121,"TS":"2025-08-23T17:47:01.386","TID":8,"PID":1,"M":12,"S":58,"PLID":462484,"PLUUID":"1oszv53od5pulbhx566ht984q","PN":"A. Gallo","TEAMID":130,"TUUID":"bi1fxjrncd0ram0oi7ja1jyuo","O":1,"X":38.3,"Y":86.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]}]}}}
[2025-08-23 22:17:02.404] [POEM] {"data":{"OID":2558511,"UUID":"cj1crau6yj93nnyk80lzjpes4","POEM":{"EVID":122,"TS":"2025-08-23T17:47:01.978","TID":5,"PID":1,"M":12,"S":58,"PLID":462484,"PLUUID":"1oszv53od5pulbhx566ht984q","PN":"A. Gallo","TEAMID":130,"TUUID":"bi1fxjrncd0ram0oi7ja1jyuo","O":0,"X":33.5,"Y":101.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":347,"V":["NULL"]}]}}}
[2025-08-23 22:17:03.186] [POEM] {"data":{"OID":2558511,"UUID":"cj1crau6yj93nnyk80lzjpes4","POEM":{"EVID":120,"TS":"2025-08-23T17:47:01.240","TID":5,"PID":1,"M":12,"S":57,"PLID":83289,"PLUUID":"65jv6v3qujiijivadpijzpr6d","PN":"N. Stanciu","TEAMID":990,"TUUID":"4kumqzwifv478caxed8zywlh3","O":1,"X":69,"Y":-1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Right"]},{"I":347,"V":["NULL"]}]}}}
[2025-08-23 22:17:17.029] [POEM] {"data":{"OID":2558511,"UUID":"cj1crau6yj93nnyk80lzjpes4","POEM":{"EVID":121,"TS":"2025-08-23T17:47:13.833","TID":1,"PID":1,"M":13,"S":10,"PLID":496181,"PLUUID":"bj9f6t8o0nji79rbaxrsioep6","PN":"B. Norton-Cuffy","TEAMID":990,"TUUID":"4kumqzwifv478caxed8zywlh3","O":1,"X":67.5,"Y":-1.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":107,"V":["NULL"]},{"I":56,"V":["Back"]},{"I":140,"V":["48.3"]},{"I":141,"V":["7.1"]},{"I":212,"V":["20.97222"]},{"I":213,"V":["2.862376"]},{"I":318,"V":["0.00002396"]}]}}}
[2025-08-23 22:17:21.669] [POEM] {"data":{"OID":2558511,"UUID":"cj1crau6yj93nnyk80lzjpes4","POEM":{"EVID":122,"TS":"2025-08-23T17:47:16.755","TID":1,"PID":1,"M":13,"S":13,"PLID":624931,"PLUUID":"1lxfpn0wmr895me9xbzcfnh90","PN":"A. Marcandalli","TEAMID":990,"TUUID":"4kumqzwifv478caxed8zywlh3","O":1,"X":51.5,"Y":18.6,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["38.6"]},{"I":141,"V":["54.2"]},{"I":212,"V":["27.73976"]},{"I":213,"V":["2.080924"]},{"I":318,"V":["0.00003225"]}]}}}
[2025-08-23 22:17:31.109] [POEM] {"data":{"OID":2558511,"UUID":"cj1crau6yj93nnyk80lzjpes4","POEM":{"EVID":123,"TS":"2025-08-23T17:47:21.442","TID":1,"PID":1,"M":13,"S":18,"PLID":431026,"PLUUID":"7ojvhhfvbtbn60sc50y4l2ctm","PN":"J. V\u00e1squez","TEAMID":990,"TUUID":"4kumqzwifv478caxed8zywlh3","O":1,"X":32.1,"Y":61.2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["14.1"]},{"I":141,"V":["47.8"]},{"I":212,"V":["20.98186"]},{"I":213,"V":["3.590831"]},{"I":318,"V":["0.00000113"]}]}}}
