[2025-08-23 23:27:32.048] [OUT] {"outlet":{"OutletKeyService":{"outletid":"1hugdxmjczoe21vm8x6kz0zx82"}}}
[2025-08-23 23:27:32.706] [OUT] {"csb":{"name":"init","token":"85372212-5e58-4988-9df1-668199ec69e5","apptype":"OptaWidgetsV3","version":"3.248.1","referer":"pub.fotmob.com","topReferer":"www.fotmob.com"}}
[2025-08-23 23:27:33.369] [OUT] {"csb":{"name":"subscribe","messagetype":["POEM"],"sendLastData":true,"eventuuid":"49e80e647ljijc5bz8tqc2l0"}}
[2025-08-23 23:27:52.342] [POEM] {"data":{"OID":2571951,"UUID":"49e80e647ljijc5bz8tqc2l0","POEM":{"EVID":233,"TS":"2025-08-23T18:57:51.419","TID":44,"PID":1,"M":26,"S":37,"PLID":578538,"PLUUID":"1filh68q6hdk921qkdo7rsvmc","PN":"Rodrigo Mendoza","TEAMID":954,"TUUID":"4yg9ttzw0m51048doksv8uq5r","O":1,"X":41.6,"Y":47.2,"STAT":{"CPID":1,"SC":"1:1"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":285,"V":["NULL"]}]}}}
[2025-08-23 23:27:52.726] [POEM] {"data":{"OID":2571951,"UUID":"49e80e647ljijc5bz8tqc2l0","POEM":{"EVID":234,"TS":"2025-08-23T18:57:52.59","TID":44,"PID":1,"M":26,"S":37,"PLID":578538,"PLUUID":"1filh68q6hdk921qkdo7rsvmc","PN":"Rodrigo Mendoza","TEAMID":954,"TUUID":"4yg9ttzw0m51048doksv8uq5r","O":0,"X":41.6,"Y":47.2,"STAT":{"CPID":1,"SC":"1:1"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":285,"V":["NULL"]}]}}}
[2025-08-23 23:27:53.518] [POEM] {"data":{"OID":2571951,"UUID":"49e80e647ljijc5bz8tqc2l0","POEM":{"EVID":198,"TS":"2025-08-23T18:57:52.129","TID":1,"PID":1,"M":26,"S":37,"PLID":487992,"PLUUID":"7mvqysbmyf6uj3jny3qpqw2ga","PN":"M. Ruggeri","TEAMID":175,"TUUID":"4ku8o6uf87yd8iecdalipo6wd","O":0,"X":46.6,"Y":83.7,"STAT":{"CPID":1,"SC":"1:1"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["58.8"]},{"I":141,"V":["65.9"]},{"I":212,"V":["17.62393"]},{"I":213,"V":["5.526117"]}]}}}
[2025-08-23 23:27:54.742] [POEM] {"data":{"OID":2571951,"UUID":"49e80e647ljijc5bz8tqc2l0","POEM":{"EVID":199,"TS":"2025-08-23T18:57:54.385","TID":49,"PID":1,"M":26,"S":40,"PLID":143877,"PLUUID":"6akzpi6rd6qq0ke07ojnhpoet","PN":"A. S\u00f8rloth","TEAMID":175,"TUUID":"4ku8o6uf87yd8iecdalipo6wd","O":1,"X":66.3,"Y":59.1,"STAT":{"CPID":1,"SC":"1:1"},"RTL":1,"Q":[]}}}
[2025-08-23 23:27:56.737] [POEM] {"data":{"OID":2571951,"UUID":"49e80e647ljijc5bz8tqc2l0","POEM":{"EVID":200,"TS":"2025-08-23T18:57:54.738","TID":1,"PID":1,"M":26,"S":40,"PLID":143877,"PLUUID":"6akzpi6rd6qq0ke07ojnhpoet","PN":"A. S\u00f8rloth","TEAMID":175,"TUUID":"4ku8o6uf87yd8iecdalipo6wd","O":1,"X":66.3,"Y":57.9,"STAT":{"CPID":1,"SC":"1:1"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["74.1"]},{"I":141,"V":["37.7"]},{"I":212,"V":["15.9923"]},{"I":213,"V":["5.250042"]},{"I":318,"V":["0.00428018"]}]}}}
[2025-08-23 23:27:57.201] [POEM] {"data":{"OID":2571951,"UUID":"49e80e647ljijc5bz8tqc2l0","POEM":{"EVID":232,"TS":"2025-08-23T18:57:51.402","TID":43,"PID":1,"M":26,"S":37,"PLID":578538,"PLUUID":"1filh68q6hdk921qkdo7rsvmc","PN":"Rodrigo Mendoza","TEAMID":954,"TUUID":"4yg9ttzw0m51048doksv8uq5r","O":0,"X":41.5999984741211,"Y":47.2000007629395,"STAT":{"CPID":1,"SC":"1:1"},"RTL":0,"Q":[{"I":3,"V":[null]},{"I":168,"V":[null]},{"I":56,"V":["Back"]},{"I":140,"V":["41.6"]},{"I":141,"V":["47.2"]},{"I":212,"V":["0"]},{"I":213,"V":["0"]},{"I":144,"V":["1"]}]}}}
[2025-08-23 23:27:59.543] [POEM] {"data":{"OID":2571951,"UUID":"49e80e647ljijc5bz8tqc2l0","POEM":{"EVID":201,"TS":"2025-08-23T18:57:56.354","TID":1,"PID":1,"M":26,"S":42,"PLID":482652,"PLUUID":"5es43b4a7fv0lkmp63dj439ey","PN":"G. Simeone","TEAMID":175,"TUUID":"4ku8o6uf87yd8iecdalipo6wd","O":0,"X":77.2,"Y":38.2,"STAT":{"CPID":1,"SC":"1:1"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["91.0"]},{"I":141,"V":["44.2"]},{"I":212,"V":["15.05345"]},{"I":213,"V":["0.2744672"]}]}}}
[2025-08-23 23:28:01.135] [POEM] {"data":{"OID":2571951,"UUID":"49e80e647ljijc5bz8tqc2l0","POEM":{"EVID":235,"TS":"2025-08-23T18:58:00.810","TID":8,"PID":1,"M":26,"S":46,"PLID":442299,"PLUUID":"7o7vwlqxknci1fymzkn9hug6i","PN":"D. Affengruber","TEAMID":954,"TUUID":"4yg9ttzw0m51048doksv8uq5r","O":1,"X":3,"Y":57.9,"STAT":{"CPID":1,"SC":"1:1"},"RTL":0,"Q":[{"I":56,"V":["Back"]}]}}}
[2025-08-23 23:28:03.342] [POEM] {"data":{"OID":2571951,"UUID":"49e80e647ljijc5bz8tqc2l0","POEM":{"EVID":236,"TS":"2025-08-23T18:58:01.675","TID":12,"PID":1,"M":26,"S":47,"PLID":442299,"PLUUID":"7o7vwlqxknci1fymzkn9hug6i","PN":"D. Affengruber","TEAMID":954,"TUUID":"4yg9ttzw0m51048doksv8uq5r","O":1,"X":3,"Y":57.5,"STAT":{"CPID":1,"SC":"1:1"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["9.4"]},{"I":141,"V":["65.6"]},{"I":212,"V":["8.68887"]},{"I":213,"V":["0.6866041"]}]}}}
[2025-08-23 23:28:03.534] [POEM] {"data":{"OID":2571951,"UUID":"49e80e647ljijc5bz8tqc2l0","POEM":{"EVID":237,"TS":"2025-08-23T18:58:02.938","TID":49,"PID":1,"M":26,"S":48,"PLID":467020,"PLUUID":"5mgmcero3ui4a24v1w1upx3sa","PN":"Germ\u00e1n Valera","TEAMID":954,"TUUID":"4yg9ttzw0m51048doksv8uq5r","O":1,"X":9.4,"Y":65.6,"STAT":{"CPID":1,"SC":"1:1"},"RTL":0,"Q":[]}}}
[2025-08-23 23:28:04.764] [POEM] {"data":{"OID":2571951,"UUID":"49e80e647ljijc5bz8tqc2l0","POEM":{"EVID":238,"TS":"2025-08-23T18:58:03.114","TID":1,"PID":1,"M":26,"S":48,"PLID":467020,"PLUUID":"5mgmcero3ui4a24v1w1upx3sa","PN":"Germ\u00e1n Valera","TEAMID":954,"TUUID":"4yg9ttzw0m51048doksv8uq5r","O":1,"X":9.4,"Y":65.6,"STAT":{"CPID":1,"SC":"1:1"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["8.7"]},{"I":141,"V":["52.2"]},{"I":212,"V":["9.141596"]},{"I":213,"V":["4.6319"]},{"I":318,"V":["0.00000033"]}]}}}
[2025-08-23 23:28:07.762] [POEM] {"data":{"OID":2571951,"UUID":"49e80e647ljijc5bz8tqc2l0","POEM":{"EVID":239,"TS":"2025-08-23T18:58:04.411","TID":1,"PID":1,"M":26,"S":50,"PLID":91393,"PLUUID":"33r4ae8aivh27ho0ix9mnkedx","PN":"Pedro Bigas","TEAMID":954,"TUUID":"4yg9ttzw0m51048doksv8uq5r","O":0,"X":8.8,"Y":52.2,"STAT":{"CPID":1,"SC":"1:1"},"RTL":0,"Q":[{"I":155,"V":["NULL"]},{"I":56,"V":["Right"]},{"I":140,"V":["58.5"]},{"I":141,"V":["18.2"]},{"I":212,"V":["57.07722"]},{"I":213,"V":["5.866135"]},{"I":1,"V":["NULL"]}]}}}
[2025-08-23 23:28:10.555] [POEM] {"data":{"OID":2571951,"UUID":"49e80e647ljijc5bz8tqc2l0","POEM":{"EVID":233,"TS":"2025-08-23T18:57:51.419","TID":43,"PID":1,"M":26,"S":37,"PLID":578538,"PLUUID":"1filh68q6hdk921qkdo7rsvmc","PN":"Rodrigo Mendoza","TEAMID":954,"TUUID":"4yg9ttzw0m51048doksv8uq5r","O":0,"X":41.5999984741211,"Y":47.2000007629395,"STAT":{"CPID":1,"SC":"1:1"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":285,"V":[null]},{"I":144,"V":["44"]}]}}}
[2025-08-23 23:28:12.148] [POEM] {"data":{"OID":2571951,"UUID":"49e80e647ljijc5bz8tqc2l0","POEM":{"EVID":202,"TS":"2025-08-23T18:58:08.770","TID":1,"PID":1,"M":26,"S":54,"PLID":235093,"PLUUID":"1vyh50nfaq2kq5pmivpkc1psl","PN":"D. Hancko","TEAMID":175,"TUUID":"4ku8o6uf87yd8iecdalipo6wd","O":1,"X":29,"Y":84.8,"STAT":{"CPID":1,"SC":"1:1"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["8.1"]},{"I":141,"V":["52.1"]},{"I":212,"V":["31.24136"]},{"I":213,"V":["3.933577"]},{"I":318,"V":["0.00000065"]}]}}}
[2025-08-23 23:28:12.347] [POEM] {"data":{"OID":2571951,"UUID":"49e80e647ljijc5bz8tqc2l0","POEM":{"EVID":203,"TS":"2025-08-23T18:58:11.778","TID":49,"PID":1,"M":26,"S":57,"PLID":81352,"PLUUID":"2yt9oajv9dkbju8tgy1g2nmqd","PN":"J. Oblak","TEAMID":175,"TUUID":"4ku8o6uf87yd8iecdalipo6wd","O":1,"X":8.1,"Y":52.1,"STAT":{"CPID":1,"SC":"1:1"},"RTL":1,"Q":[]}}}
[2025-08-23 23:28:16.961] [POEM] {"data":{"OID":2571951,"UUID":"49e80e647ljijc5bz8tqc2l0","POEM":{"EVID":204,"TS":"2025-08-23T18:58:14.146","TID":1,"PID":1,"M":26,"S":59,"PLID":81352,"PLUUID":"2yt9oajv9dkbju8tgy1g2nmqd","PN":"J. Oblak","TEAMID":175,"TUUID":"4ku8o6uf87yd8iecdalipo6wd","O":1,"X":8.6,"Y":50.6,"STAT":{"CPID":1,"SC":"1:1"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["23.8"]},{"I":141,"V":["13.9"]},{"I":212,"V":["29.62302"]},{"I":213,"V":["5.281365"]},{"I":318,"V":["0.00000176"]}]}}}
[2025-08-23 23:28:22.752] [POEM] {"data":{"OID":2571951,"UUID":"49e80e647ljijc5bz8tqc2l0","POEM":{"EVID":205,"TS":"2025-08-23T18:58:16.626","TID":1,"PID":1,"M":27,"S":2,"PLID":224919,"PLUUID":"6xulax65kp4aid70nk7g5jr2t","PN":"Robin Le Normand","TEAMID":175,"TUUID":"4ku8o6uf87yd8iecdalipo6wd","O":1,"X":30.7,"Y":8.2,"STAT":{"CPID":1,"SC":"1:1"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["41.4"]},{"I":141,"V":["1.6"]},{"I":212,"V":["12.09824"]},{"I":213,"V":["5.90314"]},{"I":318,"V":["0.00000836"]}]}}}
[2025-08-23 23:28:26.949] [POEM] {"data":{"OID":2571951,"UUID":"49e80e647ljijc5bz8tqc2l0","POEM":{"EVID":206,"TS":"2025-08-23T18:58:22.369","TID":1,"PID":1,"M":27,"S":8,"PLID":192364,"PLUUID":"amxunh6enoc99r07cp7qt621h","PN":"Marcos Llorente","TEAMID":175,"TUUID":"4ku8o6uf87yd8iecdalipo6wd","O":1,"X":55.8,"Y":5.5,"STAT":{"CPID":1,"SC":"1:1"},"RTL":1,"Q":[{"I":56,"V":["Right"]},{"I":140,"V":["64.6"]},{"I":141,"V":["19.9"]},{"I":212,"V":["13.46332"]},{"I":213,"V":["0.8143938"]},{"I":318,"V":["0.00034071"]}]}}}
[2025-08-23 23:28:27.291] [POEM] {"data":{"OID":2571951,"UUID":"49e80e647ljijc5bz8tqc2l0","POEM":{"EVID":207,"TS":"2025-08-23T18:58:26.609","TID":61,"PID":1,"M":27,"S":12,"PLID":482652,"PLUUID":"5es43b4a7fv0lkmp63dj439ey","PN":"G. Simeone","TEAMID":175,"TUUID":"4ku8o6uf87yd8iecdalipo6wd","O":0,"X":62.6,"Y":16.3,"STAT":{"CPID":1,"SC":"1:1"},"RTL":1,"Q":[{"I":56,"V":["Right"]}]}}}
[2025-08-23 23:28:27.971] [POEM] {"data":{"OID":2571951,"UUID":"49e80e647ljijc5bz8tqc2l0","POEM":{"EVID":208,"TS":"2025-08-23T18:58:27.585","TID":86,"PID":1,"M":27,"S":13,"PLID":482652,"PLUUID":"5es43b4a7fv0lkmp63dj439ey","PN":"G. Simeone","TEAMID":175,"TUUID":"4ku8o6uf87yd8iecdalipo6wd","O":1,"X":58.8,"Y":6.5,"STAT":{"CPID":1,"SC":"1:1"},"RTL":1,"Q":[]}}}
[2025-08-23 23:28:28.162] [POEM] {"data":{"OID":2571951,"UUID":"49e80e647ljijc5bz8tqc2l0","POEM":{"EVID":240,"TS":"2025-08-23T18:58:27.770","TID":86,"PID":1,"M":27,"S":13,"PLID":91393,"PLUUID":"33r4ae8aivh27ho0ix9mnkedx","PN":"Pedro Bigas","TEAMID":954,"TUUID":"4yg9ttzw0m51048doksv8uq5r","O":1,"X":33.9,"Y":96.3,"STAT":{"CPID":1,"SC":"1:1"},"RTL":0,"Q":[]}}}
[2025-08-23 23:28:58.674] [POEM] {"data":{"OID":2571951,"UUID":"49e80e647ljijc5bz8tqc2l0","POEM":{"EVID":241,"TS":"2025-08-23T18:58:56.506","TID":1,"PID":1,"M":27,"S":42,"PLID":91393,"PLUUID":"33r4ae8aivh27ho0ix9mnkedx","PN":"Pedro Bigas","TEAMID":954,"TUUID":"4yg9ttzw0m51048doksv8uq5r","O":1,"X":39.8,"Y":91.1,"STAT":{"CPID":1,"SC":"1:1"},"RTL":0,"Q":[{"I":5,"V":["NULL"]},{"I":152,"V":["NULL"]},{"I":56,"V":["Back"]},{"I":140,"V":["39.1"]},{"I":141,"V":["59.7"]},{"I":212,"V":["21.36465"]},{"I":213,"V":["4.677979"]},{"I":318,"V":["0.00002234"]}]}}}
[2025-08-23 23:29:00.683] [POEM] {"data":{"OID":2571951,"UUID":"49e80e647ljijc5bz8tqc2l0","POEM":{"EVID":242,"TS":"2025-08-23T18:58:58.426","TID":1,"PID":1,"M":27,"S":44,"PLID":484741,"PLUUID":"z0qe6u5fvgrjy0jzk1qhbgq2","PN":"Marc Aguado","TEAMID":954,"TUUID":"4yg9ttzw0m51048doksv8uq5r","O":1,"X":38.9,"Y":58.5,"STAT":{"CPID":1,"SC":"1:1"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["32.1"]},{"I":141,"V":["58.4"]},{"I":212,"V":["7.140324"]},{"I":213,"V":["3.151116"]},{"I":318,"V":["0.00000913"]}]}}}
[2025-08-23 23:29:04.536] [POEM] {"data":{"OID":2571951,"UUID":"49e80e647ljijc5bz8tqc2l0","POEM":{"EVID":243,"TS":"2025-08-23T18:59:01.482","TID":1,"PID":1,"M":27,"S":47,"PLID":98448,"PLUUID":"8rgy29sd9okehwq8bzyb3v0t1","PN":"M. Dituro","TEAMID":954,"TUUID":"4yg9ttzw0m51048doksv8uq5r","O":0,"X":34,"Y":56,"STAT":{"CPID":1,"SC":"1:1"},"RTL":0,"Q":[{"I":155,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":140,"V":["80.2"]},{"I":141,"V":["49.9"]},{"I":212,"V":["48.68702"]},{"I":213,"V":["6.197885"]},{"I":1,"V":["NULL"]}]}}}
[2025-08-23 23:29:06.043] [POEM] {"data":{"OID":2571951,"UUID":"49e80e647ljijc5bz8tqc2l0","POEM":{"EVID":209,"TS":"2025-08-23T18:59:05.10","TID":12,"PID":1,"M":27,"S":50,"PLID":488662,"PLUUID":"3ub05nnpt9o7s387z6oj8vf56","PN":"J. Cardoso","TEAMID":175,"TUUID":"4ku8o6uf87yd8iecdalipo6wd","O":1,"X":20.6,"Y":50.9,"STAT":{"CPID":1,"SC":"1:1"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["18.5"]},{"I":141,"V":["28.6"]},{"I":212,"V":["15.32348"]},{"I":213,"V":["4.567991"]}]}}}
[2025-08-23 23:29:07.352] [POEM] {"data":{"OID":2571951,"UUID":"49e80e647ljijc5bz8tqc2l0","POEM":{"EVID":210,"TS":"2025-08-23T18:59:07.10","TID":49,"PID":1,"M":27,"S":52,"PLID":224919,"PLUUID":"6xulax65kp4aid70nk7g5jr2t","PN":"Robin Le Normand","TEAMID":175,"TUUID":"4ku8o6uf87yd8iecdalipo6wd","O":1,"X":18.5,"Y":28.6,"STAT":{"CPID":1,"SC":"1:1"},"RTL":1,"Q":[]}}}
[2025-08-23 23:29:10.028] [POEM] {"data":{"OID":2571951,"UUID":"49e80e647ljijc5bz8tqc2l0","POEM":{"EVID":244,"TS":"2025-08-23T18:59:09.787","TID":49,"PID":1,"M":27,"S":55,"PLID":91393,"PLUUID":"33r4ae8aivh27ho0ix9mnkedx","PN":"Pedro Bigas","TEAMID":954,"TUUID":"4yg9ttzw0m51048doksv8uq5r","O":1,"X":44.8,"Y":96,"STAT":{"CPID":1,"SC":"1:1"},"RTL":0,"Q":[]}}}
[2025-08-23 23:29:10.211] [POEM] {"data":{"OID":2571951,"UUID":"49e80e647ljijc5bz8tqc2l0","POEM":{"EVID":211,"TS":"2025-08-23T18:59:07.474","TID":1,"PID":1,"M":27,"S":53,"PLID":224919,"PLUUID":"6xulax65kp4aid70nk7g5jr2t","PN":"Robin Le Normand","TEAMID":175,"TUUID":"4ku8o6uf87yd8iecdalipo6wd","O":0,"X":18.5,"Y":28.6,"STAT":{"CPID":1,"SC":"1:1"},"RTL":1,"Q":[{"I":155,"V":["NULL"]},{"I":56,"V":["Right"]},{"I":140,"V":["57.5"]},{"I":141,"V":["7.6"]},{"I":212,"V":["43.36843"]},{"I":213,"V":["5.947653"]},{"I":1,"V":["NULL"]}]}}}
[2025-08-23 23:29:16.902] [POEM] {"data":{"OID":2571951,"UUID":"49e80e647ljijc5bz8tqc2l0","POEM":{"EVID":245,"TS":"2025-08-23T18:59:10.122","TID":1,"PID":1,"M":27,"S":55,"PLID":91393,"PLUUID":"33r4ae8aivh27ho0ix9mnkedx","PN":"Pedro Bigas","TEAMID":954,"TUUID":"4yg9ttzw0m51048doksv8uq5r","O":1,"X":44,"Y":96,"STAT":{"CPID":1,"SC":"1:1"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["30.7"]},{"I":141,"V":["68.3"]},{"I":212,"V":["23.44816"]},{"I":213,"V":["4.074415"]},{"I":318,"V":["0.00000879"]}]}}}
[2025-08-23 23:29:19.343] [POEM] {"data":{"OID":2571951,"UUID":"49e80e647ljijc5bz8tqc2l0","POEM":{"EVID":246,"TS":"2025-08-23T18:59:16.651","TID":1,"PID":1,"M":28,"S":2,"PLID":98448,"PLUUID":"8rgy29sd9okehwq8bzyb3v0t1","PN":"M. Dituro","TEAMID":954,"TUUID":"4yg9ttzw0m51048doksv8uq5r","O":1,"X":30.5,"Y":68,"STAT":{"CPID":1,"SC":"1:1"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["39.5"]},{"I":141,"V":["71.1"]},{"I":212,"V":["9.682261"]},{"I":213,"V":["0.2194755"]},{"I":318,"V":["0.00001586"]}]}}}
[2025-08-23 23:29:20.792] [POEM] {"data":{"OID":2571951,"UUID":"49e80e647ljijc5bz8tqc2l0","POEM":{"EVID":247,"TS":"2025-08-23T18:59:19.19","TID":1,"PID":1,"M":28,"S":4,"PLID":199250,"PLUUID":"90ga4jxu6ydpoliajft8w9y39","PN":"Aleix Febas","TEAMID":954,"TUUID":"4yg9ttzw0m51048doksv8uq5r","O":1,"X":39.2,"Y":71,"STAT":{"CPID":1,"SC":"1:1"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["29.4"]},{"I":141,"V":["65.4"]},{"I":212,"V":["10.97201"]},{"I":213,"V":["3.496032"]},{"I":318,"V":["0.00000652"]}]}}}
