[2025-08-23 19:12:49.289] [OUT] {"outlet":{"OutletKeyService":{"outletid":"1hugdxmjczoe21vm8x6kz0zx82"}}}
[2025-08-23 19:12:49.948] [OUT] {"csb":{"name":"init","token":"85372212-5e58-4988-9df1-668199ec69e5","apptype":"OptaWidgetsV3","version":"3.248.1","referer":"pub.fotmob.com","topReferer":"www.fotmob.com"}}
[2025-08-23 19:12:50.600] [OUT] {"csb":{"name":"subscribe","messagetype":["POEM"],"sendLastData":true,"eventuuid":"cvxiwe1m7tpfeel02s60xym8k"}}
[2025-08-23 19:13:17.020] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":114,"TS":"2025-08-23T14:43:15.430","TID":1,"PID":1,"M":12,"S":44,"PLID":483085,"PLUUID":"f2ibn3ej2doay3b4u8ezeix62","PN":"D. Ramaj","TEAMID":2891,"TUUID":"3xcg7xikgrn2x8oa65sopb2is","O":1,"X":37,"Y":37.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Right"]},{"I":140,"V":["53.7"]},{"I":141,"V":["3.5"]},{"I":212,"V":["29.2346"]},{"I":213,"V":["5.355644"]},{"I":318,"V":["0.00006781"]}]}}}
[2025-08-23 19:13:18.205] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":115,"TS":"2025-08-23T14:43:16.726","TID":1,"PID":1,"M":12,"S":45,"PLID":193494,"PLUUID":"98glpci54ztzmd3yn1kttlvpx","PN":"M. Busch","TEAMID":2891,"TUUID":"3xcg7xikgrn2x8oa65sopb2is","O":1,"X":53.7,"Y":3.5,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Right"]},{"I":140,"V":["60.8"]},{"I":141,"V":["17.3"]},{"I":212,"V":["11.98484"]},{"I":213,"V":["0.8994564"]},{"I":318,"V":["0.00022887"]}]}}}
[2025-08-23 19:13:19.704] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":116,"TS":"2025-08-23T14:43:17.895","TID":1,"PID":1,"M":12,"S":47,"PLID":505201,"PLUUID":"5bnq6c53ofgo9msqn3vlobpm2","PN":"A. Ibrahimovi\u0107","TEAMID":2891,"TUUID":"3xcg7xikgrn2x8oa65sopb2is","O":1,"X":60.8,"Y":17.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Right"]},{"I":140,"V":["56.1"]},{"I":141,"V":["3.9"]},{"I":212,"V":["10.36257"]},{"I":213,"V":["4.216023"]},{"I":318,"V":["0.00009545"]}]}}}
[2025-08-23 19:13:26.028] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":117,"TS":"2025-08-23T14:43:19.350","TID":1,"PID":1,"M":12,"S":48,"PLID":193494,"PLUUID":"98glpci54ztzmd3yn1kttlvpx","PN":"M. Busch","TEAMID":2891,"TUUID":"3xcg7xikgrn2x8oa65sopb2is","O":1,"X":56.1,"Y":3.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["34.1"]},{"I":141,"V":["41.2"]},{"I":212,"V":["34.30659"]},{"I":213,"V":["2.309513"]},{"I":1,"V":["NULL"]},{"I":318,"V":["0.00002753"]}]}}}
[2025-08-23 19:13:31.897] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":118,"TS":"2025-08-23T14:43:28.70","TID":1,"PID":1,"M":12,"S":57,"PLID":483085,"PLUUID":"f2ibn3ej2doay3b4u8ezeix62","PN":"D. Ramaj","TEAMID":2891,"TUUID":"3xcg7xikgrn2x8oa65sopb2is","O":1,"X":39.7,"Y":43.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Right"]},{"I":140,"V":["55.7"]},{"I":141,"V":["4.2"]},{"I":212,"V":["31.73889"]},{"I":213,"V":["5.270187"]},{"I":318,"V":["0.00009564"]}]}}}
[2025-08-23 19:13:33.514] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":119,"TS":"2025-08-23T14:43:31.702","TID":1,"PID":1,"M":13,"S":0,"PLID":193494,"PLUUID":"98glpci54ztzmd3yn1kttlvpx","PN":"M. Busch","TEAMID":2891,"TUUID":"3xcg7xikgrn2x8oa65sopb2is","O":0,"X":61.1,"Y":3.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Right"]},{"I":140,"V":["74.6"]},{"I":141,"V":["2.9"]},{"I":212,"V":["14.17761"]},{"I":213,"V":["6.263999"]}]}}}
[2025-08-23 19:13:36.043] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":94,"TS":"2025-08-23T14:43:35.690","TID":8,"PID":1,"M":13,"S":4,"PLID":570164,"PLUUID":"5d3stmq3pgka4qhdfoff35t9m","PN":"K. Koulierakis","TEAMID":172,"TUUID":"a8l3w3n0j99qjlsxj3jnmgkz1","O":1,"X":27.7,"Y":94.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]}]}}}
[2025-08-23 19:13:38.181] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":95,"TS":"2025-08-23T14:43:36.586","TID":5,"PID":1,"M":13,"S":5,"PLID":570164,"PLUUID":"5d3stmq3pgka4qhdfoff35t9m","PN":"K. Koulierakis","TEAMID":172,"TUUID":"a8l3w3n0j99qjlsxj3jnmgkz1","O":1,"X":28.1,"Y":100.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":347,"V":["NULL"]}]}}}
[2025-08-23 19:13:50.769] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":120,"TS":"2025-08-23T14:43:36.999","TID":5,"PID":1,"M":13,"S":6,"PLID":505201,"PLUUID":"5bnq6c53ofgo9msqn3vlobpm2","PN":"A. Ibrahimovi\u0107","TEAMID":2891,"TUUID":"3xcg7xikgrn2x8oa65sopb2is","O":1,"X":68.9,"Y":-1.2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Right"]},{"I":347,"V":["NULL"]}]}}}
[2025-08-23 19:13:51.573] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":121,"TS":"2025-08-23T14:43:50.438","TID":1,"PID":1,"M":13,"S":19,"PLID":193494,"PLUUID":"98glpci54ztzmd3yn1kttlvpx","PN":"M. Busch","TEAMID":2891,"TUUID":"3xcg7xikgrn2x8oa65sopb2is","O":1,"X":68.9,"Y":-1.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":107,"V":["NULL"]},{"I":56,"V":["Right"]},{"I":140,"V":["63.6"]},{"I":141,"V":["12.4"]},{"I":212,"V":["10.91003"]},{"I":213,"V":["2.106076"]},{"I":318,"V":["0.00007575"]}]}}}
[2025-08-23 19:13:52.818] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":122,"TS":"2025-08-23T14:43:51.302","TID":1,"PID":1,"M":13,"S":20,"PLID":153635,"PLUUID":"9heh3f6hvyp4sgbu0ft4xfh05","PN":"P. Mainka","TEAMID":2891,"TUUID":"3xcg7xikgrn2x8oa65sopb2is","O":1,"X":63.2,"Y":12.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Right"]},{"I":140,"V":["68.9"]},{"I":141,"V":["5.1"]},{"I":212,"V":["7.775701"]},{"I":213,"V":["5.590769"]},{"I":318,"V":["0.00030945"]}]}}}
[2025-08-23 19:13:53.198] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":123,"TS":"2025-08-23T14:43:52.566","TID":61,"PID":1,"M":13,"S":21,"PLID":193494,"PLUUID":"98glpci54ztzmd3yn1kttlvpx","PN":"M. Busch","TEAMID":2891,"TUUID":"3xcg7xikgrn2x8oa65sopb2is","O":0,"X":68.9,"Y":5,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Right"]}]}}}
[2025-08-23 19:13:53.406] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":124,"TS":"2025-08-23T14:43:53.94","TID":5,"PID":1,"M":13,"S":22,"PLID":193494,"PLUUID":"98glpci54ztzmd3yn1kttlvpx","PN":"M. Busch","TEAMID":2891,"TUUID":"3xcg7xikgrn2x8oa65sopb2is","O":0,"X":67.2,"Y":-1.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Right"]},{"I":347,"V":["NULL"]}]}}}
[2025-08-23 19:13:54.220] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":96,"TS":"2025-08-23T14:43:53.194","TID":5,"PID":1,"M":13,"S":22,"PLID":570164,"PLUUID":"5d3stmq3pgka4qhdfoff35t9m","PN":"K. Koulierakis","TEAMID":172,"TUUID":"a8l3w3n0j99qjlsxj3jnmgkz1","O":1,"X":23.6,"Y":100.6,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":347,"V":["NULL"]}]}}}
[2025-08-23 19:14:08.807] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":97,"TS":"2025-08-23T14:44:06.122","TID":1,"PID":1,"M":13,"S":35,"PLID":522015,"PLUUID":"diyzb2gwf1zkvqyjc63085eui","PN":"A. Zehnter","TEAMID":172,"TUUID":"a8l3w3n0j99qjlsxj3jnmgkz1","O":1,"X":24.2,"Y":102,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":107,"V":["NULL"]},{"I":56,"V":["Back"]},{"I":140,"V":["23.1"]},{"I":141,"V":["92.4"]},{"I":212,"V":["6.62939"]},{"I":213,"V":["4.537271"]},{"I":318,"V":["0.00000047"]}]}}}
[2025-08-23 19:14:13.225] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":98,"TS":"2025-08-23T14:44:08.473","TID":1,"PID":1,"M":13,"S":37,"PLID":109219,"PLUUID":"acxwc7xxrtyssiy390t859kgl","PN":"M. Arnold","TEAMID":172,"TUUID":"a8l3w3n0j99qjlsxj3jnmgkz1","O":0,"X":23.1,"Y":92.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":157,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":140,"V":["72.6"]},{"I":141,"V":["76.6"]},{"I":212,"V":["53.07386"]},{"I":213,"V":["6.079342"]},{"I":1,"V":["NULL"]}]}}}
[2025-08-23 19:14:14.845] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":125,"TS":"2025-08-23T14:44:14.102","TID":12,"PID":1,"M":13,"S":43,"PLID":180161,"PLUUID":"2hrvu72syd3vyic6ylygxbyl1","PN":"B. Gimber","TEAMID":2891,"TUUID":"3xcg7xikgrn2x8oa65sopb2is","O":1,"X":28,"Y":29.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["33.1"]},{"I":141,"V":["27.6"]},{"I":212,"V":["5.493105"]},{"I":213,"V":["6.058474"]}]}}}
[2025-08-23 19:14:15.634] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":126,"TS":"2025-08-23T14:44:15.446","TID":49,"PID":1,"M":13,"S":44,"PLID":204587,"PLUUID":"5q3ft0wiy6lsy937j7nw6msq1","PN":"N. Dorsch","TEAMID":2891,"TUUID":"3xcg7xikgrn2x8oa65sopb2is","O":1,"X":31.4,"Y":27.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[]}}}
[2025-08-23 19:14:16.979] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":127,"TS":"2025-08-23T14:44:15.654","TID":1,"PID":1,"M":13,"S":44,"PLID":204587,"PLUUID":"5q3ft0wiy6lsy937j7nw6msq1","PN":"N. Dorsch","TEAMID":2891,"TUUID":"3xcg7xikgrn2x8oa65sopb2is","O":1,"X":31.4,"Y":27.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["25.1"]},{"I":141,"V":["17.7"]},{"I":212,"V":["9.584692"]},{"I":213,"V":["3.950675"]},{"I":318,"V":["0.00000306"]}]}}}
[2025-08-23 19:14:17.921] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":128,"TS":"2025-08-23T14:44:16.790","TID":1,"PID":1,"M":13,"S":46,"PLID":153635,"PLUUID":"9heh3f6hvyp4sgbu0ft4xfh05","PN":"P. Mainka","TEAMID":2891,"TUUID":"3xcg7xikgrn2x8oa65sopb2is","O":1,"X":25.1,"Y":17.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["33.0"]},{"I":141,"V":["5.0"]},{"I":212,"V":["12.0729"]},{"I":213,"V":["5.469846"]},{"I":318,"V":["0.00000455"]}]}}}
[2025-08-23 19:14:18.916] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":129,"TS":"2025-08-23T14:44:17.606","TID":1,"PID":1,"M":13,"S":46,"PLID":193494,"PLUUID":"98glpci54ztzmd3yn1kttlvpx","PN":"M. Busch","TEAMID":2891,"TUUID":"3xcg7xikgrn2x8oa65sopb2is","O":1,"X":33,"Y":5,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["34.2"]},{"I":141,"V":["15.6"]},{"I":212,"V":["7.317299"]},{"I":213,"V":["1.397739"]},{"I":318,"V":["0.00000716"]}]}}}
[2025-08-23 19:14:19.340] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":130,"TS":"2025-08-23T14:44:18.566","TID":1,"PID":1,"M":13,"S":47,"PLID":486505,"PLUUID":"bqjrib66m08p1qw8315ljc38q","PN":"J. Sch\u00f6ppner","TEAMID":2891,"TUUID":"3xcg7xikgrn2x8oa65sopb2is","O":0,"X":33.7,"Y":16,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["43.5"]},{"I":141,"V":["22.1"]},{"I":212,"V":["11.09459"]},{"I":213,"V":["0.3831844"]}]}}}
[2025-08-23 19:14:20.119] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":99,"TS":"2025-08-23T14:44:19.786","TID":8,"PID":1,"M":13,"S":49,"PLID":109219,"PLUUID":"acxwc7xxrtyssiy390t859kgl","PN":"M. Arnold","TEAMID":172,"TUUID":"a8l3w3n0j99qjlsxj3jnmgkz1","O":1,"X":57.5,"Y":73.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Center"]}]}}}
[2025-08-23 19:14:20.339] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":131,"TS":"2025-08-23T14:44:20.6","TID":3,"PID":1,"M":13,"S":49,"PLID":486505,"PLUUID":"bqjrib66m08p1qw8315ljc38q","PN":"J. Sch\u00f6ppner","TEAMID":2891,"TUUID":"3xcg7xikgrn2x8oa65sopb2is","O":0,"X":38.8,"Y":24.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":286,"V":["NULL"]}]}}}
[2025-08-23 19:14:22.139] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":100,"TS":"2025-08-23T14:44:20.905","TID":7,"PID":1,"M":13,"S":50,"PLID":109219,"PLUUID":"acxwc7xxrtyssiy390t859kgl","PN":"M. Arnold","TEAMID":172,"TUUID":"a8l3w3n0j99qjlsxj3jnmgkz1","O":1,"X":58.2,"Y":73.5,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Center"]},{"I":285,"V":["NULL"]}]}}}
[2025-08-23 19:14:22.332] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":101,"TS":"2025-08-23T14:44:21.881","TID":49,"PID":1,"M":13,"S":51,"PLID":109219,"PLUUID":"acxwc7xxrtyssiy390t859kgl","PN":"M. Arnold","TEAMID":172,"TUUID":"a8l3w3n0j99qjlsxj3jnmgkz1","O":1,"X":59.2,"Y":73.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[]}}}
[2025-08-23 19:14:28.586] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":102,"TS":"2025-08-23T14:44:22.746","TID":1,"PID":1,"M":13,"S":52,"PLID":109219,"PLUUID":"acxwc7xxrtyssiy390t859kgl","PN":"M. Arnold","TEAMID":172,"TUUID":"a8l3w3n0j99qjlsxj3jnmgkz1","O":1,"X":62.8,"Y":74.2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":155,"V":["NULL"]},{"I":196,"V":["NULL"]},{"I":56,"V":["Right"]},{"I":140,"V":["89.4"]},{"I":141,"V":["7.9"]},{"I":212,"V":["53.03444"]},{"I":213,"V":["5.267031"]},{"I":1,"V":["NULL"]},{"I":318,"V":["0.00277752"]}]}}}
[2025-08-23 19:14:29.796] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":103,"TS":"2025-08-23T14:44:28.234","TID":1,"PID":1,"M":13,"S":57,"PLID":522019,"PLUUID":"8ri0md3tr27a1bn10xmfkgsus","PN":"D. Pej\u010dinovi\u0107","TEAMID":172,"TUUID":"a8l3w3n0j99qjlsxj3jnmgkz1","O":1,"X":89.4,"Y":9.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Right"]},{"I":140,"V":["76.4"]},{"I":141,"V":["9.6"]},{"I":212,"V":["13.65152"]},{"I":213,"V":["3.126649"]},{"I":318,"V":["0.00108847"]}]}}}
[2025-08-23 19:14:32.510] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":104,"TS":"2025-08-23T14:44:29.513","TID":1,"PID":1,"M":13,"S":58,"PLID":430368,"PLUUID":"5asv6uc3a4xxsr9u30kdfc0ve","PN":"A. Skov Olsen","TEAMID":172,"TUUID":"a8l3w3n0j99qjlsxj3jnmgkz1","O":1,"X":76.4,"Y":9.6,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Right"]},{"I":140,"V":["69.8"]},{"I":141,"V":["18.4"]},{"I":212,"V":["9.156045"]},{"I":213,"V":["2.429318"]},{"I":318,"V":["0.00093054"]}]}}}
[2025-08-23 19:14:32.899] [POEM] {"data":{"OID":2569053,"UUID":"cvxiwe1m7tpfeel02s60xym8k","POEM":{"EVID":105,"TS":"2025-08-23T14:44:31.995","TID":39,"PID":1,"M":14,"S":1,"PLID":229046,"PLUUID":"3hd9nxdb54zn4fhbf7qa7x0q1","PN":"L. Majer","TEAMID":172,"TUUID":"a8l3w3n0j99qjlsxj3jnmgkz1","O":1,"X":71.7,"Y":31.5,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":22,"V":["NULL"]},{"I":18,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":327,"V":["2"]},{"I":326,"V":["2"]},{"I":250,"V":["NULL"]}]}}}
