[2025-08-17 21:01:28.187] [OUT] {"outlet":{"OutletKeyService":{"outletid":"1hugdxmjczoe21vm8x6kz0zx82"}}}
[2025-08-17 21:01:28.910] [OUT] {"csb":{"name":"init","token":"85372212-5e58-4988-9df1-668199ec69e5","apptype":"OptaWidgetsV3","version":"3.248.1","referer":"pub.fotmob.com","topReferer":"www.fotmob.com"}}
[2025-08-17 21:01:29.626] [OUT] {"csb":{"name":"subscribe","messagetype":["POEM"],"sendLastData":true,"eventuuid":"74h5os2atpg4gkrdbrss9gefo"}}
[2025-08-17 21:02:31.537] [POEM] {"data":{"OID":2568436,"UUID":"74h5os2atpg4gkrdbrss9gefo","POEM":{"EVID":148,"TS":"2025-08-17T16:32:27.827","TID":1,"PID":1,"M":17,"S":18,"PLID":208973,"PLUUID":"a1oi2uvchhnwi4kqw9npdp0q1","PN":"F. Sierralta","TEAMID":138,"TUUID":"9bxav814mkuhueiyivyive82d","O":1,"X":4.4,"Y":61.2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":124,"V":["NULL"]},{"I":56,"V":["Back"]},{"I":140,"V":["5.2"]},{"I":141,"V":["51.2"]},{"I":212,"V":["6.851686"]},{"I":213,"V":["4.835296"]},{"I":318,"V":["0.00000046"]},{"I":237,"V":["NULL"]}]}}}
[2025-08-17 21:02:31.947] [POEM] {"data":{"OID":2568436,"UUID":"74h5os2atpg4gkrdbrss9gefo","POEM":{"EVID":149,"TS":"2025-08-17T16:32:32.35","TID":1,"PID":1,"M":17,"S":22,"PLID":103116,"PLUUID":"cglp4k40r1t672m7j0eb5ktsl","PN":"D. L\u00e9on","TEAMID":138,"TUUID":"9bxav814mkuhueiyivyive82d","O":0,"X":7,"Y":50,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":157,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":140,"V":["51.8"]},{"I":141,"V":["48.1"]},{"I":212,"V":["47.05774"]},{"I":213,"V":["6.255726"]},{"I":1,"V":["NULL"]}]}}}
[2025-08-17 21:02:32.544] [POEM] {"data":{"OID":2568436,"UUID":"74h5os2atpg4gkrdbrss9gefo","POEM":{"EVID":167,"TS":"2025-08-17T16:32:20.986","TID":5,"PID":1,"M":17,"S":11,"PLID":626970,"PLUUID":"drvxsxvv0g03fw69sf8xvyp6","PN":"M. Bamba","TEAMID":694,"TUUID":"70nn27vgkt6l48lvv5e66q7ww","O":0,"X":100.7,"Y":66,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":346,"V":["NULL"]}]}}}
[2025-08-17 21:02:33.546] [POEM] {"data":{"OID":2568436,"UUID":"74h5os2atpg4gkrdbrss9gefo","POEM":{"EVID":168,"TS":"2025-08-17T16:32:32.954","TID":1,"PID":1,"M":17,"S":23,"PLID":476401,"PLUUID":"5emz2pmqmy4ksbmmt3krbtzze","PN":"F. Mendy","TEAMID":694,"TUUID":"70nn27vgkt6l48lvv5e66q7ww","O":1,"X":46.5,"Y":49.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":3,"V":["NULL"]},{"I":56,"V":["Back"]},{"I":140,"V":["45.5"]},{"I":141,"V":["72.3"]},{"I":212,"V":["15.60736"]},{"I":213,"V":["1.638123"]},{"I":318,"V":["0.00003667"]}]}}}
[2025-08-17 21:02:34.540] [POEM] {"data":{"OID":2568436,"UUID":"74h5os2atpg4gkrdbrss9gefo","POEM":{"EVID":169,"TS":"2025-08-17T16:32:34.58","TID":1,"PID":1,"M":17,"S":24,"PLID":651819,"PLUUID":"5c2zuz7f53hvqn5be1k2nddsk","PN":"A. Kouassi","TEAMID":694,"TUUID":"70nn27vgkt6l48lvv5e66q7ww","O":1,"X":45.3,"Y":74.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":3,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":140,"V":["62.4"]},{"I":141,"V":["72.3"]},{"I":212,"V":["18.04184"]},{"I":213,"V":["6.185033"]},{"I":318,"V":["0.00058894"]}]}}}
[2025-08-17 21:02:34.770] [POEM] {"data":{"OID":2568436,"UUID":"74h5os2atpg4gkrdbrss9gefo","POEM":{"EVID":170,"TS":"2025-08-17T16:32:35.34","TID":49,"PID":1,"M":17,"S":25,"PLID":551976,"PLUUID":"5xswuoacpzuco82mmu00gjyms","PN":"P. Pagis","TEAMID":694,"TUUID":"70nn27vgkt6l48lvv5e66q7ww","O":1,"X":62.2,"Y":72.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[]}}}
[2025-08-17 21:02:38.942] [POEM] {"data":{"OID":2568436,"UUID":"74h5os2atpg4gkrdbrss9gefo","POEM":{"EVID":171,"TS":"2025-08-17T16:32:36.314","TID":1,"PID":1,"M":17,"S":26,"PLID":551976,"PLUUID":"5xswuoacpzuco82mmu00gjyms","PN":"P. Pagis","TEAMID":694,"TUUID":"70nn27vgkt6l48lvv5e66q7ww","O":1,"X":54.7,"Y":69.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["55.5"]},{"I":141,"V":["78.8"]},{"I":212,"V":["6.514384"]},{"I":213,"V":["1.441491"]},{"I":318,"V":["0.00014459"]}]}}}
[2025-08-17 21:02:41.347] [POEM] {"data":{"OID":2568436,"UUID":"74h5os2atpg4gkrdbrss9gefo","POEM":{"EVID":172,"TS":"2025-08-17T16:32:39.466","TID":1,"PID":1,"M":17,"S":29,"PLID":651819,"PLUUID":"5c2zuz7f53hvqn5be1k2nddsk","PN":"A. Kouassi","TEAMID":694,"TUUID":"70nn27vgkt6l48lvv5e66q7ww","O":1,"X":59.8,"Y":81.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["57.8"]},{"I":141,"V":["72.5"]},{"I":212,"V":["6.728125"]},{"I":213,"V":["4.394962"]},{"I":318,"V":["0.00024119"]}]}}}
[2025-08-17 21:02:41.558] [POEM] {"data":{"OID":2568436,"UUID":"74h5os2atpg4gkrdbrss9gefo","POEM":{"EVID":173,"TS":"2025-08-17T16:32:41.754","TID":50,"PID":1,"M":17,"S":31,"PLID":107258,"PLUUID":"3hiehiu25aufrc0q9890haqc5","PN":"L. Abergel","TEAMID":694,"TUUID":"70nn27vgkt6l48lvv5e66q7ww","O":0,"X":59.7,"Y":72.6,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":286,"V":["NULL"]}]}}}
[2025-08-17 21:02:46.023] [POEM] {"data":{"OID":2568436,"UUID":"74h5os2atpg4gkrdbrss9gefo","POEM":{"EVID":150,"TS":"2025-08-17T16:32:44.299","TID":7,"PID":1,"M":17,"S":34,"PLID":247389,"PLUUID":"ebx4h86svfnvegspalqgxqfah","PN":"E. Owusu","TEAMID":138,"TUUID":"9bxav814mkuhueiyivyive82d","O":1,"X":34.2,"Y":29.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":285,"V":["NULL"]}]}}}
[2025-08-17 21:02:46.028] [POEM] {"data":{"OID":2568436,"UUID":"74h5os2atpg4gkrdbrss9gefo","POEM":{"EVID":151,"TS":"2025-08-17T16:32:46.123","TID":49,"PID":1,"M":17,"S":36,"PLID":247389,"PLUUID":"ebx4h86svfnvegspalqgxqfah","PN":"E. Owusu","TEAMID":138,"TUUID":"9bxav814mkuhueiyivyive82d","O":1,"X":36.8,"Y":29.2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[]}}}
[2025-08-17 21:02:46.030] [POEM] {"data":{"OID":2568436,"UUID":"74h5os2atpg4gkrdbrss9gefo","POEM":{"EVID":174,"TS":"2025-08-17T16:32:46.458","TID":8,"PID":1,"M":17,"S":36,"PLID":177020,"PLUUID":"31ur1f7xmxndnnabhrxyov6xh","PN":"Igor Silva","TEAMID":694,"TUUID":"70nn27vgkt6l48lvv5e66q7ww","O":1,"X":52.6,"Y":78.6,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]}]}}}
[2025-08-17 21:02:46.960] [POEM] {"data":{"OID":2568436,"UUID":"74h5os2atpg4gkrdbrss9gefo","POEM":{"EVID":152,"TS":"2025-08-17T16:32:46.235","TID":1,"PID":1,"M":17,"S":36,"PLID":247389,"PLUUID":"ebx4h86svfnvegspalqgxqfah","PN":"E. Owusu","TEAMID":138,"TUUID":"9bxav814mkuhueiyivyive82d","O":0,"X":36.8,"Y":29.2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Right"]},{"I":140,"V":["54.1"]},{"I":141,"V":["12.4"]},{"I":212,"V":["21.45868"]},{"I":213,"V":["5.721785"]}]}}}
[2025-08-17 21:02:46.978] [POEM] {"data":{"OID":2568436,"UUID":"74h5os2atpg4gkrdbrss9gefo","POEM":{"EVID":175,"TS":"2025-08-17T16:32:47.531","TID":49,"PID":1,"M":17,"S":37,"PLID":651819,"PLUUID":"5c2zuz7f53hvqn5be1k2nddsk","PN":"A. Kouassi","TEAMID":694,"TUUID":"70nn27vgkt6l48lvv5e66q7ww","O":1,"X":65.1,"Y":84.2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[]}}}
[2025-08-17 21:02:48.957] [POEM] {"data":{"OID":2568436,"UUID":"74h5os2atpg4gkrdbrss9gefo","POEM":{"EVID":176,"TS":"2025-08-17T16:32:49.354","TID":50,"PID":1,"M":17,"S":39,"PLID":651819,"PLUUID":"5c2zuz7f53hvqn5be1k2nddsk","PN":"A. Kouassi","TEAMID":694,"TUUID":"70nn27vgkt6l48lvv5e66q7ww","O":0,"X":67.7,"Y":86.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Left"]},{"I":286,"V":["NULL"]}]}}}
[2025-08-17 21:02:49.576] [POEM] {"data":{"OID":2568436,"UUID":"74h5os2atpg4gkrdbrss9gefo","POEM":{"EVID":177,"TS":"2025-08-17T16:32:50.74","TID":61,"PID":1,"M":17,"S":40,"PLID":651819,"PLUUID":"5c2zuz7f53hvqn5be1k2nddsk","PN":"A. Kouassi","TEAMID":694,"TUUID":"70nn27vgkt6l48lvv5e66q7ww","O":1,"X":68.1,"Y":86.1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Left"]}]}}}
[2025-08-17 21:02:51.774] [POEM] {"data":{"OID":2568436,"UUID":"74h5os2atpg4gkrdbrss9gefo","POEM":{"EVID":153,"TS":"2025-08-17T16:32:49.568","TID":7,"PID":1,"M":17,"S":39,"PLID":247389,"PLUUID":"ebx4h86svfnvegspalqgxqfah","PN":"E. Owusu","TEAMID":138,"TUUID":"9bxav814mkuhueiyivyive82d","O":1,"X":28.4,"Y":7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":285,"V":["NULL"]}]}}}
[2025-08-17 21:02:51.790] [POEM] {"data":{"OID":2568436,"UUID":"74h5os2atpg4gkrdbrss9gefo","POEM":{"EVID":178,"TS":"2025-08-17T16:32:50.794","TID":7,"PID":1,"M":17,"S":40,"PLID":177020,"PLUUID":"31ur1f7xmxndnnabhrxyov6xh","PN":"Igor Silva","TEAMID":694,"TUUID":"70nn27vgkt6l48lvv5e66q7ww","O":1,"X":68.2,"Y":85.2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Left"]},{"I":286,"V":["NULL"]}]}}}
[2025-08-17 21:02:51.800] [POEM] {"data":{"OID":2568436,"UUID":"74h5os2atpg4gkrdbrss9gefo","POEM":{"EVID":154,"TS":"2025-08-17T16:32:51.974","TID":50,"PID":1,"M":17,"S":42,"PLID":247389,"PLUUID":"ebx4h86svfnvegspalqgxqfah","PN":"E. Owusu","TEAMID":138,"TUUID":"9bxav814mkuhueiyivyive82d","O":0,"X":33.4,"Y":7.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":286,"V":["NULL"]}]}}}
[2025-08-17 21:02:53.170] [POEM] {"data":{"OID":2568436,"UUID":"74h5os2atpg4gkrdbrss9gefo","POEM":{"EVID":155,"TS":"2025-08-17T16:32:53.605","TID":45,"PID":1,"M":17,"S":43,"PLID":247389,"PLUUID":"ebx4h86svfnvegspalqgxqfah","PN":"E. Owusu","TEAMID":138,"TUUID":"9bxav814mkuhueiyivyive82d","O":0,"X":33.7,"Y":9.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":285,"V":["NULL"]}]}}}
[2025-08-17 21:02:53.968] [POEM] {"data":{"OID":2568436,"UUID":"74h5os2atpg4gkrdbrss9gefo","POEM":{"EVID":179,"TS":"2025-08-17T16:32:52.235","TID":3,"PID":1,"M":17,"S":42,"PLID":551976,"PLUUID":"5xswuoacpzuco82mmu00gjyms","PN":"P. Pagis","TEAMID":694,"TUUID":"70nn27vgkt6l48lvv5e66q7ww","O":1,"X":68.3,"Y":84.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Left"]},{"I":286,"V":["NULL"]}]}}}
[2025-08-17 21:02:59.579] [POEM] {"data":{"OID":2568436,"UUID":"74h5os2atpg4gkrdbrss9gefo","POEM":{"EVID":180,"TS":"2025-08-17T16:32:54.347","TID":1,"PID":1,"M":17,"S":44,"PLID":551976,"PLUUID":"5xswuoacpzuco82mmu00gjyms","PN":"P. Pagis","TEAMID":694,"TUUID":"70nn27vgkt6l48lvv5e66q7ww","O":1,"X":62.1,"Y":90.6,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["47.6"]},{"I":141,"V":["79.8"]},{"I":212,"V":["16.9037"]},{"I":213,"V":["3.591033"]},{"I":318,"V":["0.0000683"]}]}}}
[2025-08-17 21:03:04.732] [POEM] {"data":{"OID":2568436,"UUID":"74h5os2atpg4gkrdbrss9gefo","POEM":{"EVID":181,"TS":"2025-08-17T16:33:00.794","TID":1,"PID":1,"M":17,"S":50,"PLID":107258,"PLUUID":"3hiehiu25aufrc0q9890haqc5","PN":"L. Abergel","TEAMID":694,"TUUID":"70nn27vgkt6l48lvv5e66q7ww","O":1,"X":56.2,"Y":54.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Right"]},{"I":140,"V":["55.3"]},{"I":141,"V":["10.6"]},{"I":212,"V":["29.73102"]},{"I":213,"V":["4.680599"]},{"I":318,"V":["0.00015292"]}]}}}
[2025-08-17 21:03:07.061] [POEM] {"data":{"OID":2568436,"UUID":"74h5os2atpg4gkrdbrss9gefo","POEM":{"EVID":182,"TS":"2025-08-17T16:33:05.115","TID":1,"PID":1,"M":17,"S":55,"PLID":476401,"PLUUID":"5emz2pmqmy4ksbmmt3krbtzze","PN":"F. Mendy","TEAMID":694,"TUUID":"70nn27vgkt6l48lvv5e66q7ww","O":1,"X":60,"Y":8.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Right"]},{"I":140,"V":["69.7"]},{"I":141,"V":["14.5"]},{"I":212,"V":["10.8976"]},{"I":213,"V":["0.363636"]},{"I":318,"V":["0.00049166"]}]}}}
[2025-08-17 21:03:07.274] [POEM] {"data":{"OID":2568436,"UUID":"74h5os2atpg4gkrdbrss9gefo","POEM":{"EVID":183,"TS":"2025-08-17T16:33:07.499","TID":61,"PID":1,"M":17,"S":57,"PLID":606371,"PLUUID":"5wsz3usdkj01snq28pzpiwb2s","PN":"A. Avom","TEAMID":694,"TUUID":"70nn27vgkt6l48lvv5e66q7ww","O":0,"X":68.7,"Y":15.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Right"]}]}}}
[2025-08-17 21:03:09.499] [POEM] {"data":{"OID":2568436,"UUID":"74h5os2atpg4gkrdbrss9gefo","POEM":{"EVID":184,"TS":"2025-08-17T16:33:08.731","TID":1,"PID":1,"M":17,"S":58,"PLID":606371,"PLUUID":"5wsz3usdkj01snq28pzpiwb2s","PN":"A. Avom","TEAMID":694,"TUUID":"70nn27vgkt6l48lvv5e66q7ww","O":1,"X":67.8,"Y":10.6,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["61.5"]},{"I":141,"V":["21.4"]},{"I":212,"V":["9.883955"]},{"I":213,"V":["2.304018"]},{"I":318,"V":["0.0003402"]}]}}}
[2025-08-17 21:03:10.505] [POEM] {"data":{"OID":2568436,"UUID":"74h5os2atpg4gkrdbrss9gefo","POEM":{"EVID":156,"TS":"2025-08-17T16:33:10.716","TID":1,"PID":1,"M":18,"S":0,"PLID":545272,"PLUUID":"4sjs5ktvkun9g96w6h5a39puc","PN":"K. Danois","TEAMID":138,"TUUID":"9bxav814mkuhueiyivyive82d","O":0,"X":33.2,"Y":85.2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["41.6"]},{"I":141,"V":["74.1"]},{"I":212,"V":["11.60882"]},{"I":213,"V":["5.575344"]}]}}}
[2025-08-17 21:03:11.272] [POEM] {"data":{"OID":2568436,"UUID":"74h5os2atpg4gkrdbrss9gefo","POEM":{"EVID":185,"TS":"2025-08-17T16:33:09.963","TID":1,"PID":1,"M":18,"S":0,"PLID":107258,"PLUUID":"3hiehiu25aufrc0q9890haqc5","PN":"L. Abergel","TEAMID":694,"TUUID":"70nn27vgkt6l48lvv5e66q7ww","O":1,"X":61.4,"Y":21.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["69.8"]},{"I":141,"V":["26.3"]},{"I":212,"V":["9.358247"]},{"I":213,"V":["0.34081"]},{"I":318,"V":["0.00107867"]}]}}}
[2025-08-17 21:03:12.275] [POEM] {"data":{"OID":2568436,"UUID":"74h5os2atpg4gkrdbrss9gefo","POEM":{"EVID":186,"TS":"2025-08-17T16:33:11.723","TID":1,"PID":1,"M":18,"S":1,"PLID":250182,"PLUUID":"92x4ssmd4sq2upjn0dyws5wq1","PN":"A. Tosin","TEAMID":694,"TUUID":"70nn27vgkt6l48lvv5e66q7ww","O":1,"X":69.8,"Y":26.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Right"]},{"I":140,"V":["68.6"]},{"I":141,"V":["19.9"]},{"I":212,"V":["4.530729"]},{"I":213,"V":["4.430573"]},{"I":318,"V":["0.00078037"]}]}}}
