[2025-08-19 00:32:44.800] [OUT] {"outlet":{"OutletKeyService":{"outletid":"1hugdxmjczoe21vm8x6kz0zx82"}}}
[2025-08-19 00:32:45.449] [OUT] {"csb":{"name":"init","token":"85372212-5e58-4988-9df1-668199ec69e5","apptype":"OptaWidgetsV3","version":"3.248.1","referer":"pub.fotmob.com","topReferer":"www.fotmob.com"}}
[2025-08-19 00:32:46.097] [OUT] {"csb":{"name":"subscribe","messagetype":["POEM"],"sendLastData":true,"eventuuid":"13ylro8dy443m52qxwrxm9zis"}}
[2025-08-19 00:33:05.733] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":20,"TS":"2025-08-18T20:03:04.708","TID":1,"PID":1,"M":0,"S":59,"PLID":235826,"PLUUID":"6ka58mn83rknx80e4y2jk3949","PN":"J. Piroe","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":0,"X":56.1,"Y":14.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":3,"V":["NULL"]},{"I":56,"V":["Right"]},{"I":140,"V":["60.2"]},{"I":141,"V":["-0.5"]},{"I":212,"V":["11.19669"]},{"I":213,"V":["5.107043"]}]}}}
[2025-08-19 00:33:05.936] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":21,"TS":"2025-08-18T20:03:05.417","TID":5,"PID":1,"M":1,"S":0,"PLID":235826,"PLUUID":"6ka58mn83rknx80e4y2jk3949","PN":"J. Piroe","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":0,"X":60.2,"Y":-0.5,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Right"]},{"I":347,"V":["NULL"]}]}}}
[2025-08-19 00:33:13.598] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":20,"TS":"2025-08-18T20:03:05.854","TID":5,"PID":1,"M":1,"S":1,"PLID":106611,"PLUUID":"6og6s61vrg51rfqxk9cipylzp","PN":"M. Keane","TEAMID":11,"TUUID":"ehd2iemqmschhj2ec0vayztzz","O":1,"X":38.1,"Y":102,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":347,"V":["NULL"]}]}}}
[2025-08-19 00:33:16.019] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":22,"TS":"2025-08-18T20:03:15.693","TID":45,"PID":1,"M":1,"S":10,"PLID":199598,"PLUUID":"f1ma05bi3t1hfbflylx5d9tyh","PN":"E. Ampadu","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":0,"X":27.2,"Y":21.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":285,"V":["NULL"]}]}}}
[2025-08-19 00:33:16.207] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":21,"TS":"2025-08-18T20:03:13.389","TID":1,"PID":1,"M":1,"S":8,"PLID":232928,"PLUUID":"15948izygnu32cu1pw6h5wp9l","PN":"J. Garner","TEAMID":11,"TUUID":"ehd2iemqmschhj2ec0vayztzz","O":1,"X":33,"Y":100.5,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":107,"V":["NULL"]},{"I":56,"V":["Back"]},{"I":140,"V":["20.5"]},{"I":141,"V":["83.8"]},{"I":212,"V":["17.35582"]},{"I":213,"V":["3.854856"]},{"I":318,"V":["0.00000058"]}]}}}
[2025-08-19 00:33:18.216] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":22,"TS":"2025-08-18T20:03:15.982","TID":1,"PID":1,"M":1,"S":11,"PLID":106611,"PLUUID":"6og6s61vrg51rfqxk9cipylzp","PN":"M. Keane","TEAMID":11,"TUUID":"ehd2iemqmschhj2ec0vayztzz","O":1,"X":24.8,"Y":82.6,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["15.6"]},{"I":141,"V":["49.8"]},{"I":212,"V":["24.30605"]},{"I":213,"V":["4.303672"]},{"I":318,"V":["0.00000108"]}]}}}
[2025-08-19 00:33:28.241] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":23,"TS":"2025-08-18T20:03:21.678","TID":1,"PID":1,"M":1,"S":16,"PLID":111234,"PLUUID":"e8dina16u5kt5ho4u5igtmimt","PN":"J. Pickford","TEAMID":11,"TUUID":"ehd2iemqmschhj2ec0vayztzz","O":1,"X":17.1,"Y":49.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["27.3"]},{"I":141,"V":["19.2"]},{"I":212,"V":["23.16099"]},{"I":213,"V":["5.193107"]},{"I":318,"V":["0.00000268"]}]}}}
[2025-08-19 00:33:29.439] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":24,"TS":"2025-08-18T20:03:28.29","TID":1,"PID":1,"M":1,"S":23,"PLID":17761,"PLUUID":"35jaxclh329duzefna708jk5x","PN":"J. Tarkowski","TEAMID":11,"TUUID":"ehd2iemqmschhj2ec0vayztzz","O":0,"X":31.3,"Y":17,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":155,"V":["NULL"]},{"I":56,"V":["Right"]},{"I":140,"V":["77.0"]},{"I":141,"V":["17.9"]},{"I":212,"V":["47.9889"]},{"I":213,"V":["0.01275329"]},{"I":1,"V":["NULL"]}]}}}
[2025-08-19 00:33:31.836] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":23,"TS":"2025-08-18T20:03:30.820","TID":1,"PID":1,"M":1,"S":26,"PLID":243526,"PLUUID":"fij46jr9fq43444gr1y8tl9l","PN":"G. Gudmundsson","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":29.3,"Y":81.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":3,"V":["NULL"]},{"I":56,"V":["Back"]},{"I":140,"V":["35.6"]},{"I":141,"V":["82.9"]},{"I":212,"V":["6.693178"]},{"I":213,"V":["0.1529901"]},{"I":318,"V":["0.00000435"]}]}}}
[2025-08-19 00:33:32.049] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":24,"TS":"2025-08-18T20:03:31.556","TID":49,"PID":1,"M":1,"S":26,"PLID":199598,"PLUUID":"f1ma05bi3t1hfbflylx5d9tyh","PN":"E. Ampadu","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":35.6,"Y":82.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[]}}}
[2025-08-19 00:33:32.643] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":25,"TS":"2025-08-18T20:03:31.724","TID":1,"PID":1,"M":1,"S":26,"PLID":199598,"PLUUID":"f1ma05bi3t1hfbflylx5d9tyh","PN":"E. Ampadu","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":35.6,"Y":82.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["38.9"]},{"I":141,"V":["95.1"]},{"I":212,"V":["8.990541"]},{"I":213,"V":["1.17515"]},{"I":318,"V":["0.00000685"]}]}}}
[2025-08-19 00:33:32.867] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":26,"TS":"2025-08-18T20:03:32.316","TID":1,"PID":1,"M":1,"S":27,"PLID":492859,"PLUUID":"9z2j13bl5yh4i1vyofautc9yi","PN":"W. Gnonto","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":38.9,"Y":95.1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["33.2"]},{"I":141,"V":["95.4"]},{"I":212,"V":["5.988476"]},{"I":213,"V":["3.107521"]},{"I":318,"V":["0.00000351"]}]}}}
[2025-08-19 00:33:34.700] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":25,"TS":"2025-08-18T20:03:34.462","TID":45,"PID":1,"M":1,"S":29,"PLID":502697,"PLUUID":"18qxb54ol1s4mtgl7n3224ciy","PN":"C. Alcaraz","TEAMID":11,"TUUID":"ehd2iemqmschhj2ec0vayztzz","O":0,"X":69.8,"Y":10,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Right"]},{"I":286,"V":["NULL"]}]}}}
[2025-08-19 00:33:38.354] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":27,"TS":"2025-08-18T20:03:37.188","TID":1,"PID":1,"M":1,"S":32,"PLID":243526,"PLUUID":"fij46jr9fq43444gr1y8tl9l","PN":"G. Gudmundsson","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":34.8,"Y":96.5,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["34.8"]},{"I":141,"V":["96.5"]},{"I":212,"V":["0"]},{"I":213,"V":["0"]},{"I":318,"V":["0.00000329"]}]}}}
[2025-08-19 00:33:39.749] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":28,"TS":"2025-08-18T20:03:38.581","TID":1,"PID":1,"M":1,"S":33,"PLID":466525,"PLUUID":"az7owi5t4bclkamjsjuyxzv1l","PN":"A. Stach","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":42.8,"Y":92.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["44"]},{"I":141,"V":["98.3"]},{"I":212,"V":["4.270129"]},{"I":213,"V":["1.271264"]},{"I":318,"V":["0.00001037"]}]}}}
[2025-08-19 00:33:43.075] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":29,"TS":"2025-08-18T20:03:39.508","TID":1,"PID":1,"M":1,"S":34,"PLID":492859,"PLUUID":"9z2j13bl5yh4i1vyofautc9yi","PN":"W. Gnonto","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":43.5,"Y":98.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["47.4"]},{"I":141,"V":["90"]},{"I":212,"V":["6.973074"]},{"I":213,"V":["5.340057"]},{"I":318,"V":["0.00002076"]}]}}}
[2025-08-19 00:33:44.100] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":26,"TS":"2025-08-18T20:03:43.805","TID":45,"PID":1,"M":1,"S":39,"PLID":17761,"PLUUID":"35jaxclh329duzefna708jk5x","PN":"J. Tarkowski","TEAMID":11,"TUUID":"ehd2iemqmschhj2ec0vayztzz","O":0,"X":38.9,"Y":37.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":285,"V":["NULL"]}]}}}
[2025-08-19 00:33:44.279] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":30,"TS":"2025-08-18T20:03:42.877","TID":3,"PID":1,"M":1,"S":38,"PLID":466525,"PLUUID":"az7owi5t4bclkamjsjuyxzv1l","PN":"A. Stach","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":58.1,"Y":82.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Left"]},{"I":286,"V":["NULL"]}]}}}
[2025-08-19 00:33:45.289] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":31,"TS":"2025-08-18T20:03:44.77","TID":1,"PID":1,"M":1,"S":39,"PLID":466525,"PLUUID":"az7owi5t4bclkamjsjuyxzv1l","PN":"A. Stach","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":0,"X":59.9,"Y":78.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["60.1"]},{"I":141,"V":["75.6"]},{"I":212,"V":["2.18611"]},{"I":213,"V":["4.808599"]}]}}}
[2025-08-19 00:33:45.884] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":27,"TS":"2025-08-18T20:03:45.705","TID":61,"PID":1,"M":1,"S":40,"PLID":80801,"PLUUID":"ceerfv28fygp7m2euv5n5uu39","PN":"I. Gueye","TEAMID":11,"TUUID":"ehd2iemqmschhj2ec0vayztzz","O":1,"X":42.3,"Y":18.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]}]}}}
[2025-08-19 00:33:47.859] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":32,"TS":"2025-08-18T20:03:45.508","TID":1,"PID":1,"M":1,"S":40,"PLID":466525,"PLUUID":"az7owi5t4bclkamjsjuyxzv1l","PN":"A. Stach","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":64.7,"Y":79,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Left"]},{"I":140,"V":["68.2"]},{"I":141,"V":["95.4"]},{"I":212,"V":["11.74192"]},{"I":213,"V":["1.252466"]},{"I":318,"V":["0.00023476"]}]}}}
[2025-08-19 00:33:50.562] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":33,"TS":"2025-08-18T20:03:50.156","TID":3,"PID":1,"M":1,"S":45,"PLID":492859,"PLUUID":"9z2j13bl5yh4i1vyofautc9yi","PN":"W. Gnonto","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":0,"X":80.7,"Y":86,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Left"]},{"I":286,"V":["NULL"]}]}}}
[2025-08-19 00:33:50.577] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":28,"TS":"2025-08-18T20:03:50.125","TID":7,"PID":1,"M":1,"S":45,"PLID":490094,"PLUUID":"axj86ms31y5wju5431l5j2lwq","PN":"T. Iroegbunam","TEAMID":11,"TUUID":"ehd2iemqmschhj2ec0vayztzz","O":0,"X":23.3,"Y":23.2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":285,"V":["NULL"]}]}}}
[2025-08-19 00:33:50.974] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":34,"TS":"2025-08-18T20:03:50.814","TID":61,"PID":1,"M":1,"S":46,"PLID":492859,"PLUUID":"9z2j13bl5yh4i1vyofautc9yi","PN":"W. Gnonto","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":78.3,"Y":81.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Left"]}]}}}
[2025-08-19 00:33:54.171] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":29,"TS":"2025-08-18T20:03:51.453","TID":49,"PID":1,"M":1,"S":46,"PLID":502697,"PLUUID":"18qxb54ol1s4mtgl7n3224ciy","PN":"C. Alcaraz","TEAMID":11,"TUUID":"ehd2iemqmschhj2ec0vayztzz","O":1,"X":26,"Y":28.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[]}}}
[2025-08-19 00:33:54.372] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":30,"TS":"2025-08-18T20:03:51.741","TID":1,"PID":1,"M":1,"S":46,"PLID":502697,"PLUUID":"18qxb54ol1s4mtgl7n3224ciy","PN":"C. Alcaraz","TEAMID":11,"TUUID":"ehd2iemqmschhj2ec0vayztzz","O":1,"X":26,"Y":28.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["17.7"]},{"I":141,"V":["23.1"]},{"I":212,"V":["9.430802"]},{"I":213,"V":["3.533717"]},{"I":318,"V":["0.0000009"]}]}}}
[2025-08-19 00:33:54.578] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":31,"TS":"2025-08-18T20:03:53.166","TID":1,"PID":1,"M":1,"S":48,"PLID":512462,"PLUUID":"8u5vfczmsnklqp9bpilrbvy8k","PN":"J. O'Brien","TEAMID":11,"TUUID":"ehd2iemqmschhj2ec0vayztzz","O":0,"X":14.7,"Y":20.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":157,"V":["NULL"]},{"I":56,"V":["Back"]},{"I":140,"V":["17.5"]},{"I":141,"V":["18.8"]},{"I":212,"V":["3.239321"]},{"I":213,"V":["5.849915"]},{"I":1,"V":["NULL"]}]}}}
[2025-08-19 00:33:54.978] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":35,"TS":"2025-08-18T20:03:54.741","TID":74,"PID":1,"M":1,"S":49,"PLID":492859,"PLUUID":"9z2j13bl5yh4i1vyofautc9yi","PN":"W. Gnonto","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":85.6,"Y":80.2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Left"]},{"I":285,"V":["NULL"]}]}}}
[2025-08-19 00:33:57.623] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":32,"TS":"2025-08-18T20:03:54.237","TID":5,"PID":1,"M":1,"S":49,"PLID":512462,"PLUUID":"8u5vfczmsnklqp9bpilrbvy8k","PN":"J. O'Brien","TEAMID":11,"TUUID":"ehd2iemqmschhj2ec0vayztzz","O":1,"X":-0.7,"Y":22.1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":346,"V":["NULL"]}]}}}
[2025-08-19 00:33:57.808] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":36,"TS":"2025-08-18T20:03:55.693","TID":5,"PID":1,"M":1,"S":50,"PLID":492859,"PLUUID":"9z2j13bl5yh4i1vyofautc9yi","PN":"W. Gnonto","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":0,"X":101.1,"Y":72,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Center"]},{"I":346,"V":["NULL"]}]}}}
[2025-08-19 00:34:06.454] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":37,"TS":"2025-08-18T20:03:05.140","TID":44,"PID":1,"M":1,"S":0,"PLID":235826,"PLUUID":"6ka58mn83rknx80e4y2jk3949","PN":"J. Piroe","TEAMID":2,"TUUID":"48gk2hpqtsl6p9sx9kjhaydq4","O":1,"X":55.2,"Y":16.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Right"]},{"I":286,"V":["NULL"]}]}}}
[2025-08-19 00:34:19.421] [POEM] {"data":{"OID":2561904,"UUID":"13ylro8dy443m52qxwrxm9zis","POEM":{"EVID":33,"TS":"2025-08-18T20:04:16.909","TID":1,"PID":1,"M":2,"S":12,"PLID":111234,"PLUUID":"e8dina16u5kt5ho4u5igtmimt","PN":"J. Pickford","TEAMID":11,"TUUID":"ehd2iemqmschhj2ec0vayztzz","O":1,"X":5,"Y":49.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":124,"V":["NULL"]},{"I":56,"V":["Back"]},{"I":140,"V":["4.9"]},{"I":141,"V":["67.8"]},{"I":212,"V":["12.17245"]},{"I":213,"V":["1.579422"]},{"I":318,"V":["0.00000042"]},{"I":237,"V":["NULL"]}]}}}
