[2025-08-17 18:38:24.217] [OUT] {"outlet":{"OutletKeyService":{"outletid":"1hugdxmjczoe21vm8x6kz0zx82"}}}
[2025-08-17 18:38:24.935] [OUT] {"csb":{"name":"init","token":"85372212-5e58-4988-9df1-668199ec69e5","apptype":"OptaWidgetsV3","version":"3.248.1","referer":"pub.fotmob.com","topReferer":"www.fotmob.com"}}
[2025-08-17 18:38:25.673] [OUT] {"csb":{"name":"subscribe","messagetype":["POEM"],"sendLastData":true,"eventuuid":"12znl0wq9dni0y2j3xb2dsmj8"}}
[2025-08-17 18:39:37.908] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":53,"TS":"2025-08-17T14:09:31.480","TID":13,"PID":1,"M":8,"S":38,"PLID":427623,"PLUUID":"5nsag404623qznyyizl8yuwkq","PN":"C. Richards","TEAMID":31,"TUUID":"1c8m2ko0wxq1asfkuykurdr0y","O":1,"X":89.8,"Y":46.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":24,"V":["NULL"]},{"I":15,"V":["NULL"]},{"I":17,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":321,"V":["0.0734"]},{"I":328,"V":["NULL"]},{"I":327,"V":["2"]},{"I":326,"V":["2"]},{"I":153,"V":["NULL"]}]}}}
[2025-08-17 18:39:39.168] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":81,"TS":"2025-08-17T14:09:38.69","TID":1,"PID":1,"M":8,"S":45,"PLID":244851,"PLUUID":"dl10343h8yopcgerzur5samwa","PN":"C. Palmer","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":0,"X":26,"Y":21.2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["54.4"]},{"I":141,"V":["48.4"]},{"I":212,"V":["35.09037"]},{"I":213,"V":["0.5551798"]},{"I":1,"V":["NULL"]}]}}}
[2025-08-17 18:39:40.369] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":54,"TS":"2025-08-17T14:09:40.808","TID":49,"PID":1,"M":8,"S":47,"PLID":244723,"PLUUID":"6dqnwhx0eglxhelidxg0dphm2","PN":"T. Mitchell","TEAMID":31,"TUUID":"1c8m2ko0wxq1asfkuykurdr0y","O":1,"X":42.8,"Y":56.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[]}}}
[2025-08-17 18:39:43.975] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":78,"TS":"2025-08-17T14:09:33.621","TID":10,"PID":1,"M":8,"S":40,"PLID":215059,"PLUUID":"d9yxninyn4bac8f0ufxsnlqll","PN":"Robert S\u00e1nchez","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":1,"X":1.6,"Y":43.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":177,"V":["NULL"]},{"I":179,"V":["NULL"]},{"I":182,"V":["NULL"]},{"I":190,"V":["NULL"]},{"I":56,"V":["Back"]}]}}}
[2025-08-17 18:39:47.164] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":55,"TS":"2025-08-17T14:09:41.944","TID":1,"PID":1,"M":8,"S":48,"PLID":244723,"PLUUID":"6dqnwhx0eglxhelidxg0dphm2","PN":"T. Mitchell","TEAMID":31,"TUUID":"1c8m2ko0wxq1asfkuykurdr0y","O":1,"X":43.2,"Y":63.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Left"]},{"I":140,"V":["51.5"]},{"I":141,"V":["80.1"]},{"I":212,"V":["14.04648"]},{"I":213,"V":["0.9014923"]},{"I":318,"V":["0.00006274"]}]}}}
[2025-08-17 18:39:49.041] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":56,"TS":"2025-08-17T14:09:47.479","TID":1,"PID":1,"M":8,"S":54,"PLID":496221,"PLUUID":"asq9gj1a93bltsfd61i6xvqsq","PN":"A. Wharton","TEAMID":31,"TUUID":"1c8m2ko0wxq1asfkuykurdr0y","O":1,"X":64.9,"Y":64.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["70.3"]},{"I":141,"V":["59.3"]},{"I":212,"V":["6.792386"]},{"I":213,"V":["5.700083"]},{"I":318,"V":["0.00183042"]}]}}}
[2025-08-17 18:39:49.449] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":57,"TS":"2025-08-17T14:09:49.511","TID":61,"PID":1,"M":8,"S":56,"PLID":232185,"PLUUID":"44s112hd02w1i2ucvai9jy7e1","PN":"I. Sarr","TEAMID":31,"TUUID":"1c8m2ko0wxq1asfkuykurdr0y","O":0,"X":70.3,"Y":59.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Center"]}]}}}
[2025-08-17 18:39:50.451] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":82,"TS":"2025-08-17T14:09:50.789","TID":49,"PID":1,"M":8,"S":57,"PLID":577016,"PLUUID":"ek4oa7zejocbbgu1l2vdebitw","PN":"J. Acheampong","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":1,"X":14.5,"Y":26.2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[]}}}
[2025-08-17 18:39:53.756] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":83,"TS":"2025-08-17T14:09:52.677","TID":1,"PID":1,"M":8,"S":59,"PLID":577016,"PLUUID":"ek4oa7zejocbbgu1l2vdebitw","PN":"J. Acheampong","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":1,"X":19.1,"Y":29,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["18.9"]},{"I":141,"V":["12.8"]},{"I":212,"V":["11.018"]},{"I":213,"V":["4.693328"]},{"I":318,"V":["0.00000075"]}]}}}
[2025-08-17 18:39:58.755] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":84,"TS":"2025-08-17T14:09:54.68","TID":1,"PID":1,"M":9,"S":1,"PLID":225796,"PLUUID":"dczrgxyolp7lcz413wkz7ap61","PN":"R. James","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":1,"X":19.4,"Y":15.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["21.6"]},{"I":141,"V":["31.4"]},{"I":212,"V":["11.12252"]},{"I":213,"V":["1.361587"]},{"I":318,"V":["0.00000135"]}]}}}
[2025-08-17 18:39:59.972] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":85,"TS":"2025-08-17T14:09:59.125","TID":1,"PID":1,"M":9,"S":6,"PLID":486672,"PLUUID":"3uc9z96xvain84leorf4ls962","PN":"M. Caicedo","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":1,"X":31.9,"Y":44.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["36.4"]},{"I":141,"V":["45.8"]},{"I":212,"V":["4.77368"]},{"I":213,"V":["0.1429339"]},{"I":318,"V":["0.00001095"]}]}}}
[2025-08-17 18:40:01.360] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":86,"TS":"2025-08-17T14:10:00.389","TID":1,"PID":1,"M":9,"S":7,"PLID":244851,"PLUUID":"dl10343h8yopcgerzur5samwa","PN":"C. Palmer","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":1,"X":35.1,"Y":45.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["34.1"]},{"I":141,"V":["36.1"]},{"I":212,"V":["6.410575"]},{"I":213,"V":["4.547856"]},{"I":318,"V":["0.00000857"]}]}}}
[2025-08-17 18:40:04.571] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":87,"TS":"2025-08-17T14:10:01.733","TID":1,"PID":1,"M":9,"S":8,"PLID":486672,"PLUUID":"3uc9z96xvain84leorf4ls962","PN":"M. Caicedo","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":1,"X":39.3,"Y":34.1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["48.3"]},{"I":141,"V":["19.3"]},{"I":212,"V":["13.80531"]},{"I":213,"V":["5.466333"]},{"I":318,"V":["0.00003888"]}]}}}
[2025-08-17 18:40:06.779] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":58,"TS":"2025-08-17T14:10:07.223","TID":45,"PID":1,"M":9,"S":14,"PLID":232413,"PLUUID":"4wic6z72nwmhkheme209fcmp5","PN":"E. Eze","TEAMID":31,"TUUID":"1c8m2ko0wxq1asfkuykurdr0y","O":0,"X":38.4,"Y":87.2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":285,"V":["NULL"]}]}}}
[2025-08-17 18:40:07.591] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":88,"TS":"2025-08-17T14:10:04.965","TID":1,"PID":1,"M":9,"S":11,"PLID":448047,"PLUUID":"1zxwich342p8fholev7ddkwh6","PN":"E. Fern\u00e1ndez","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":1,"X":55,"Y":13.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Right"]},{"I":140,"V":["59.4"]},{"I":141,"V":["2.6"]},{"I":212,"V":["8.676332"]},{"I":213,"V":["5.273921"]},{"I":318,"V":["0.00006997"]}]}}}
[2025-08-17 18:40:08.981] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":89,"TS":"2025-08-17T14:10:08.6","TID":1,"PID":1,"M":9,"S":14,"PLID":247632,"PLUUID":"6psklvi66inwws7buzf16yjft","PN":"Pedro Neto","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":1,"X":71.2,"Y":14.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["78.5"]},{"I":141,"V":["28.4"]},{"I":212,"V":["11.95929"]},{"I":213,"V":["0.8750945"]},{"I":318,"V":["0.00322512"]}]}}}
[2025-08-17 18:40:10.796] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":90,"TS":"2025-08-17T14:10:09.349","TID":1,"PID":1,"M":9,"S":16,"PLID":475168,"PLUUID":"eaqqezw2ed1u0tt3zc128mr1m","PN":"Jo\u00e3o Pedro","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":1,"X":80.3,"Y":27.1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Right"]},{"I":140,"V":["90.4"]},{"I":141,"V":["12.2"]},{"I":212,"V":["14.66709"]},{"I":213,"V":["5.520593"]},{"I":318,"V":["0.00215007"]}]}}}
[2025-08-17 18:40:14.470] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":91,"TS":"2025-08-17T14:10:11.93","TID":1,"PID":1,"M":9,"S":18,"PLID":448047,"PLUUID":"1zxwich342p8fholev7ddkwh6","PN":"E. Fern\u00e1ndez","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":0,"X":91.4,"Y":12.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":2,"V":["NULL"]},{"I":155,"V":["NULL"]},{"I":56,"V":["Left"]},{"I":140,"V":["95.6"]},{"I":141,"V":["101.4"]},{"I":212,"V":["60.68046"]},{"I":213,"V":["1.498056"]},{"I":1,"V":["NULL"]}]}}}
[2025-08-17 18:40:14.848] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":92,"TS":"2025-08-17T14:10:14.895","TID":5,"PID":1,"M":9,"S":21,"PLID":448047,"PLUUID":"1zxwich342p8fholev7ddkwh6","PN":"E. Fern\u00e1ndez","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":0,"X":95.6,"Y":101.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Left"]},{"I":347,"V":["NULL"]}]}}}
[2025-08-17 18:40:16.709] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":59,"TS":"2025-08-17T14:10:15.608","TID":5,"PID":1,"M":9,"S":22,"PLID":232413,"PLUUID":"4wic6z72nwmhkheme209fcmp5","PN":"E. Eze","TEAMID":31,"TUUID":"1c8m2ko0wxq1asfkuykurdr0y","O":1,"X":5.4,"Y":-1.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":347,"V":["NULL"]}]}}}
[2025-08-17 18:40:31.027] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":53,"TS":"2025-08-17T14:09:31.480","TID":13,"PID":1,"M":8,"S":38,"PLID":427623,"PLUUID":"5nsag404623qznyyizl8yuwkq","PN":"C. Richards","TEAMID":31,"TUUID":"1c8m2ko0wxq1asfkuykurdr0y","O":1,"X":89.8,"Y":46.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":24,"V":["NULL"]},{"I":15,"V":["NULL"]},{"I":17,"V":["NULL"]},{"I":73,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":102,"V":["59.327731092437"]},{"I":103,"V":["9.72222222222223"]},{"I":321,"V":["0.0734"]},{"I":328,"V":["NULL"]},{"I":327,"V":["2"]},{"I":326,"V":["2"]},{"I":458,"V":["NULL"]},{"I":153,"V":["NULL"]},{"I":146,"V":["98.2355769230769"]},{"I":147,"V":["55.0555555555556"]},{"I":230,"V":["98.1057692307692"]},{"I":231,"V":["49.2777777777778"]}]}}}
[2025-08-17 18:40:44.137] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":93,"TS":"2025-08-17T14:10:44.597","TID":49,"PID":1,"M":9,"S":51,"PLID":179268,"PLUUID":"7c2wnewpcf1idj6ghj6gu0wyd","PN":"Marc Cucurella","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":1,"X":61,"Y":94.5,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[]}}}
[2025-08-17 18:40:44.736] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":60,"TS":"2025-08-17T14:10:43.367","TID":1,"PID":1,"M":9,"S":50,"PLID":247348,"PLUUID":"3yb66hal4fvr04bawz0y3efhl","PN":"D. Mu\u00f1oz","TEAMID":31,"TUUID":"1c8m2ko0wxq1asfkuykurdr0y","O":0,"X":6.6,"Y":-0.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":107,"V":["NULL"]},{"I":56,"V":["Back"]},{"I":140,"V":["39.4"]},{"I":141,"V":["4.1"]},{"I":212,"V":["34.60742"]},{"I":213,"V":["0.09840356"]},{"I":1,"V":["NULL"]}]}}}
[2025-08-17 18:40:44.932] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":94,"TS":"2025-08-17T14:10:45.253","TID":86,"PID":1,"M":9,"S":52,"PLID":179268,"PLUUID":"7c2wnewpcf1idj6ghj6gu0wyd","PN":"Marc Cucurella","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":1,"X":58.5,"Y":95.1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[]}}}
[2025-08-17 18:40:46.962] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":61,"TS":"2025-08-17T14:10:47.415","TID":86,"PID":1,"M":9,"S":54,"PLID":232185,"PLUUID":"44s112hd02w1i2ucvai9jy7e1","PN":"I. Sarr","TEAMID":31,"TUUID":"1c8m2ko0wxq1asfkuykurdr0y","O":1,"X":38.8,"Y":4.1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[]}}}
[2025-08-17 18:40:55.482] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":95,"TS":"2025-08-17T14:10:54.885","TID":1,"PID":1,"M":10,"S":1,"PLID":179268,"PLUUID":"7c2wnewpcf1idj6ghj6gu0wyd","PN":"Marc Cucurella","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":1,"X":53.9,"Y":95.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":5,"V":["NULL"]},{"I":152,"V":["NULL"]},{"I":56,"V":["Back"]},{"I":140,"V":["44.2"]},{"I":141,"V":["68.7"]},{"I":212,"V":["21.11483"]},{"I":213,"V":["4.20904"]},{"I":318,"V":["0.00004297"]}]}}}
[2025-08-17 18:40:59.008] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":96,"TS":"2025-08-17T14:10:55.797","TID":1,"PID":1,"M":10,"S":2,"PLID":180736,"PLUUID":"5e2zgfe3ltc6qbnoqdfshqsph","PN":"T. Chalobah","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":1,"X":44.2,"Y":68.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["39.3"]},{"I":141,"V":["53.6"]},{"I":212,"V":["11.4849"]},{"I":213,"V":["4.247885"]},{"I":318,"V":["0.00002255"]}]}}}
[2025-08-17 18:41:01.600] [POEM] {"data":{"OID":2561902,"UUID":"12znl0wq9dni0y2j3xb2dsmj8","POEM":{"EVID":97,"TS":"2025-08-17T14:10:59.461","TID":1,"PID":1,"M":10,"S":6,"PLID":577016,"PLUUID":"ek4oa7zejocbbgu1l2vdebitw","PN":"J. Acheampong","TEAMID":8,"TUUID":"9q0arba2kbnywth8bkxlhgmdr","O":1,"X":44.9,"Y":52.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["44.2"]},{"I":141,"V":["41.0"]},{"I":212,"V":["7.989879"]},{"I":213,"V":["4.620267"]},{"I":318,"V":["0.00003909"]}]}}}
