[2025-08-16 14:35:49.601] [OUT] {"outlet":{"OutletKeyService":{"outletid":"1hugdxmjczoe21vm8x6kz0zx82"}}}
[2025-08-16 14:35:50.394] [OUT] {"csb":{"name":"init","token":"85372212-5e58-4988-9df1-668199ec69e5","apptype":"OptaWidgetsV3","version":"3.248.1","referer":"pub.fotmob.com","topReferer":"www.fotmob.com"}}
[2025-08-16 14:35:51.157] [OUT] {"csb":{"name":"subscribe","messagetype":["POEM"],"sendLastData":true,"eventuuid":"6ncygvluu6ppschsugz9odnv8"}}
[2025-08-16 14:36:21.208] [POEM] {"data":{"OID":2495593,"UUID":"6ncygvluu6ppschsugz9odnv8","POEM":{"EVID":29,"TS":"2025-08-16T10:06:21.489","TID":44,"PID":1,"M":2,"S":52,"PLID":630646,"PLUUID":"e1823k3tqqinmsh2g34uxumfo","PN":"S. Usui","TEAMID":433,"TUUID":"ydlnn8jofdkseegh42az3fpt","O":1,"X":55.8,"Y":26.5,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Center"]},{"I":286,"V":["NULL"]}]}}}
[2025-08-16 14:36:21.213] [POEM] {"data":{"OID":2495593,"UUID":"6ncygvluu6ppschsugz9odnv8","POEM":{"EVID":36,"TS":"2025-08-16T10:06:21.363","TID":1,"PID":1,"M":2,"S":52,"PLID":158213,"PLUUID":"64orrvhh1or23zgu10vvwgted","PN":"G. Shibasaki","TEAMID":1412,"TUUID":"9s2g5k3dlmfii452t8edaeozh","O":0,"X":41.3,"Y":69.6,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":3,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":140,"V":["55.6"]},{"I":141,"V":["73.9"]},{"I":212,"V":["15.29706"]},{"I":213,"V":["0.1923314"]}]}}}
[2025-08-16 14:36:24.908] [POEM] {"data":{"OID":2495593,"UUID":"6ncygvluu6ppschsugz9odnv8","POEM":{"EVID":36,"TS":"2025-08-16T10:06:21.363","TID":43,"PID":1,"M":2,"S":52,"PLID":158213,"PLUUID":"64orrvhh1or23zgu10vvwgted","PN":"G. Shibasaki","TEAMID":1412,"TUUID":"9s2g5k3dlmfii452t8edaeozh","O":0,"X":41.3,"Y":69.6,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":3,"V":[null]},{"I":56,"V":["Center"]},{"I":140,"V":["55.6"]},{"I":141,"V":["73.9"]},{"I":212,"V":["15.29706"]},{"I":213,"V":["0.1923314"]},{"I":144,"V":["1"]}]}}}
[2025-08-16 14:36:55.247] [POEM] {"data":{"OID":2495593,"UUID":"6ncygvluu6ppschsugz9odnv8","POEM":{"EVID":37,"TS":"2025-08-16T10:06:52.388","TID":1,"PID":1,"M":3,"S":23,"PLID":477590,"PLUUID":"1aibcbtl21102upaj529kf8tm","PN":"Kim Tae-Hyeon","TEAMID":1412,"TUUID":"9s2g5k3dlmfii452t8edaeozh","O":1,"X":44.2,"Y":72.6,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":5,"V":["NULL"]},{"I":152,"V":["NULL"]},{"I":56,"V":["Back"]},{"I":140,"V":["40.1"]},{"I":141,"V":["36.7"]},{"I":212,"V":["24.78868"]},{"I":213,"V":["4.537836"]},{"I":318,"V":["0.00003397"]}]}}}
[2025-08-16 14:36:56.690] [POEM] {"data":{"OID":2495593,"UUID":"6ncygvluu6ppschsugz9odnv8","POEM":{"EVID":38,"TS":"2025-08-16T10:06:55.971","TID":1,"PID":1,"M":3,"S":27,"PLID":158234,"PLUUID":"cqjhp31uh46s2jfedo48h86ol","PN":"N. Ueda","TEAMID":1412,"TUUID":"9s2g5k3dlmfii452t8edaeozh","O":0,"X":43.1,"Y":29.1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":155,"V":["NULL"]},{"I":56,"V":["Right"]},{"I":140,"V":["69.2"]},{"I":141,"V":["10.9"]},{"I":212,"V":["30.06991"]},{"I":213,"V":["5.859004"]}]}}}
[2025-08-16 14:36:58.257] [POEM] {"data":{"OID":2495593,"UUID":"6ncygvluu6ppschsugz9odnv8","POEM":{"EVID":30,"TS":"2025-08-16T10:06:58.233","TID":12,"PID":1,"M":3,"S":29,"PLID":567584,"PLUUID":"7wsv4h6o1ps1vxxvs6dnt6az8","PN":"T. Ando","TEAMID":433,"TUUID":"ydlnn8jofdkseegh42az3fpt","O":1,"X":20,"Y":90.2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["20"]},{"I":141,"V":["90.2"]},{"I":212,"V":["0"]},{"I":213,"V":["0"]}]}}}
[2025-08-16 14:36:58.515] [POEM] {"data":{"OID":2495593,"UUID":"6ncygvluu6ppschsugz9odnv8","POEM":{"EVID":31,"TS":"2025-08-16T10:06:58.987","TID":5,"PID":1,"M":3,"S":30,"PLID":567584,"PLUUID":"7wsv4h6o1ps1vxxvs6dnt6az8","PN":"T. Ando","TEAMID":433,"TUUID":"ydlnn8jofdkseegh42az3fpt","O":0,"X":41,"Y":100.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":347,"V":["NULL"]}]}}}
[2025-08-16 14:36:59.115] [POEM] {"data":{"OID":2495593,"UUID":"6ncygvluu6ppschsugz9odnv8","POEM":{"EVID":39,"TS":"2025-08-16T10:06:59.443","TID":5,"PID":1,"M":3,"S":30,"PLID":158234,"PLUUID":"cqjhp31uh46s2jfedo48h86ol","PN":"N. Ueda","TEAMID":1412,"TUUID":"9s2g5k3dlmfii452t8edaeozh","O":1,"X":57.7,"Y":-2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Right"]},{"I":347,"V":["NULL"]}]}}}
[2025-08-16 14:37:20.386] [POEM] {"data":{"OID":2495593,"UUID":"6ncygvluu6ppschsugz9odnv8","POEM":{"EVID":40,"TS":"2025-08-16T10:07:19.654","TID":1,"PID":1,"M":3,"S":51,"PLID":646881,"PLUUID":"21u8s21r8m5n6my22bnoirxuc","PN":"K. Nono","TEAMID":1412,"TUUID":"9s2g5k3dlmfii452t8edaeozh","O":1,"X":57.7,"Y":-2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":107,"V":["NULL"]},{"I":56,"V":["Right"]},{"I":140,"V":["67.1"]},{"I":141,"V":["4.1"]},{"I":212,"V":["10.7062"]},{"I":213,"V":["0.3978519"]},{"I":318,"V":["0.00003729"]}]}}}
[2025-08-16 14:37:21.182] [POEM] {"data":{"OID":2495593,"UUID":"6ncygvluu6ppschsugz9odnv8","POEM":{"EVID":41,"TS":"2025-08-16T10:07:21.103","TID":1,"PID":1,"M":3,"S":52,"PLID":173826,"PLUUID":"7wg0d34b0cdh7fxgetfgqs8np","PN":"L\u00e9o Cear\u00e1","TEAMID":1412,"TUUID":"9s2g5k3dlmfii452t8edaeozh","O":1,"X":67.1,"Y":4.1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Right"]},{"I":140,"V":["62.5"]},{"I":141,"V":["4.1"]},{"I":212,"V":["4.83"]},{"I":213,"V":["3.141593"]},{"I":318,"V":["0.00013074"]}]}}}
[2025-08-16 14:37:22.783] [POEM] {"data":{"OID":2495593,"UUID":"6ncygvluu6ppschsugz9odnv8","POEM":{"EVID":32,"TS":"2025-08-16T10:07:22.714","TID":1,"PID":1,"M":3,"S":54,"PLID":462359,"PLUUID":"8shr0ghxn6d8uoiiideh3rmne","PN":"S. Nago","TEAMID":433,"TUUID":"ydlnn8jofdkseegh42az3fpt","O":0,"X":36,"Y":91.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["33.8"]},{"I":141,"V":["75.6"]},{"I":212,"V":["10.98952"]},{"I":213,"V":["4.500609"]}]}}}
[2025-08-16 14:37:24.335] [POEM] {"data":{"OID":2495593,"UUID":"6ncygvluu6ppschsugz9odnv8","POEM":{"EVID":42,"TS":"2025-08-16T10:07:25.61","TID":74,"PID":1,"M":3,"S":56,"PLID":173826,"PLUUID":"7wg0d34b0cdh7fxgetfgqs8np","PN":"L\u00e9o Cear\u00e1","TEAMID":1412,"TUUID":"9s2g5k3dlmfii452t8edaeozh","O":1,"X":63,"Y":3.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Right"]},{"I":285,"V":["NULL"]}]}}}
[2025-08-16 14:37:26.817] [POEM] {"data":{"OID":2495593,"UUID":"6ncygvluu6ppschsugz9odnv8","POEM":{"EVID":43,"TS":"2025-08-16T10:07:26.162","TID":1,"PID":1,"M":3,"S":57,"PLID":158213,"PLUUID":"64orrvhh1or23zgu10vvwgted","PN":"G. Shibasaki","TEAMID":1412,"TUUID":"9s2g5k3dlmfii452t8edaeozh","O":1,"X":70.9,"Y":31.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["68.0"]},{"I":141,"V":["56.0"]},{"I":212,"V":["16.73535"]},{"I":213,"V":["1.753766"]},{"I":318,"V":["0.00232891"]}]}}}
[2025-08-16 14:37:27.023] [POEM] {"data":{"OID":2495593,"UUID":"6ncygvluu6ppschsugz9odnv8","POEM":{"EVID":44,"TS":"2025-08-16T10:07:27.365","TID":61,"PID":1,"M":3,"S":58,"PLID":213788,"PLUUID":"51xel26o3uzvjdbcywcunmu3t","PN":"Y. Suzuki","TEAMID":1412,"TUUID":"9s2g5k3dlmfii452t8edaeozh","O":0,"X":68.2,"Y":56,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]}]}}}
[2025-08-16 14:37:32.199] [POEM] {"data":{"OID":2495593,"UUID":"6ncygvluu6ppschsugz9odnv8","POEM":{"EVID":33,"TS":"2025-08-16T10:07:28.89","TID":12,"PID":1,"M":3,"S":59,"PLID":462357,"PLUUID":"3cen673039ickz8g3q4ryqvze","PN":"T. Kamijima","TEAMID":433,"TUUID":"ydlnn8jofdkseegh42az3fpt","O":1,"X":22.5,"Y":59.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["53.8"]},{"I":141,"V":["55.8"]},{"I":212,"V":["32.95107"]},{"I":213,"V":["6.210894"]}]}}}
[2025-08-16 14:37:32.817] [POEM] {"data":{"OID":2495593,"UUID":"6ncygvluu6ppschsugz9odnv8","POEM":{"EVID":34,"TS":"2025-08-16T10:07:32.937","TID":1,"PID":1,"M":4,"S":4,"PLID":630646,"PLUUID":"e1823k3tqqinmsh2g34uxumfo","PN":"S. Usui","TEAMID":433,"TUUID":"ydlnn8jofdkseegh42az3fpt","O":0,"X":57.1,"Y":57.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["66.3"]},{"I":141,"V":["41.3"]},{"I":212,"V":["14.85714"]},{"I":213,"V":["5.420227"]}]}}}
[2025-08-16 14:37:33.197] [POEM] {"data":{"OID":2495593,"UUID":"6ncygvluu6ppschsugz9odnv8","POEM":{"EVID":45,"TS":"2025-08-16T10:07:33.886","TID":49,"PID":1,"M":4,"S":5,"PLID":216504,"PLUUID":"3yolt0tc40fjqupa2ea4epka1","PN":"R. Ogawa","TEAMID":1412,"TUUID":"9s2g5k3dlmfii452t8edaeozh","O":1,"X":33.7,"Y":62.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[]}}}
[2025-08-16 14:37:36.504] [POEM] {"data":{"OID":2495593,"UUID":"6ncygvluu6ppschsugz9odnv8","POEM":{"EVID":45,"TS":"2025-08-16T10:07:33.886","TID":43,"PID":1,"M":4,"S":5,"PLID":216504,"PLUUID":"3yolt0tc40fjqupa2ea4epka1","PN":"R. Ogawa","TEAMID":1412,"TUUID":"9s2g5k3dlmfii452t8edaeozh","O":1,"X":33.7,"Y":62.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":144,"V":["49"]}]}}}
[2025-08-16 14:37:39.374] [POEM] {"data":{"OID":2495593,"UUID":"6ncygvluu6ppschsugz9odnv8","POEM":{"EVID":46,"TS":"2025-08-16T10:07:34.749","TID":1,"PID":1,"M":4,"S":6,"PLID":216504,"PLUUID":"3yolt0tc40fjqupa2ea4epka1","PN":"R. Ogawa","TEAMID":1412,"TUUID":"9s2g5k3dlmfii452t8edaeozh","O":1,"X":34.2,"Y":61.5,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["31.0"]},{"I":141,"V":["36.4"]},{"I":212,"V":["17.39558"]},{"I":213,"V":["4.518015"]},{"I":318,"V":["0.00000865"]}]}}}
[2025-08-16 14:37:42.596] [POEM] {"data":{"OID":2495593,"UUID":"6ncygvluu6ppschsugz9odnv8","POEM":{"EVID":47,"TS":"2025-08-16T10:07:40.96","TID":1,"PID":1,"M":4,"S":11,"PLID":646881,"PLUUID":"21u8s21r8m5n6my22bnoirxuc","PN":"K. Nono","TEAMID":1412,"TUUID":"9s2g5k3dlmfii452t8edaeozh","O":1,"X":31.6,"Y":21.2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["18.7"]},{"I":141,"V":["50.9"]},{"I":212,"V":["24.31759"]},{"I":213,"V":["2.16157"]},{"I":318,"V":["0.00000222"]}]}}}
[2025-08-16 14:37:45.581] [POEM] {"data":{"OID":2495593,"UUID":"6ncygvluu6ppschsugz9odnv8","POEM":{"EVID":48,"TS":"2025-08-16T10:07:43.204","TID":1,"PID":1,"M":4,"S":14,"PLID":158234,"PLUUID":"cqjhp31uh46s2jfedo48h86ol","PN":"N. Ueda","TEAMID":1412,"TUUID":"9s2g5k3dlmfii452t8edaeozh","O":1,"X":18.2,"Y":51.5,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["10.2"]},{"I":141,"V":["79.3"]},{"I":212,"V":["20.68626"]},{"I":213,"V":["1.988942"]},{"I":318,"V":["0.00000048"]}]}}}
[2025-08-16 14:37:47.310] [POEM] {"data":{"OID":2495593,"UUID":"6ncygvluu6ppschsugz9odnv8","POEM":{"EVID":49,"TS":"2025-08-16T10:07:46.309","TID":1,"PID":1,"M":4,"S":17,"PLID":477590,"PLUUID":"1aibcbtl21102upaj529kf8tm","PN":"Kim Tae-Hyeon","TEAMID":1412,"TUUID":"9s2g5k3dlmfii452t8edaeozh","O":1,"X":10.1,"Y":80.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["15.2"]},{"I":141,"V":["94.1"]},{"I":212,"V":["10.51047"]},{"I":213,"V":["1.036202"]},{"I":318,"V":["0.00000041"]}]}}}
[2025-08-16 14:37:49.126] [POEM] {"data":{"OID":2495593,"UUID":"6ncygvluu6ppschsugz9odnv8","POEM":{"EVID":50,"TS":"2025-08-16T10:07:48.28","TID":1,"PID":1,"M":4,"S":19,"PLID":216504,"PLUUID":"3yolt0tc40fjqupa2ea4epka1","PN":"R. Ogawa","TEAMID":1412,"TUUID":"9s2g5k3dlmfii452t8edaeozh","O":0,"X":17.7,"Y":93.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["33.0"]},{"I":141,"V":["95.1"]},{"I":212,"V":["16.0893"]},{"I":213,"V":["0.05497102"]}]}}}
