[2025-08-17 18:43:32.400] [OUT] {"outlet":{"OutletKeyService":{"outletid":"1hugdxmjczoe21vm8x6kz0zx82"}}}
[2025-08-17 18:43:33.120] [OUT] {"csb":{"name":"init","token":"85372212-5e58-4988-9df1-668199ec69e5","apptype":"OptaWidgetsV3","version":"3.248.1","referer":"pub.fotmob.com","topReferer":"www.fotmob.com"}}
[2025-08-17 18:43:33.837] [OUT] {"csb":{"name":"subscribe","messagetype":["POEM"],"sendLastData":true,"eventuuid":"74zpn9q4fwxv9jgn3a7ijslck"}}
[2025-08-17 18:43:54.417] [POEM] {"data":{"OID":2568437,"UUID":"74zpn9q4fwxv9jgn3a7ijslck","POEM":{"EVID":88,"TS":"2025-08-17T14:13:54.896","TID":8,"PID":1,"M":13,"S":25,"PLID":162316,"PLUUID":"7xd54eb65lg7zldvnyd58bq39","PN":"B. Chardonnet","TEAMID":862,"TUUID":"3adj8hkws0z1al232bg2h6tk0","O":1,"X":29.6,"Y":27.5,"STAT":{"CPID":1,"SC":"0:1"},"RTL":0,"Q":[{"I":56,"V":["Back"]}]}}}
[2025-08-17 18:43:55.412] [POEM] {"data":{"OID":2568437,"UUID":"74zpn9q4fwxv9jgn3a7ijslck","POEM":{"EVID":89,"TS":"2025-08-17T14:13:55.785","TID":49,"PID":1,"M":13,"S":26,"PLID":212325,"PLUUID":"dl4e5ojyhccj6w0vgksfzvmxh","PN":"P. Lees-Melou","TEAMID":862,"TUUID":"3adj8hkws0z1al232bg2h6tk0","O":1,"X":34.7,"Y":26.9,"STAT":{"CPID":1,"SC":"0:1"},"RTL":0,"Q":[]}}}
[2025-08-17 18:44:00.030] [POEM] {"data":{"OID":2568437,"UUID":"74zpn9q4fwxv9jgn3a7ijslck","POEM":{"EVID":90,"TS":"2025-08-17T14:13:56.361","TID":1,"PID":1,"M":13,"S":27,"PLID":212325,"PLUUID":"dl4e5ojyhccj6w0vgksfzvmxh","PN":"P. Lees-Melou","TEAMID":862,"TUUID":"3adj8hkws0z1al232bg2h6tk0","O":1,"X":35.9,"Y":32.2,"STAT":{"CPID":1,"SC":"0:1"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["27"]},{"I":141,"V":["51.8"]},{"I":212,"V":["16.27773"]},{"I":213,"V":["2.182297"]},{"I":318,"V":["0.00000593"]}]}}}
[2025-08-17 18:44:03.218] [POEM] {"data":{"OID":2568437,"UUID":"74zpn9q4fwxv9jgn3a7ijslck","POEM":{"EVID":91,"TS":"2025-08-17T14:14:00.417","TID":1,"PID":1,"M":13,"S":31,"PLID":544830,"PLUUID":"boeam163ur1t3ifq01px99xwp","PN":"J. Le Cardinal","TEAMID":862,"TUUID":"3adj8hkws0z1al232bg2h6tk0","O":1,"X":33.3,"Y":60.9,"STAT":{"CPID":1,"SC":"0:1"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["15.5"]},{"I":141,"V":["52.7"]},{"I":212,"V":["19.50405"]},{"I":213,"V":["3.431527"]},{"I":318,"V":["0.00000157"]}]}}}
[2025-08-17 18:44:11.514] [POEM] {"data":{"OID":2568437,"UUID":"74zpn9q4fwxv9jgn3a7ijslck","POEM":{"EVID":92,"TS":"2025-08-17T14:14:03.521","TID":1,"PID":1,"M":13,"S":34,"PLID":228539,"PLUUID":"d5ecnjd6h89iepxrvrlfn97ft","PN":"R. Majecki","TEAMID":862,"TUUID":"3adj8hkws0z1al232bg2h6tk0","O":1,"X":15.2,"Y":52.7,"STAT":{"CPID":1,"SC":"0:1"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["22.1"]},{"I":141,"V":["63.9"]},{"I":212,"V":["10.51159"]},{"I":213,"V":["0.8103576"]},{"I":318,"V":["0.00000183"]}]}}}
[2025-08-17 18:44:12.514] [POEM] {"data":{"OID":2568437,"UUID":"74zpn9q4fwxv9jgn3a7ijslck","POEM":{"EVID":160,"TS":"2025-08-17T14:14:12.938","TID":49,"PID":1,"M":13,"S":43,"PLID":544947,"PLUUID":"8cjgce68a2vla1ebamgac4nx0","PN":"M. Broholm","TEAMID":429,"TUUID":"be2k34rut1lz79jxenabttqlc","O":1,"X":58.7,"Y":7.9,"STAT":{"CPID":1,"SC":"0:1"},"RTL":1,"Q":[]}}}
[2025-08-17 18:44:12.728] [POEM] {"data":{"OID":2568437,"UUID":"74zpn9q4fwxv9jgn3a7ijslck","POEM":{"EVID":93,"TS":"2025-08-17T14:14:11.936","TID":1,"PID":1,"M":13,"S":42,"PLID":544830,"PLUUID":"boeam163ur1t3ifq01px99xwp","PN":"J. Le Cardinal","TEAMID":862,"TUUID":"3adj8hkws0z1al232bg2h6tk0","O":0,"X":36.2,"Y":79.1,"STAT":{"CPID":1,"SC":"0:1"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["41.3"]},{"I":141,"V":["92.6"]},{"I":212,"V":["10.62772"]},{"I":213,"V":["1.042722"]}]}}}
[2025-08-17 18:44:18.510] [POEM] {"data":{"OID":2568437,"UUID":"74zpn9q4fwxv9jgn3a7ijslck","POEM":{"EVID":94,"TS":"2025-08-17T14:14:18.809","TID":45,"PID":1,"M":13,"S":49,"PLID":544830,"PLUUID":"boeam163ur1t3ifq01px99xwp","PN":"J. Le Cardinal","TEAMID":862,"TUUID":"3adj8hkws0z1al232bg2h6tk0","O":0,"X":14.5,"Y":86.1,"STAT":{"CPID":1,"SC":"0:1"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":285,"V":["NULL"]}]}}}
[2025-08-17 18:44:21.559] [POEM] {"data":{"OID":2568437,"UUID":"74zpn9q4fwxv9jgn3a7ijslck","POEM":{"EVID":161,"TS":"2025-08-17T14:14:17.419","TID":3,"PID":1,"M":13,"S":48,"PLID":544947,"PLUUID":"8cjgce68a2vla1ebamgac4nx0","PN":"M. Broholm","TEAMID":429,"TUUID":"be2k34rut1lz79jxenabttqlc","O":1,"X":71.3,"Y":3.1,"STAT":{"CPID":1,"SC":"0:1"},"RTL":1,"Q":[{"I":56,"V":["Right"]},{"I":286,"V":["NULL"]}]}}}
[2025-08-17 18:44:23.170] [POEM] {"data":{"OID":2568437,"UUID":"74zpn9q4fwxv9jgn3a7ijslck","POEM":{"EVID":162,"TS":"2025-08-17T14:14:21.866","TID":1,"PID":1,"M":13,"S":52,"PLID":544947,"PLUUID":"8cjgce68a2vla1ebamgac4nx0","PN":"M. Broholm","TEAMID":429,"TUUID":"be2k34rut1lz79jxenabttqlc","O":1,"X":88.7,"Y":10.6,"STAT":{"CPID":1,"SC":"0:1"},"RTL":1,"Q":[{"I":56,"V":["Right"]},{"I":140,"V":["80.0"]},{"I":141,"V":["7.5"]},{"I":212,"V":["9.375068"]},{"I":213,"V":["3.368383"]},{"I":318,"V":["0.00094816"]}]}}}
[2025-08-17 18:44:23.780] [POEM] {"data":{"OID":2568437,"UUID":"74zpn9q4fwxv9jgn3a7ijslck","POEM":{"EVID":163,"TS":"2025-08-17T14:14:23.515","TID":1,"PID":1,"M":13,"S":54,"PLID":550867,"PLUUID":"7vf9423uzzr1jtxzvse24cs9g","PN":"O. Tour\u00e9","TEAMID":429,"TUUID":"be2k34rut1lz79jxenabttqlc","O":1,"X":80.3,"Y":7.3,"STAT":{"CPID":1,"SC":"0:1"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["71.4"]},{"I":141,"V":["27.5"]},{"I":212,"V":["16.61345"]},{"I":213,"V":["2.168198"]},{"I":318,"V":["0.00182009"]}]}}}
[2025-08-17 18:44:26.167] [POEM] {"data":{"OID":2568437,"UUID":"74zpn9q4fwxv9jgn3a7ijslck","POEM":{"EVID":164,"TS":"2025-08-17T14:14:24.218","TID":1,"PID":1,"M":13,"S":54,"PLID":55948,"PLUUID":"31sljkjull0n7082fed26stzp","PN":"B. Andr\u00e9","TEAMID":429,"TUUID":"be2k34rut1lz79jxenabttqlc","O":0,"X":71.4,"Y":27.5,"STAT":{"CPID":1,"SC":"0:1"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["97.1"]},{"I":141,"V":["38.4"]},{"I":212,"V":["27.98442"]},{"I":213,"V":["0.2680604"]}]}}}
[2025-08-17 18:44:27.979] [POEM] {"data":{"OID":2568437,"UUID":"74zpn9q4fwxv9jgn3a7ijslck","POEM":{"EVID":95,"TS":"2025-08-17T14:14:28.409","TID":49,"PID":1,"M":13,"S":59,"PLID":228539,"PLUUID":"d5ecnjd6h89iepxrvrlfn97ft","PN":"R. Majecki","TEAMID":862,"TUUID":"3adj8hkws0z1al232bg2h6tk0","O":1,"X":2.2,"Y":61.4,"STAT":{"CPID":1,"SC":"0:1"},"RTL":0,"Q":[]}}}
[2025-08-17 18:44:50.117] [POEM] {"data":{"OID":2568437,"UUID":"74zpn9q4fwxv9jgn3a7ijslck","POEM":{"EVID":96,"TS":"2025-08-17T14:14:42.424","TID":1,"PID":1,"M":14,"S":13,"PLID":228539,"PLUUID":"d5ecnjd6h89iepxrvrlfn97ft","PN":"R. Majecki","TEAMID":862,"TUUID":"3adj8hkws0z1al232bg2h6tk0","O":1,"X":8.8,"Y":48.4,"STAT":{"CPID":1,"SC":"0:1"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["13.9"]},{"I":141,"V":["19.9"]},{"I":212,"V":["20.10623"]},{"I":213,"V":["4.981978"]},{"I":318,"V":["0.0000006"]}]}}}
[2025-08-17 18:44:54.084] [POEM] {"data":{"OID":2568437,"UUID":"74zpn9q4fwxv9jgn3a7ijslck","POEM":{"EVID":97,"TS":"2025-08-17T14:14:50.504","TID":1,"PID":1,"M":14,"S":21,"PLID":162316,"PLUUID":"7xd54eb65lg7zldvnyd58bq39","PN":"B. Chardonnet","TEAMID":862,"TUUID":"3adj8hkws0z1al232bg2h6tk0","O":1,"X":21.1,"Y":29.9,"STAT":{"CPID":1,"SC":"0:1"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["20.9"]},{"I":141,"V":["71.7"]},{"I":212,"V":["28.42478"]},{"I":213,"V":["1.578184"]},{"I":318,"V":["0.00000223"]}]}}}
[2025-08-17 18:44:55.647] [POEM] {"data":{"OID":2568437,"UUID":"74zpn9q4fwxv9jgn3a7ijslck","POEM":{"EVID":98,"TS":"2025-08-17T14:14:54.440","TID":1,"PID":1,"M":14,"S":25,"PLID":544830,"PLUUID":"boeam163ur1t3ifq01px99xwp","PN":"J. Le Cardinal","TEAMID":862,"TUUID":"3adj8hkws0z1al232bg2h6tk0","O":1,"X":23.3,"Y":58.4,"STAT":{"CPID":1,"SC":"0:1"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["23.5"]},{"I":141,"V":["23.8"]},{"I":212,"V":["23.52894"]},{"I":213,"V":["4.721314"]},{"I":318,"V":["0.00000274"]}]}}}
[2025-08-17 18:45:01.134] [POEM] {"data":{"OID":2568437,"UUID":"74zpn9q4fwxv9jgn3a7ijslck","POEM":{"EVID":99,"TS":"2025-08-17T14:14:56.56","TID":1,"PID":1,"M":14,"S":26,"PLID":162316,"PLUUID":"7xd54eb65lg7zldvnyd58bq39","PN":"B. Chardonnet","TEAMID":862,"TUUID":"3adj8hkws0z1al232bg2h6tk0","O":1,"X":23.9,"Y":22.3,"STAT":{"CPID":1,"SC":"0:1"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["31.6"]},{"I":141,"V":["2.5"]},{"I":212,"V":["15.70498"]},{"I":213,"V":["5.253169"]},{"I":318,"V":["0.0000033"]}]}}}
[2025-08-17 18:45:03.595] [POEM] {"data":{"OID":2568437,"UUID":"74zpn9q4fwxv9jgn3a7ijslck","POEM":{"EVID":100,"TS":"2025-08-17T14:15:01.520","TID":1,"PID":1,"M":14,"S":32,"PLID":92527,"PLUUID":"ef2n7d6rysar49toiz2k3obth","PN":"K. Lala","TEAMID":862,"TUUID":"3adj8hkws0z1al232bg2h6tk0","O":1,"X":26,"Y":5.9,"STAT":{"CPID":1,"SC":"0:1"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["18.2"]},{"I":141,"V":["6.2"]},{"I":212,"V":["8.19254"]},{"I":213,"V":["3.116689"]},{"I":318,"V":["0.00000074"]}]}}}
[2025-08-17 18:45:06.520] [POEM] {"data":{"OID":2568437,"UUID":"74zpn9q4fwxv9jgn3a7ijslck","POEM":{"EVID":101,"TS":"2025-08-17T14:15:04.89","TID":1,"PID":1,"M":14,"S":34,"PLID":162316,"PLUUID":"7xd54eb65lg7zldvnyd58bq39","PN":"B. Chardonnet","TEAMID":862,"TUUID":"3adj8hkws0z1al232bg2h6tk0","O":0,"X":19.5,"Y":2.2,"STAT":{"CPID":1,"SC":"0:1"},"RTL":0,"Q":[{"I":157,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":140,"V":["69"]},{"I":141,"V":["42.4"]},{"I":212,"V":["58.72527"]},{"I":213,"V":["0.4841877"]},{"I":1,"V":["NULL"]}]}}}
[2025-08-17 18:45:06.714] [POEM] {"data":{"OID":2568437,"UUID":"74zpn9q4fwxv9jgn3a7ijslck","POEM":{"EVID":165,"TS":"2025-08-17T14:15:07.18","TID":49,"PID":1,"M":14,"S":37,"PLID":538078,"PLUUID":"a5jrqzijth7e3uxl4phi83sdm","PN":"N. Ngoy","TEAMID":429,"TUUID":"be2k34rut1lz79jxenabttqlc","O":1,"X":29.1,"Y":53.5,"STAT":{"CPID":1,"SC":"0:1"},"RTL":1,"Q":[]}}}
[2025-08-17 18:45:13.136] [POEM] {"data":{"OID":2568437,"UUID":"74zpn9q4fwxv9jgn3a7ijslck","POEM":{"EVID":166,"TS":"2025-08-17T14:15:09.945","TID":1,"PID":1,"M":14,"S":40,"PLID":538078,"PLUUID":"a5jrqzijth7e3uxl4phi83sdm","PN":"N. Ngoy","TEAMID":429,"TUUID":"be2k34rut1lz79jxenabttqlc","O":1,"X":31.2,"Y":47,"STAT":{"CPID":1,"SC":"0:1"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["33.8"]},{"I":141,"V":["68.8"]},{"I":212,"V":["15.07328"]},{"I":213,"V":["1.388676"]},{"I":318,"V":["0.0000104"]}]}}}
[2025-08-17 18:45:13.841] [POEM] {"data":{"OID":2568437,"UUID":"74zpn9q4fwxv9jgn3a7ijslck","POEM":{"EVID":167,"TS":"2025-08-17T14:15:13.481","TID":1,"PID":1,"M":14,"S":44,"PLID":512253,"PLUUID":"avk0vktquq3oum9w6dyodlz6y","PN":"Alexsandro Ribeiro","TEAMID":429,"TUUID":"be2k34rut1lz79jxenabttqlc","O":1,"X":33.7,"Y":68.9,"STAT":{"CPID":1,"SC":"0:1"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["40.0"]},{"I":141,"V":["82.2"]},{"I":212,"V":["11.20501"]},{"I":213,"V":["0.9392902"]},{"I":318,"V":["0.00001533"]}]}}}
[2025-08-17 18:45:17.795] [POEM] {"data":{"OID":2568437,"UUID":"74zpn9q4fwxv9jgn3a7ijslck","POEM":{"EVID":168,"TS":"2025-08-17T14:15:14.346","TID":1,"PID":1,"M":14,"S":45,"PLID":244560,"PLUUID":"67qku7vyvbw76086eu05nowd1","PN":"R. Perraud","TEAMID":429,"TUUID":"be2k34rut1lz79jxenabttqlc","O":1,"X":40,"Y":82.2,"STAT":{"CPID":1,"SC":"0:1"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["32.8"]},{"I":141,"V":["67.4"]},{"I":212,"V":["12.5872"]},{"I":213,"V":["4.068125"]},{"I":318,"V":["0.0000101"]}]}}}
[2025-08-17 18:45:19.763] [POEM] {"data":{"OID":2568437,"UUID":"74zpn9q4fwxv9jgn3a7ijslck","POEM":{"EVID":169,"TS":"2025-08-17T14:15:18.122","TID":1,"PID":1,"M":14,"S":48,"PLID":512253,"PLUUID":"avk0vktquq3oum9w6dyodlz6y","PN":"Alexsandro Ribeiro","TEAMID":429,"TUUID":"be2k34rut1lz79jxenabttqlc","O":0,"X":35.2,"Y":59.6,"STAT":{"CPID":1,"SC":"0:1"},"RTL":1,"Q":[{"I":155,"V":["NULL"]},{"I":56,"V":["Right"]},{"I":140,"V":["60.4"]},{"I":141,"V":["8.5"]},{"I":212,"V":["43.67557"]},{"I":213,"V":["5.363199"]},{"I":1,"V":["NULL"]}]}}}
[2025-08-17 18:45:23.213] [POEM] {"data":{"OID":2568437,"UUID":"74zpn9q4fwxv9jgn3a7ijslck","POEM":{"EVID":102,"TS":"2025-08-17T14:15:21.608","TID":1,"PID":1,"M":14,"S":52,"PLID":546635,"PLUUID":"2ds26ub6ho0baamsjcmh7mmfo","PN":"B. Locko","TEAMID":862,"TUUID":"3adj8hkws0z1al232bg2h6tk0","O":1,"X":41.9,"Y":91.2,"STAT":{"CPID":1,"SC":"0:1"},"RTL":0,"Q":[{"I":3,"V":["NULL"]},{"I":56,"V":["Left"]},{"I":140,"V":["66.8"]},{"I":141,"V":["96.2"]},{"I":212,"V":["26.36515"]},{"I":213,"V":["0.1293183"]},{"I":318,"V":["0.00038684"]}]}}}
[2025-08-17 18:45:23.420] [POEM] {"data":{"OID":2568437,"UUID":"74zpn9q4fwxv9jgn3a7ijslck","POEM":{"EVID":103,"TS":"2025-08-17T14:15:23.536","TID":86,"PID":1,"M":14,"S":54,"PLID":430510,"PLUUID":"bj37ny1s1gbbe4wrgyz1wag9h","PN":"Mama Bald\u00e9","TEAMID":862,"TUUID":"3adj8hkws0z1al232bg2h6tk0","O":1,"X":66.8,"Y":96.2,"STAT":{"CPID":1,"SC":"0:1"},"RTL":0,"Q":[]}}}
[2025-08-17 18:45:24.895] [POEM] {"data":{"OID":2568437,"UUID":"74zpn9q4fwxv9jgn3a7ijslck","POEM":{"EVID":170,"TS":"2025-08-17T14:15:25.258","TID":86,"PID":1,"M":14,"S":55,"PLID":538078,"PLUUID":"a5jrqzijth7e3uxl4phi83sdm","PN":"N. Ngoy","TEAMID":429,"TUUID":"be2k34rut1lz79jxenabttqlc","O":1,"X":36.6,"Y":7.5,"STAT":{"CPID":1,"SC":"0:1"},"RTL":1,"Q":[]}}}
[2025-08-17 18:45:26.922] [POEM] {"data":{"OID":2568437,"UUID":"74zpn9q4fwxv9jgn3a7ijslck","POEM":{"EVID":171,"TS":"2025-08-17T14:15:27.274","TID":78,"PID":1,"M":14,"S":57,"PLID":538078,"PLUUID":"a5jrqzijth7e3uxl4phi83sdm","PN":"N. Ngoy","TEAMID":429,"TUUID":"be2k34rut1lz79jxenabttqlc","O":1,"X":36.6,"Y":7.5,"STAT":{"CPID":1,"SC":"0:1"},"RTL":1,"Q":[]}}}
[2025-08-17 18:45:35.703] [POEM] {"data":{"OID":2568437,"UUID":"74zpn9q4fwxv9jgn3a7ijslck","POEM":{"EVID":171,"TS":"2025-08-17T14:15:27.274","TID":17,"PID":1,"M":14,"S":57,"PLID":538078,"PLUUID":"a5jrqzijth7e3uxl4phi83sdm","PN":"N. Ngoy","TEAMID":429,"TUUID":"be2k34rut1lz79jxenabttqlc","O":1,"X":36.6,"Y":7.5,"STAT":{"CPID":1,"SC":"0:1"},"RTL":1,"Q":[{"I":31,"V":["NULL"]},{"I":393,"V":["NULL"]},{"I":13,"V":["243"]},{"I":55,"V":["170"]},{"I":368,"V":["ct38z6lpxw8ayb7j2sr9nhg5l"]}]}}}
[2025-08-17 18:46:32.840] [POEM] {"data":{"OID":2568437,"UUID":"74zpn9q4fwxv9jgn3a7ijslck","POEM":{"EVID":104,"TS":"2025-08-17T14:16:24.136","TID":1,"PID":1,"M":15,"S":54,"PLID":219873,"PLUUID":"32bc16sg6h58ajxigp7nl1ryt","PN":"R. Del Castillo","TEAMID":862,"TUUID":"3adj8hkws0z1al232bg2h6tk0","O":1,"X":68.2,"Y":96.2,"STAT":{"CPID":1,"SC":"0:1"},"RTL":0,"Q":[{"I":2,"V":["NULL"]},{"I":5,"V":["NULL"]},{"I":155,"V":["NULL"]},{"I":152,"V":["NULL"]},{"I":56,"V":["Right"]},{"I":140,"V":["93.4"]},{"I":141,"V":["14.6"]},{"I":212,"V":["61.47398"]},{"I":213,"V":["5.157354"]},{"I":1,"V":["NULL"]},{"I":318,"V":["0.00147521"]}]}}}
