[2025-08-16 19:13:29.352] [OUT] {"outlet":{"OutletKeyService":{"outletid":"1hugdxmjczoe21vm8x6kz0zx82"}}}
[2025-08-16 19:13:30.108] [OUT] {"csb":{"name":"init","token":"85372212-5e58-4988-9df1-668199ec69e5","apptype":"OptaWidgetsV3","version":"3.248.1","referer":"pub.fotmob.com","topReferer":"www.fotmob.com"}}
[2025-08-16 19:13:30.867] [OUT] {"csb":{"name":"subscribe","messagetype":["POEM"],"sendLastData":true,"eventuuid":"11i3orjflpi9empra6uuduwpg"}}
[2025-08-16 19:31:49.734] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":7,"TS":"2025-08-16T15:01:49.744","TID":1,"PID":1,"M":0,"S":12,"PLID":462116,"PLUUID":"7cp51c8zn7y08iyk0hc9ix5nt","PN":"J. Todibo","TEAMID":21,"TUUID":"4txjdaqveermfryvbfrr4taf7","O":0,"X":58.7,"Y":53.6,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":157,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":140,"V":["68.7"]},{"I":141,"V":["46.6"]},{"I":212,"V":["11.52856"]},{"I":213,"V":["5.857563"]},{"I":1,"V":["NULL"]}]}}}
[2025-08-16 19:31:54.147] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":7,"TS":"2025-08-16T15:01:51.56","TID":1,"PID":1,"M":0,"S":13,"PLID":577669,"PLUUID":"dwnd8j9ok6ncbp69gmchw953o","PN":"N. Sadiki","TEAMID":56,"TUUID":"1r3545b2dzan8yqa80gtmcjch","O":1,"X":29,"Y":48.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":157,"V":["NULL"]},{"I":56,"V":["Back"]},{"I":140,"V":["43.9"]},{"I":141,"V":["45.4"]},{"I":212,"V":["15.81491"]},{"I":213,"V":["6.136468"]},{"I":1,"V":["NULL"]},{"I":318,"V":["0.00003104"]}]}}}
[2025-08-16 19:31:54.329] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":8,"TS":"2025-08-16T15:01:53.24","TID":7,"PID":1,"M":0,"S":15,"PLID":462116,"PLUUID":"7cp51c8zn7y08iyk0hc9ix5nt","PN":"J. Todibo","TEAMID":21,"TUUID":"4txjdaqveermfryvbfrr4taf7","O":1,"X":58.6,"Y":51.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Center"]},{"I":285,"V":["NULL"]}]}}}
[2025-08-16 19:31:54.341] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":8,"TS":"2025-08-16T15:01:54.384","TID":50,"PID":1,"M":0,"S":16,"PLID":564406,"PLUUID":"c88btdvycx8d59x4yn1yrfqc4","PN":"Eliezer Mayenda","TEAMID":56,"TUUID":"1r3545b2dzan8yqa80gtmcjch","O":0,"X":44.3,"Y":46.1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":286,"V":["NULL"]}]}}}
[2025-08-16 19:31:54.743] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":9,"TS":"2025-08-16T15:01:54.735","TID":61,"PID":1,"M":0,"S":17,"PLID":564406,"PLUUID":"c88btdvycx8d59x4yn1yrfqc4","PN":"Eliezer Mayenda","TEAMID":56,"TUUID":"1r3545b2dzan8yqa80gtmcjch","O":1,"X":44.3,"Y":46.1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]}]}}}
[2025-08-16 19:31:57.022] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":9,"TS":"2025-08-16T15:01:54.576","TID":1,"PID":1,"M":0,"S":16,"PLID":101178,"PLUUID":"7r6vds5j65fohi1k28cnqjqvp","PN":"J. Ward-Prowse","TEAMID":21,"TUUID":"4txjdaqveermfryvbfrr4taf7","O":1,"X":52.9,"Y":50.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["40.7"]},{"I":141,"V":["60.2"]},{"I":212,"V":["14.3467"]},{"I":213,"V":["2.674516"]},{"I":318,"V":["0.00003441"]}]}}}
[2025-08-16 19:32:00.977] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":10,"TS":"2025-08-16T15:01:57.296","TID":1,"PID":1,"M":0,"S":19,"PLID":214048,"PLUUID":"2nz313c0ot91untg011l3pc6h","PN":"M. Kilman","TEAMID":21,"TUUID":"4txjdaqveermfryvbfrr4taf7","O":1,"X":40.9,"Y":65.2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Left"]},{"I":140,"V":["53.5"]},{"I":141,"V":["94.5"]},{"I":212,"V":["23.91649"]},{"I":213,"V":["0.984626"]},{"I":318,"V":["0.00004949"]}]}}}
[2025-08-16 19:32:03.371] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":11,"TS":"2025-08-16T15:02:01.312","TID":1,"PID":1,"M":0,"S":23,"PLID":613804,"PLUUID":"18ibccymsaxom7wdnfz0tevx0","PN":"E. Diouf","TEAMID":21,"TUUID":"4txjdaqveermfryvbfrr4taf7","O":1,"X":56.7,"Y":93.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["38.6"]},{"I":141,"V":["90.3"]},{"I":212,"V":["19.15344"]},{"I":213,"V":["3.266174"]},{"I":318,"V":["0.0000133"]}]}}}
[2025-08-16 19:32:05.158] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":12,"TS":"2025-08-16T15:02:03.728","TID":1,"PID":1,"M":0,"S":26,"PLID":210494,"PLUUID":"3o0zpl9cnmna2hyk595ja0xrd","PN":"N. Aguerd","TEAMID":21,"TUUID":"4txjdaqveermfryvbfrr4taf7","O":1,"X":37.7,"Y":87.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["31.7"]},{"I":141,"V":["66.4"]},{"I":212,"V":["15.8572"]},{"I":213,"V":["4.303821"]},{"I":318,"V":["0.00000704"]}]}}}
[2025-08-16 19:32:09.957] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":13,"TS":"2025-08-16T15:02:05.392","TID":1,"PID":1,"M":0,"S":27,"PLID":214048,"PLUUID":"2nz313c0ot91untg011l3pc6h","PN":"M. Kilman","TEAMID":21,"TUUID":"4txjdaqveermfryvbfrr4taf7","O":1,"X":31.8,"Y":64,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["36.9"]},{"I":141,"V":["39.4"]},{"I":212,"V":["17.56423"]},{"I":213,"V":["5.022202"]},{"I":318,"V":["0.00001383"]}]}}}
[2025-08-16 19:32:15.575] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":14,"TS":"2025-08-16T15:02:10.193","TID":1,"PID":1,"M":0,"S":32,"PLID":462116,"PLUUID":"7cp51c8zn7y08iyk0hc9ix5nt","PN":"J. Todibo","TEAMID":21,"TUUID":"4txjdaqveermfryvbfrr4taf7","O":1,"X":38.6,"Y":33.6,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["41.4"]},{"I":141,"V":["67.3"]},{"I":212,"V":["23.10382"]},{"I":213,"V":["1.443199"]},{"I":318,"V":["0.00002778"]}]}}}
[2025-08-16 19:32:18.603] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":15,"TS":"2025-08-16T15:02:15.873","TID":1,"PID":1,"M":0,"S":38,"PLID":214048,"PLUUID":"2nz313c0ot91untg011l3pc6h","PN":"M. Kilman","TEAMID":21,"TUUID":"4txjdaqveermfryvbfrr4taf7","O":1,"X":43.1,"Y":66,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["49.5"]},{"I":141,"V":["91.8"]},{"I":212,"V":["18.78697"]},{"I":213,"V":["1.204998"]},{"I":318,"V":["0.00003538"]}]}}}
[2025-08-16 19:32:23.801] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":16,"TS":"2025-08-16T15:02:18.865","TID":1,"PID":1,"M":0,"S":41,"PLID":210494,"PLUUID":"3o0zpl9cnmna2hyk595ja0xrd","PN":"N. Aguerd","TEAMID":21,"TUUID":"4txjdaqveermfryvbfrr4taf7","O":1,"X":47.5,"Y":93,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":155,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":140,"V":["78.9"]},{"I":141,"V":["68.2"]},{"I":212,"V":["37.03263"]},{"I":213,"V":["5.810384"]},{"I":1,"V":["NULL"]},{"I":318,"V":["0.00397004"]}]}}}
[2025-08-16 19:32:23.978] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":10,"TS":"2025-08-16T15:02:23.617","TID":44,"PID":1,"M":0,"S":46,"PLID":223827,"PLUUID":"bnjdkz5d7st9gtn2srjs8ozc9","PN":"D. Ballard","TEAMID":56,"TUUID":"1r3545b2dzan8yqa80gtmcjch","O":1,"X":15.6,"Y":23.6,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":285,"V":["NULL"]}]}}}
[2025-08-16 19:32:24.214] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":17,"TS":"2025-08-16T15:02:24.49","TID":44,"PID":1,"M":0,"S":46,"PLID":178186,"PLUUID":"d542ijpf3j9hdrtt1mfe6vwlx","PN":"J. Bowen","TEAMID":21,"TUUID":"4txjdaqveermfryvbfrr4taf7","O":1,"X":78.9,"Y":68.2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Center"]},{"I":286,"V":["NULL"]}]}}}
[2025-08-16 19:32:24.217] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":11,"TS":"2025-08-16T15:02:24.177","TID":12,"PID":1,"M":0,"S":46,"PLID":223827,"PLUUID":"bnjdkz5d7st9gtn2srjs8ozc9","PN":"D. Ballard","TEAMID":56,"TUUID":"1r3545b2dzan8yqa80gtmcjch","O":1,"X":15.6,"Y":23.6,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["15.6"]},{"I":141,"V":["23.6"]},{"I":212,"V":["0"]},{"I":213,"V":["3.141593"]}]}}}
[2025-08-16 19:32:25.832] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":12,"TS":"2025-08-16T15:02:25.905","TID":49,"PID":1,"M":0,"S":48,"PLID":498016,"PLUUID":"6h0fuh0aamz86pf25qebm0fvu","PN":"R. Roefs","TEAMID":56,"TUUID":"1r3545b2dzan8yqa80gtmcjch","O":1,"X":8.5,"Y":54,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[]}}}
[2025-08-16 19:32:32.011] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":13,"TS":"2025-08-16T15:02:27.203","TID":1,"PID":1,"M":0,"S":49,"PLID":498016,"PLUUID":"6h0fuh0aamz86pf25qebm0fvu","PN":"R. Roefs","TEAMID":56,"TUUID":"1r3545b2dzan8yqa80gtmcjch","O":1,"X":10.4,"Y":60,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["21.6"]},{"I":141,"V":["87.2"]},{"I":212,"V":["21.91802"]},{"I":213,"V":["1.004459"]},{"I":318,"V":["0.00000104"]}]}}}
[2025-08-16 19:32:36.256] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":14,"TS":"2025-08-16T15:02:32.257","TID":1,"PID":1,"M":0,"S":54,"PLID":434399,"PLUUID":"cj3dik1dqyo2nf1jgmyn471sl","PN":"Reinildo Mandava","TEAMID":56,"TUUID":"1r3545b2dzan8yqa80gtmcjch","O":1,"X":34.1,"Y":88.6,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["23.8"]},{"I":141,"V":["73.0"]},{"I":212,"V":["15.14906"]},{"I":213,"V":["3.917329"]},{"I":318,"V":["0.00000235"]}]}}}
[2025-08-16 19:32:38.859] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":15,"TS":"2025-08-16T15:02:36.385","TID":1,"PID":1,"M":0,"S":58,"PLID":519634,"PLUUID":"e1islmeew98wa2ge0dicloay2","PN":"J. Seelt","TEAMID":56,"TUUID":"1r3545b2dzan8yqa80gtmcjch","O":1,"X":24.7,"Y":73,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["36.1"]},{"I":141,"V":["79.4"]},{"I":212,"V":["12.73659"]},{"I":213,"V":["0.3487173"]},{"I":318,"V":["0.00000707"]}]}}}
[2025-08-16 19:32:40.025] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":16,"TS":"2025-08-16T15:02:38.993","TID":1,"PID":1,"M":1,"S":1,"PLID":577669,"PLUUID":"dwnd8j9ok6ncbp69gmchw953o","PN":"N. Sadiki","TEAMID":56,"TUUID":"1r3545b2dzan8yqa80gtmcjch","O":1,"X":36.5,"Y":82.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["36.4"]},{"I":141,"V":["94.2"]},{"I":212,"V":["7.684717"]},{"I":213,"V":["1.58446"]},{"I":318,"V":["0.00000541"]}]}}}
[2025-08-16 19:32:42.602] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":17,"TS":"2025-08-16T15:02:40.354","TID":1,"PID":1,"M":1,"S":2,"PLID":434399,"PLUUID":"cj3dik1dqyo2nf1jgmyn471sl","PN":"Reinildo Mandava","TEAMID":56,"TUUID":"1r3545b2dzan8yqa80gtmcjch","O":1,"X":35.7,"Y":94.1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["15.3"]},{"I":141,"V":["75.6"]},{"I":212,"V":["24.84095"]},{"I":213,"V":["3.672623"]},{"I":318,"V":["0.00000102"]}]}}}
[2025-08-16 19:32:47.016] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":18,"TS":"2025-08-16T15:02:42.849","TID":1,"PID":1,"M":1,"S":5,"PLID":519634,"PLUUID":"e1islmeew98wa2ge0dicloay2","PN":"J. Seelt","TEAMID":56,"TUUID":"1r3545b2dzan8yqa80gtmcjch","O":1,"X":13.5,"Y":71.1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["21.8"]},{"I":141,"V":["30.9"]},{"I":212,"V":["28.6916"]},{"I":213,"V":["5.021012"]},{"I":318,"V":["0.00000174"]}]}}}
[2025-08-16 19:32:52.035] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":19,"TS":"2025-08-16T15:02:47.250","TID":1,"PID":1,"M":1,"S":9,"PLID":223827,"PLUUID":"bnjdkz5d7st9gtn2srjs8ozc9","PN":"D. Ballard","TEAMID":56,"TUUID":"1r3545b2dzan8yqa80gtmcjch","O":1,"X":25.3,"Y":29.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["27.4"]},{"I":141,"V":["13.2"]},{"I":212,"V":["11.23451"]},{"I":213,"V":["4.909942"]},{"I":318,"V":["0.00000222"]}]}}}
[2025-08-16 19:32:55.432] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":20,"TS":"2025-08-16T15:02:52.242","TID":1,"PID":1,"M":1,"S":14,"PLID":487676,"PLUUID":"31foqyshubo5nkh8kdmbjw8kq","PN":"T. Hume","TEAMID":56,"TUUID":"1r3545b2dzan8yqa80gtmcjch","O":1,"X":26.2,"Y":16.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Right"]},{"I":140,"V":["55.6"]},{"I":141,"V":["18.2"]},{"I":212,"V":["30.88685"]},{"I":213,"V":["0.03302977"]},{"I":318,"V":["0.00008114"]}]}}}
[2025-08-16 19:32:55.668] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":21,"TS":"2025-08-16T15:02:55.667","TID":61,"PID":1,"M":1,"S":18,"PLID":564406,"PLUUID":"c88btdvycx8d59x4yn1yrfqc4","PN":"Eliezer Mayenda","TEAMID":56,"TUUID":"1r3545b2dzan8yqa80gtmcjch","O":0,"X":55.8,"Y":18.2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Right"]}]}}}
[2025-08-16 19:32:56.434] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":18,"TS":"2025-08-16T15:02:55.777","TID":7,"PID":1,"M":1,"S":18,"PLID":214048,"PLUUID":"2nz313c0ot91untg011l3pc6h","PN":"M. Kilman","TEAMID":21,"TUUID":"4txjdaqveermfryvbfrr4taf7","O":1,"X":38.3,"Y":90,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":285,"V":["NULL"]}]}}}
[2025-08-16 19:33:00.252] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":19,"TS":"2025-08-16T15:02:56.753","TID":1,"PID":1,"M":1,"S":19,"PLID":210494,"PLUUID":"3o0zpl9cnmna2hyk595ja0xrd","PN":"N. Aguerd","TEAMID":21,"TUUID":"4txjdaqveermfryvbfrr4taf7","O":1,"X":42.2,"Y":90.2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["15.7"]},{"I":141,"V":["61.2"]},{"I":212,"V":["34.10439"]},{"I":213,"V":["3.758144"]},{"I":1,"V":["NULL"]},{"I":318,"V":["0.00000173"]}]}}}
[2025-08-16 19:33:00.635] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":20,"TS":"2025-08-16T15:03:00.610","TID":49,"PID":1,"M":1,"S":23,"PLID":467189,"PLUUID":"eobf6cct1dpm7bdqyatg6ejmx","PN":"M. Hermansen","TEAMID":21,"TUUID":"4txjdaqveermfryvbfrr4taf7","O":1,"X":15.7,"Y":61.2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[]}}}
[2025-08-16 19:33:09.373] [POEM] {"data":{"OID":2561899,"UUID":"11i3orjflpi9empra6uuduwpg","POEM":{"EVID":21,"TS":"2025-08-16T15:03:01.538","TID":1,"PID":1,"M":1,"S":23,"PLID":467189,"PLUUID":"eobf6cct1dpm7bdqyatg6ejmx","PN":"M. Hermansen","TEAMID":21,"TUUID":"4txjdaqveermfryvbfrr4taf7","O":1,"X":14.7,"Y":54.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["23.2"]},{"I":141,"V":["34.8"]},{"I":212,"V":["16.26701"]},{"I":213,"V":["5.293145"]},{"I":318,"V":["0.00000179"]}]}}}
