[2025-08-23 00:14:47.403] [OUT] {"outlet":{"OutletKeyService":{"outletid":"1hugdxmjczoe21vm8x6kz0zx82"}}}
[2025-08-23 00:14:48.069] [OUT] {"csb":{"name":"init","token":"85372212-5e58-4988-9df1-668199ec69e5","apptype":"OptaWidgetsV3","version":"3.248.1","referer":"pub.fotmob.com","topReferer":"www.fotmob.com"}}
[2025-08-23 00:14:48.721] [OUT] {"csb":{"name":"subscribe","messagetype":["POEM"],"sendLastData":true,"eventuuid":"cs0hy642fmy1in51iqx5z2syc"}}
[2025-08-23 00:15:27.368] [POEM] {"data":{"OID":2569045,"UUID":"cs0hy642fmy1in51iqx5z2syc","POEM":{"EVID":82,"TS":"2025-08-22T19:45:24.935","TID":5,"PID":1,"M":13,"S":40,"PLID":428786,"PLUUID":"23l48u4w5nj4036whjm3s49gp","PN":"R. Baku","TEAMID":6339,"TUUID":"9gefq4dz9b2hl8rqrxwrlrzmp","O":1,"X":-0.6,"Y":24.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":346,"V":["NULL"]}]}}}
[2025-08-23 00:15:55.990] [POEM] {"data":{"OID":2569045,"UUID":"cs0hy642fmy1in51iqx5z2syc","POEM":{"EVID":83,"TS":"2025-08-22T19:45:48.71","TID":1,"PID":1,"M":14,"S":3,"PLID":468657,"PLUUID":"aaaskdins76bd0368sbpt7wq2","PN":"C. Lukeba","TEAMID":6339,"TUUID":"9gefq4dz9b2hl8rqrxwrlrzmp","O":1,"X":5.6,"Y":62.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":124,"V":["NULL"]},{"I":56,"V":["Back"]},{"I":140,"V":["5"]},{"I":141,"V":["50.1"]},{"I":212,"V":["8.387693"]},{"I":213,"V":["4.637208"]},{"I":318,"V":["0.00000058"]},{"I":237,"V":["NULL"]}]}}}
[2025-08-23 00:15:57.230] [POEM] {"data":{"OID":2569045,"UUID":"cs0hy642fmy1in51iqx5z2syc","POEM":{"EVID":84,"TS":"2025-08-22T19:45:55.623","TID":1,"PID":1,"M":14,"S":10,"PLID":46506,"PLUUID":"3tb27261f8mpzpq3prpv8ng0l","PN":"P. Gul\u00e1csi","TEAMID":6339,"TUUID":"9gefq4dz9b2hl8rqrxwrlrzmp","O":1,"X":7.7,"Y":48.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["15.3"]},{"I":141,"V":["54.4"]},{"I":212,"V":["8.871515"]},{"I":213,"V":["0.4521539"]},{"I":318,"V":["0.00000084"]}]}}}
[2025-08-23 00:15:58.646] [POEM] {"data":{"OID":2569045,"UUID":"cs0hy642fmy1in51iqx5z2syc","POEM":{"EVID":85,"TS":"2025-08-22T19:45:56.982","TID":1,"PID":1,"M":14,"S":12,"PLID":493362,"PLUUID":"exhxdmdq49xj4dnguq03qnlgq","PN":"X. Simons","TEAMID":6339,"TUUID":"9gefq4dz9b2hl8rqrxwrlrzmp","O":1,"X":15.3,"Y":54.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["1.9"]},{"I":141,"V":["73"]},{"I":212,"V":["18.91922"]},{"I":213,"V":["2.409367"]},{"I":318,"V":["0.00000022"]}]}}}
[2025-08-23 00:16:00.392] [POEM] {"data":{"OID":2569045,"UUID":"cs0hy642fmy1in51iqx5z2syc","POEM":{"EVID":171,"TS":"2025-08-22T19:46:00.40","TID":45,"PID":1,"M":14,"S":15,"PLID":443661,"PLUUID":"m2c4lckkcr7yilnqxrrsgh2i","PN":"M. Olise","TEAMID":156,"TUUID":"apoawtpvac4zqlancmvw4nk4o","O":0,"X":93.8,"Y":24.1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":286,"V":["NULL"]}]}}}
[2025-08-23 00:16:04.192] [POEM] {"data":{"OID":2569045,"UUID":"cs0hy642fmy1in51iqx5z2syc","POEM":{"EVID":86,"TS":"2025-08-22T19:45:59.254","TID":3,"PID":1,"M":14,"S":14,"PLID":468657,"PLUUID":"aaaskdins76bd0368sbpt7wq2","PN":"C. Lukeba","TEAMID":6339,"TUUID":"9gefq4dz9b2hl8rqrxwrlrzmp","O":1,"X":3.4,"Y":75.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":285,"V":["NULL"]}]}}}
[2025-08-23 00:16:05.199] [POEM] {"data":{"OID":2569045,"UUID":"cs0hy642fmy1in51iqx5z2syc","POEM":{"EVID":87,"TS":"2025-08-22T19:46:03.879","TID":1,"PID":1,"M":14,"S":18,"PLID":468657,"PLUUID":"aaaskdins76bd0368sbpt7wq2","PN":"C. Lukeba","TEAMID":6339,"TUUID":"9gefq4dz9b2hl8rqrxwrlrzmp","O":0,"X":25.4,"Y":87.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["34.8"]},{"I":141,"V":["70.6"]},{"I":212,"V":["15.09717"]},{"I":213,"V":["5.424938"]}]}}}
[2025-08-23 00:16:05.256] [POEM] {"data":{"OID":2569045,"UUID":"cs0hy642fmy1in51iqx5z2syc","POEM":{"EVID":172,"TS":"2025-08-22T19:46:04.937","TID":8,"PID":1,"M":14,"S":20,"PLID":119090,"PLUUID":"4w4ldzomkj7fhrc51iimz8no5","PN":"L. Goretzka","TEAMID":156,"TUUID":"apoawtpvac4zqlancmvw4nk4o","O":1,"X":60,"Y":32.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]}]}}}
[2025-08-23 00:16:07.796] [POEM] {"data":{"OID":2569045,"UUID":"cs0hy642fmy1in51iqx5z2syc","POEM":{"EVID":173,"TS":"2025-08-22T19:46:06.745","TID":1,"PID":1,"M":14,"S":21,"PLID":164454,"PLUUID":"5ec2ede9uwbft3wby33mwowyd","PN":"J. Tah","TEAMID":156,"TUUID":"apoawtpvac4zqlancmvw4nk4o","O":1,"X":52.9,"Y":39.2,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["63.8"]},{"I":141,"V":["38.9"]},{"I":212,"V":["11.44682"]},{"I":213,"V":["6.265363"]},{"I":318,"V":["0.00084653"]}]}}}
[2025-08-23 00:16:07.997] [POEM] {"data":{"OID":2569045,"UUID":"cs0hy642fmy1in51iqx5z2syc","POEM":{"EVID":174,"TS":"2025-08-22T19:46:07.449","TID":49,"PID":1,"M":14,"S":22,"PLID":119090,"PLUUID":"4w4ldzomkj7fhrc51iimz8no5","PN":"L. Goretzka","TEAMID":156,"TUUID":"apoawtpvac4zqlancmvw4nk4o","O":1,"X":64,"Y":38.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[]}}}
[2025-08-23 00:16:08.394] [POEM] {"data":{"OID":2569045,"UUID":"cs0hy642fmy1in51iqx5z2syc","POEM":{"EVID":175,"TS":"2025-08-22T19:46:07.721","TID":1,"PID":1,"M":14,"S":22,"PLID":119090,"PLUUID":"4w4ldzomkj7fhrc51iimz8no5","PN":"L. Goretzka","TEAMID":156,"TUUID":"apoawtpvac4zqlancmvw4nk4o","O":0,"X":64.4,"Y":38.8,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["65.9"]},{"I":141,"V":["43.6"]},{"I":212,"V":["3.62413"]},{"I":213,"V":["1.121217"]}]}}}
[2025-08-23 00:16:08.898] [POEM] {"data":{"OID":2569045,"UUID":"cs0hy642fmy1in51iqx5z2syc","POEM":{"EVID":88,"TS":"2025-08-22T19:46:08.614","TID":74,"PID":1,"M":14,"S":23,"PLID":204561,"PLUUID":"1s1v1tweyx8wxc9hj2jrnaggl","PN":"X. Schlager","TEAMID":6339,"TUUID":"9gefq4dz9b2hl8rqrxwrlrzmp","O":1,"X":34.2,"Y":53.1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":285,"V":["NULL"]}]}}}
[2025-08-23 00:16:09.504] [POEM] {"data":{"OID":2569045,"UUID":"cs0hy642fmy1in51iqx5z2syc","POEM":{"EVID":176,"TS":"2025-08-22T19:46:08.744","TID":61,"PID":1,"M":14,"S":23,"PLID":119090,"PLUUID":"4w4ldzomkj7fhrc51iimz8no5","PN":"L. Goretzka","TEAMID":156,"TUUID":"apoawtpvac4zqlancmvw4nk4o","O":1,"X":63.4,"Y":43.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]}]}}}
[2025-08-23 00:16:13.062] [POEM] {"data":{"OID":2569045,"UUID":"cs0hy642fmy1in51iqx5z2syc","POEM":{"EVID":177,"TS":"2025-08-22T19:46:11.832","TID":1,"PID":1,"M":14,"S":26,"PLID":119090,"PLUUID":"4w4ldzomkj7fhrc51iimz8no5","PN":"L. Goretzka","TEAMID":156,"TUUID":"apoawtpvac4zqlancmvw4nk4o","O":1,"X":60.6,"Y":37.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Center"]},{"I":140,"V":["64.2"]},{"I":141,"V":["22.7"]},{"I":212,"V":["10.87789"]},{"I":213,"V":["5.067286"]},{"I":318,"V":["0.00061755"]}]}}}
[2025-08-23 00:16:13.404] [POEM] {"data":{"OID":2569045,"UUID":"cs0hy642fmy1in51iqx5z2syc","POEM":{"EVID":89,"TS":"2025-08-22T19:46:13.63","TID":61,"PID":1,"M":14,"S":28,"PLID":478196,"PLUUID":"307whzq643o50rd4g8niobyay","PN":"N. Seiwald","TEAMID":6339,"TUUID":"9gefq4dz9b2hl8rqrxwrlrzmp","O":1,"X":34.3,"Y":53.1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]}]}}}
[2025-08-23 00:16:15.236] [POEM] {"data":{"OID":2569045,"UUID":"cs0hy642fmy1in51iqx5z2syc","POEM":{"EVID":178,"TS":"2025-08-22T19:46:12.745","TID":1,"PID":1,"M":14,"S":27,"PLID":109126,"PLUUID":"1qthvf5krys0pzk24h8wtr9at","PN":"K. Laimer","TEAMID":156,"TUUID":"apoawtpvac4zqlancmvw4nk4o","O":1,"X":64.2,"Y":22.7,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":56,"V":["Right"]},{"I":140,"V":["72.0"]},{"I":141,"V":["7.6"]},{"I":212,"V":["13.13423"]},{"I":213,"V":["5.385679"]},{"I":318,"V":["0.00058003"]}]}}}
[2025-08-23 00:16:16.873] [POEM] {"data":{"OID":2569045,"UUID":"cs0hy642fmy1in51iqx5z2syc","POEM":{"EVID":179,"TS":"2025-08-22T19:46:14.921","TID":1,"PID":1,"M":14,"S":29,"PLID":133798,"PLUUID":"4ysxvym6ww4f9d3hflkqsbf11","PN":"S. Gnabry","TEAMID":156,"TUUID":"apoawtpvac4zqlancmvw4nk4o","O":0,"X":74.2,"Y":8.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":155,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":140,"V":["92.5"]},{"I":141,"V":["40.4"]},{"I":212,"V":["29.08054"]},{"I":213,"V":["0.8489773"]}]}}}
[2025-08-23 00:16:17.436] [POEM] {"data":{"OID":2569045,"UUID":"cs0hy642fmy1in51iqx5z2syc","POEM":{"EVID":90,"TS":"2025-08-22T19:46:17.63","TID":52,"PID":1,"M":14,"S":32,"PLID":46506,"PLUUID":"3tb27261f8mpzpq3prpv8ng0l","PN":"P. Gul\u00e1csi","TEAMID":6339,"TUUID":"9gefq4dz9b2hl8rqrxwrlrzmp","O":0,"X":6.8,"Y":61.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[]}}}
[2025-08-23 00:16:22.442] [POEM] {"data":{"OID":2569045,"UUID":"cs0hy642fmy1in51iqx5z2syc","POEM":{"EVID":113,"TS":"2025-08-22T19:42:03.946","TID":15,"PID":1,"M":10,"S":19,"PLID":109126,"PLUUID":"1qthvf5krys0pzk24h8wtr9at","PN":"K. Laimer","TEAMID":156,"TUUID":"apoawtpvac4zqlancmvw4nk4o","O":1,"X":89.9,"Y":29.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":142,"V":["NULL"]},{"I":22,"V":["NULL"]},{"I":20,"V":["NULL"]},{"I":63,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":321,"V":["0.0454"]},{"I":327,"V":["2"]},{"I":326,"V":["2"]}]}}}
[2025-08-23 00:16:27.021] [POEM] {"data":{"OID":2569045,"UUID":"cs0hy642fmy1in51iqx5z2syc","POEM":{"EVID":91,"TS":"2025-08-22T19:46:24.104","TID":1,"PID":1,"M":14,"S":39,"PLID":46506,"PLUUID":"3tb27261f8mpzpq3prpv8ng0l","PN":"P. Gul\u00e1csi","TEAMID":6339,"TUUID":"9gefq4dz9b2hl8rqrxwrlrzmp","O":1,"X":9.1,"Y":55.6,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":123,"V":["NULL"]},{"I":56,"V":["Back"]},{"I":140,"V":["12.5"]},{"I":141,"V":["39.7"]},{"I":212,"V":["11.38614"]},{"I":213,"V":["5.031307"]},{"I":318,"V":["0.00000064"]}]}}}
[2025-08-23 00:16:28.619] [POEM] {"data":{"OID":2569045,"UUID":"cs0hy642fmy1in51iqx5z2syc","POEM":{"EVID":113,"TS":"2025-08-22T19:42:03.946","TID":15,"PID":1,"M":10,"S":19,"PLID":109126,"PLUUID":"1qthvf5krys0pzk24h8wtr9at","PN":"K. Laimer","TEAMID":156,"TUUID":"apoawtpvac4zqlancmvw4nk4o","O":1,"X":89.9,"Y":29.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":142,"V":["NULL"]},{"I":22,"V":["NULL"]},{"I":20,"V":["NULL"]},{"I":63,"V":["NULL"]},{"I":78,"V":["NULL"]},{"I":29,"V":["NULL"]},{"I":133,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":55,"V":["112"]},{"I":368,"V":["3aiugz9lq8rigl6vcg88vmm1m"]},{"I":102,"V":["51.4"]},{"I":103,"V":["19.620253164557"]},{"I":321,"V":["0.0454"]},{"I":327,"V":["2"]},{"I":326,"V":["3"]},{"I":146,"V":["99.0"]},{"I":147,"V":["48.2"]},{"I":322,"V":["0.0804"]}]}}}
[2025-08-23 00:16:28.948] [POEM] {"data":{"OID":2569045,"UUID":"cs0hy642fmy1in51iqx5z2syc","POEM":{"EVID":113,"TS":"2025-08-22T19:42:03.946","TID":15,"PID":1,"M":10,"S":19,"PLID":109126,"PLUUID":"1qthvf5krys0pzk24h8wtr9at","PN":"K. Laimer","TEAMID":156,"TUUID":"apoawtpvac4zqlancmvw4nk4o","O":1,"X":89.9,"Y":29.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":142,"V":["NULL"]},{"I":233,"V":["63"]},{"I":372,"V":["bj4f4svh0z2srzwvfc1j3qn7w"]},{"I":22,"V":["NULL"]},{"I":20,"V":["NULL"]},{"I":63,"V":["NULL"]},{"I":78,"V":["NULL"]},{"I":29,"V":["NULL"]},{"I":133,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":55,"V":["112"]},{"I":368,"V":["3aiugz9lq8rigl6vcg88vmm1m"]},{"I":102,"V":["51.4"]},{"I":103,"V":["19.620253164557"]},{"I":321,"V":["0.0454"]},{"I":327,"V":["2"]},{"I":326,"V":["3"]},{"I":146,"V":["99.0"]},{"I":147,"V":["48.2"]},{"I":322,"V":["0.0804"]}]}}}
[2025-08-23 00:16:29.083] [POEM] {"data":{"OID":2569045,"UUID":"cs0hy642fmy1in51iqx5z2syc","POEM":{"EVID":63,"TS":"2025-08-22T19:42:04.46","TID":10,"PID":1,"M":10,"S":19,"PLID":46506,"PLUUID":"3tb27261f8mpzpq3prpv8ng0l","PN":"P. Gul\u00e1csi","TEAMID":6339,"TUUID":"9gefq4dz9b2hl8rqrxwrlrzmp","O":1,"X":2.8,"Y":55.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":142,"V":["NULL"]},{"I":174,"V":["NULL"]},{"I":179,"V":["NULL"]},{"I":182,"V":["NULL"]},{"I":233,"V":["113"]},{"I":372,"V":["27l0318h5bjsv7dtwowq7xymn"]},{"I":56,"V":["Back"]}]}}}
[2025-08-23 00:16:29.473] [POEM] {"data":{"OID":2569045,"UUID":"cs0hy642fmy1in51iqx5z2syc","POEM":{"EVID":92,"TS":"2025-08-22T19:46:26.775","TID":1,"PID":1,"M":14,"S":41,"PLID":101601,"PLUUID":"eapihgte8ydc4g6hzygsx2e39","PN":"W. Orb\u00e1n","TEAMID":6339,"TUUID":"9gefq4dz9b2hl8rqrxwrlrzmp","O":1,"X":21.7,"Y":30.9,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["20.1"]},{"I":141,"V":["10.8"]},{"I":212,"V":["13.77086"]},{"I":213,"V":["4.590087"]},{"I":318,"V":["0.00000132"]}]}}}
[2025-08-23 00:16:31.751] [POEM] {"data":{"OID":2569045,"UUID":"cs0hy642fmy1in51iqx5z2syc","POEM":{"EVID":113,"TS":"2025-08-22T19:42:03.946","TID":15,"PID":1,"M":10,"S":19,"PLID":109126,"PLUUID":"1qthvf5krys0pzk24h8wtr9at","PN":"K. Laimer","TEAMID":156,"TUUID":"apoawtpvac4zqlancmvw4nk4o","O":1,"X":89.9,"Y":29.4,"STAT":{"CPID":1,"SC":"0:0"},"RTL":1,"Q":[{"I":142,"V":["NULL"]},{"I":320,"V":["1"]},{"I":233,"V":["63"]},{"I":372,"V":["bj4f4svh0z2srzwvfc1j3qn7w"]},{"I":22,"V":["NULL"]},{"I":20,"V":["NULL"]},{"I":63,"V":["NULL"]},{"I":78,"V":["NULL"]},{"I":29,"V":["NULL"]},{"I":133,"V":["NULL"]},{"I":56,"V":["Center"]},{"I":55,"V":["112"]},{"I":368,"V":["3aiugz9lq8rigl6vcg88vmm1m"]},{"I":102,"V":["51.4"]},{"I":103,"V":["19.620253164557"]},{"I":321,"V":["0.0454"]},{"I":327,"V":["2"]},{"I":326,"V":["3"]},{"I":146,"V":["99.0"]},{"I":147,"V":["48.2"]},{"I":322,"V":["0.0804"]}]}}}
[2025-08-23 00:16:32.130] [POEM] {"data":{"OID":2569045,"UUID":"cs0hy642fmy1in51iqx5z2syc","POEM":{"EVID":93,"TS":"2025-08-22T19:46:29.190","TID":1,"PID":1,"M":14,"S":44,"PLID":428786,"PLUUID":"23l48u4w5nj4036whjm3s49gp","PN":"R. Baku","TEAMID":6339,"TUUID":"9gefq4dz9b2hl8rqrxwrlrzmp","O":1,"X":20.3,"Y":11.1,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["4.1"]},{"I":141,"V":["47.1"]},{"I":212,"V":["29.80957"]},{"I":213,"V":["2.17806"]},{"I":318,"V":["0.00000041"]}]}}}
[2025-08-23 00:16:33.949] [POEM] {"data":{"OID":2569045,"UUID":"cs0hy642fmy1in51iqx5z2syc","POEM":{"EVID":94,"TS":"2025-08-22T19:46:31.846","TID":1,"PID":1,"M":14,"S":46,"PLID":46506,"PLUUID":"3tb27261f8mpzpq3prpv8ng0l","PN":"P. Gul\u00e1csi","TEAMID":6339,"TUUID":"9gefq4dz9b2hl8rqrxwrlrzmp","O":1,"X":5,"Y":49.3,"STAT":{"CPID":1,"SC":"0:0"},"RTL":0,"Q":[{"I":56,"V":["Back"]},{"I":140,"V":["5.2"]},{"I":141,"V":["72.3"]},{"I":212,"V":["15.64141"]},{"I":213,"V":["1.55737"]},{"I":318,"V":["0.00000025"]}]}}}
