[2025-08-23 21:18:41] Palma vs Vigo - C Values: {"T1_C": 9.7, "T2_C": 4.06, "T3_C": 1.42, "T4_C": 2.875, "T5_C": 1.26, "T6_C": 1.075, "T7_C": 1.785, "T8_C": 2.025, "T9_C": 2.304, "T10_C": 1.616, "T11_C": 1.845, "T12_C": 1.96, "T13_C": 1.864, "T14_C": 1.936, "T180_C": 1.845, "T181_C": 1.96}
[2025-08-23 21:30:18] Palma vs Vigo - C Values: {"T1_C": 11, "T2_C": 4.2, "T3_C": 1.38, "T4_C": 3.056, "T5_C": 1.245, "T6_C": 1.06, "T7_C": 1.808, "T8_C": 2, "T9_C": 1.656, "T10_C": 2.23, "T11_C": 1.92, "T12_C": 1.88, "T13_C": 1.95, "T14_C": 1.85, "T180_C": 1.92, "T181_C": 1.88}
[2025-08-23 21:35:50] Palma vs Vigo - C Values: {"T1_C": 11, "T2_C": 4.2, "T3_C": 1.38, "T4_C": 3.056, "T5_C": 1.245, "T6_C": 1.06, "T7_C": 1.808, "T8_C": 2, "T9_C": 1.656, "T10_C": 2.23, "T11_C": 1.885, "T12_C": 1.915, "T13_C": 1.95, "T14_C": 1.85, "T180_C": 1.885, "T181_C": 1.915}
[2025-08-23 21:35:55] Palma vs Vigo - C Values: {"T1_C": 10, "T2_C": 4, "T3_C": 1.41, "T4_C": 2.905, "T5_C": 1.264, "T6_C": 1.064, "T7_C": 1.808, "T8_C": 2, "T9_C": 1.63, "T10_C": 2.28, "T11_C": 1.885, "T12_C": 1.915, "T13_C": 1.864, "T14_C": 1.936, "T180_C": 1.885, "T181_C": 1.915}
[2025-08-23 21:36:10] Palma vs Vigo - C Values: {"T1_C": 11, "T2_C": 4.2, "T3_C": 1.38, "T4_C": 3.056, "T5_C": 1.245, "T6_C": 1.06, "T7_C": 1.808, "T8_C": 2, "T9_C": 1.656, "T10_C": 2.23, "T11_C": 1.885, "T12_C": 1.915, "T13_C": 1.95, "T14_C": 1.85, "T180_C": 1.885, "T181_C": 1.915}
[2025-08-23 21:36:35] Palma vs Vigo - C Values: {"T1_C": 11, "T2_C": 4.2, "T3_C": 1.38, "T4_C": 3.056, "T5_C": 1.245, "T6_C": 1.06, "T7_C": 1.808, "T8_C": 2, "T9_C": 1.67, "T10_C": 2.205, "T11_C": 1.94, "T12_C": 1.86, "T13_C": 1.95, "T14_C": 1.85, "T180_C": 1.94, "T181_C": 1.86}
[2025-08-23 21:36:55] Palma vs Vigo - C Values: {"T1_C": 10.5, "T2_C": 4.2, "T3_C": 1.38, "T4_C": 3.048, "T5_C": 1.245, "T6_C": 1.06, "T7_C": 1.78, "T8_C": 2.04, "T9_C": 1.67, "T10_C": 2.205, "T11_C": 1.885, "T12_C": 1.915, "T13_C": 1.95, "T14_C": 1.85, "T180_C": 1.885, "T181_C": 1.915}
[2025-08-23 21:37:39] Palma vs Vigo - C Values: {"T1_C": 10.5, "T2_C": 4.2, "T3_C": 1.38, "T4_C": 3.048, "T5_C": 1.245, "T6_C": 1.06, "T7_C": 1.78, "T8_C": 2.04, "T9_C": 1.685, "T10_C": 2.175, "T11_C": 1.94, "T12_C": 1.86, "T13_C": 1.95, "T14_C": 1.85, "T180_C": 1.94, "T181_C": 1.86}
[2025-08-23 21:37:45] Palma vs Vigo - C Values: {"T1_C": 9.4, "T2_C": 3.76, "T3_C": 1.464, "T4_C": 2.705, "T5_C": 1.29, "T6_C": 1.075, "T7_C": 1.69, "T8_C": 2.168, "T9_C": 1.63, "T10_C": 2.28, "T11_C": 1.81, "T12_C": 2, "T13_C": 1.95, "T14_C": 1.85, "T180_C": 1.81, "T181_C": 2}
[2025-08-23 21:37:52] Palma vs Vigo - C Values: {"T1_C": 9.4, "T2_C": 3.76, "T3_C": 1.464, "T4_C": 2.705, "T5_C": 1.29, "T6_C": 1.075, "T7_C": 1.69, "T8_C": 2.168, "T9_C": 1.656, "T10_C": 2.23, "T11_C": 1.81, "T12_C": 2, "T13_C": 1.95, "T14_C": 1.85, "T180_C": 1.81, "T181_C": 2}
[2025-08-23 21:38:05] Palma vs Vigo - C Values: {"T1_C": 9.4, "T2_C": 3.76, "T3_C": 1.464, "T4_C": 2.705, "T5_C": 1.29, "T6_C": 1.075, "T7_C": 1.69, "T8_C": 2.168, "T9_C": 1.656, "T10_C": 2.23, "T11_C": 1.81, "T12_C": 2, "T13_C": 2.045, "T14_C": 1.775, "T180_C": 1.81, "T181_C": 2}
[2025-08-23 21:38:24] Palma vs Vigo - C Values: {"T1_C": 10.5, "T2_C": 4.2, "T3_C": 1.38, "T4_C": 3.048, "T5_C": 1.245, "T6_C": 1.06, "T7_C": 1.78, "T8_C": 2.04, "T9_C": 1.72, "T10_C": 2.12, "T11_C": 1.94, "T12_C": 1.86, "T13_C": 2.045, "T14_C": 1.775, "T180_C": 1.94, "T181_C": 1.86}
[2025-08-23 21:38:31] Palma vs Vigo - C Values: {"T1_C": 11.5, "T2_C": 4.12, "T3_C": 1.38, "T4_C": 3.05, "T5_C": 1.255, "T6_C": 1.056, "T7_C": 1.78, "T8_C": 2.04, "T9_C": 1.736, "T10_C": 2.1, "T11_C": 1.94, "T12_C": 1.86, "T13_C": 2.045, "T14_C": 1.775, "T180_C": 1.94, "T181_C": 1.86}
[2025-08-23 21:38:44] Palma vs Vigo - C Values: {"T1_C": 11.5, "T2_C": 4.12, "T3_C": 1.38, "T4_C": 3.05, "T5_C": 1.255, "T6_C": 1.056, "T7_C": 1.78, "T8_C": 2.04, "T9_C": 1.752, "T10_C": 2.075, "T11_C": 1.94, "T12_C": 1.86, "T13_C": 2.045, "T14_C": 1.775, "T180_C": 1.94, "T181_C": 1.86}
[2025-08-23 21:38:50] Palma vs Vigo - C Values: {"T1_C": 10.5, "T2_C": 4.2, "T3_C": 1.38, "T4_C": 3.048, "T5_C": 1.245, "T6_C": 1.06, "T7_C": 1.76, "T8_C": 2.064, "T9_C": 1.752, "T10_C": 2.075, "T11_C": 1.94, "T12_C": 1.86, "T13_C": 2.045, "T14_C": 1.775, "T180_C": 1.94, "T181_C": 1.86}
[2025-08-23 21:38:57] Palma vs Vigo - C Values: {"T1_C": 11.5, "T2_C": 4.12, "T3_C": 1.38, "T4_C": 3.05, "T5_C": 1.255, "T6_C": 1.056, "T7_C": 1.76, "T8_C": 2.064, "T9_C": 1.775, "T10_C": 2.048, "T11_C": 1.94, "T12_C": 1.86, "T13_C": 2.045, "T14_C": 1.775, "T180_C": 1.94, "T181_C": 1.86}
[2025-08-23 21:39:25] Palma vs Vigo - C Values: {"T1_C": 11.5, "T2_C": 4.12, "T3_C": 1.38, "T4_C": 3.05, "T5_C": 1.255, "T6_C": 1.056, "T7_C": 1.76, "T8_C": 2.064, "T9_C": 1.79, "T10_C": 2.02, "T11_C": 1.992, "T12_C": 1.816, "T13_C": 2.136, "T14_C": 1.71, "T180_C": 1.992, "T181_C": 1.816}
[2025-08-23 21:40:03] Palma vs Vigo - C Values: {"T1_C": 11.5, "T2_C": 4.12, "T3_C": 1.38, "T4_C": 3.05, "T5_C": 1.255, "T6_C": 1.056, "T7_C": 1.76, "T8_C": 2.064, "T9_C": 1.816, "T10_C": 1.99, "T11_C": 1.992, "T12_C": 1.816, "T13_C": 2.136, "T14_C": 1.71, "T180_C": 1.992, "T181_C": 1.816}
[2025-08-23 21:40:23] Palma vs Vigo - C Values: {"T1_C": 11.5, "T2_C": 4.12, "T3_C": 1.38, "T4_C": 3.05, "T5_C": 1.255, "T6_C": 1.056, "T7_C": 1.76, "T8_C": 2.064, "T9_C": 1.84, "T10_C": 1.965, "T11_C": 1.992, "T12_C": 1.816, "T13_C": 2.136, "T14_C": 1.71, "T180_C": 1.992, "T181_C": 1.816}
[2025-08-23 21:40:37] Palma vs Vigo - C Values: {"T1_C": 11.5, "T2_C": 4.12, "T3_C": 1.38, "T4_C": 3.05, "T5_C": 1.255, "T6_C": 1.056, "T7_C": 1.74, "T8_C": 2.096, "T9_C": 1.84, "T10_C": 1.965, "T11_C": 1.992, "T12_C": 1.816, "T13_C": 2.136, "T14_C": 1.71, "T180_C": 1.992, "T181_C": 1.816}
[2025-08-23 21:41:03] Palma vs Vigo - C Values: {"T1_C": 10, "T2_C": 4, "T3_C": 1.416, "T4_C": 2.9, "T5_C": 1.264, "T6_C": 1.065, "T7_C": 1.71, "T8_C": 2.14, "T9_C": 1.84, "T10_C": 1.965, "T11_C": 1.992, "T12_C": 1.816, "T13_C": 2.136, "T14_C": 1.71, "T180_C": 1.992, "T181_C": 1.816}
[2025-08-23 21:41:17] Palma vs Vigo - C Values: {"T1_C": 10.5, "T2_C": 4.2, "T3_C": 1.38, "T4_C": 3.048, "T5_C": 1.245, "T6_C": 1.06, "T7_C": 1.71, "T8_C": 2.14, "T9_C": 1.864, "T10_C": 1.936, "T11_C": 1.992, "T12_C": 1.816, "T13_C": 2.2, "T14_C": 1.67, "T180_C": 1.992, "T181_C": 1.816}
[2025-08-23 21:41:24] Palma vs Vigo - C Values: {"T1_C": 11.5, "T2_C": 4.12, "T3_C": 1.38, "T4_C": 3.05, "T5_C": 1.255, "T6_C": 1.056, "T7_C": 1.71, "T8_C": 2.14, "T9_C": 1.864, "T10_C": 1.936, "T11_C": 1.992, "T12_C": 1.816, "T13_C": 2.2, "T14_C": 1.67, "T180_C": 1.992, "T181_C": 1.816}
[2025-08-23 21:41:31] Palma vs Vigo - C Values: {"T1_C": 10.5, "T2_C": 3.9, "T3_C": 1.42, "T4_C": 2.875, "T5_C": 1.275, "T6_C": 1.064, "T7_C": 1.67, "T8_C": 2.2, "T9_C": 1.79, "T10_C": 2.02, "T11_C": 1.94, "T12_C": 1.86, "T13_C": 2.136, "T14_C": 1.71, "T180_C": 1.94, "T181_C": 1.86}
[2025-08-23 21:41:38] Palma vs Vigo - C Values: {"T1_C": 10.5, "T2_C": 3.9, "T3_C": 1.42, "T4_C": 2.875, "T5_C": 1.275, "T6_C": 1.064, "T7_C": 1.67, "T8_C": 2.2, "T9_C": 1.79, "T10_C": 2.02, "T11_C": 1.94, "T12_C": 1.86, "T13_C": 2.2, "T14_C": 1.67, "T180_C": 1.94, "T181_C": 1.86}
[2025-08-23 21:41:44] Palma vs Vigo - C Values: {"T1_C": 10.5, "T2_C": 3.9, "T3_C": 1.42, "T4_C": 2.875, "T5_C": 1.275, "T6_C": 1.064, "T7_C": 1.67, "T8_C": 2.2, "T9_C": 1.816, "T10_C": 1.99, "T11_C": 1.94, "T12_C": 1.86, "T13_C": 2.2, "T14_C": 1.67, "T180_C": 1.94, "T181_C": 1.86}
[2025-08-23 21:42:12] Palma vs Vigo - C Values: {"T1_C": 10, "T2_C": 4, "T3_C": 1.416, "T4_C": 2.9, "T5_C": 1.264, "T6_C": 1.065, "T7_C": 1.69, "T8_C": 2.168, "T9_C": 1.896, "T10_C": 1.904, "T11_C": 1.992, "T12_C": 1.816, "T13_C": 2.2, "T14_C": 1.67, "T180_C": 1.992, "T181_C": 1.816}
[2025-08-23 21:42:27] Palma vs Vigo - C Values: {"T1_C": 11.5, "T2_C": 4.12, "T3_C": 1.38, "T4_C": 3.05, "T5_C": 1.255, "T6_C": 1.056, "T7_C": 1.71, "T8_C": 2.14, "T9_C": 1.925, "T10_C": 1.875, "T11_C": 1.992, "T12_C": 1.816, "T13_C": 2.2, "T14_C": 1.67, "T180_C": 1.992, "T181_C": 1.816}
[2025-08-23 21:42:53] Palma vs Vigo - C Values: {"T1_C": 11.5, "T2_C": 4.12, "T3_C": 1.38, "T4_C": 3.05, "T5_C": 1.255, "T6_C": 1.056, "T7_C": 1.71, "T8_C": 2.14, "T9_C": 1.955, "T10_C": 1.848, "T11_C": 2.045, "T12_C": 1.775, "T13_C": 2.2, "T14_C": 1.67, "T180_C": 2.045, "T181_C": 1.775}
[2025-08-23 21:43:24] Palma vs Vigo - C Values: {"T1_C": 11.5, "T2_C": 4.12, "T3_C": 1.38, "T4_C": 3.05, "T5_C": 1.255, "T6_C": 1.056, "T7_C": 1.74, "T8_C": 2.096, "T9_C": 1.99, "T10_C": 1.82, "T11_C": 2.045, "T12_C": 1.775, "T13_C": 2.2, "T14_C": 1.67, "T180_C": 2.045, "T181_C": 1.775}
[2025-08-23 21:43:31] Palma vs Vigo - C Values: {"T1_C": 12, "T2_C": 4.04, "T3_C": 1.38, "T4_C": 3.055, "T5_C": 1.26, "T6_C": 1.05, "T7_C": 1.78, "T8_C": 2.04, "T9_C": 1.955, "T10_C": 1.848, "T11_C": 2.045, "T12_C": 1.775, "T13_C": 2.2, "T14_C": 1.67, "T180_C": 2.045, "T181_C": 1.775}
[2025-08-23 21:43:43] Palma vs Vigo - C Values: {"T1_C": 13, "T2_C": 4.26, "T3_C": 1.344, "T4_C": 3.232, "T5_C": 1.24, "T6_C": 1.045, "T7_C": 1.78, "T8_C": 2.04, "T9_C": 1.955, "T10_C": 1.848, "T11_C": 2.045, "T12_C": 1.775, "T13_C": 2.2, "T14_C": 1.67, "T180_C": 2.045, "T181_C": 1.775}
[2025-08-23 21:43:56] Palma vs Vigo - C Values: {"T1_C": 12, "T2_C": 4.04, "T3_C": 1.38, "T4_C": 3.055, "T5_C": 1.26, "T6_C": 1.05, "T7_C": 1.74, "T8_C": 2.096, "T9_C": 2.02, "T10_C": 1.79, "T11_C": 2.045, "T12_C": 1.775, "T13_C": 2.2, "T14_C": 1.67, "T180_C": 2.045, "T181_C": 1.775}
[2025-08-23 21:44:21] Palma vs Vigo - C Values: {"T1_C": 13, "T2_C": 4.26, "T3_C": 1.344, "T4_C": 3.232, "T5_C": 1.24, "T6_C": 1.045, "T7_C": 1.76, "T8_C": 2.064, "T9_C": 2.02, "T10_C": 1.79, "T11_C": 2.136, "T12_C": 1.71, "T13_C": 2.2, "T14_C": 1.67, "T180_C": 2.136, "T181_C": 1.71}
[2025-08-23 21:44:28] Palma vs Vigo - C Values: {"T1_C": 13, "T2_C": 4.26, "T3_C": 1.344, "T4_C": 3.232, "T5_C": 1.24, "T6_C": 1.045, "T7_C": 1.76, "T8_C": 2.064, "T9_C": 2.06, "T10_C": 1.765, "T11_C": 2.136, "T12_C": 1.71, "T13_C": 2.2, "T14_C": 1.67, "T180_C": 2.136, "T181_C": 1.71}
[2025-08-23 21:44:47] Palma vs Vigo - C Values: {"T1_C": 12, "T2_C": 4.04, "T3_C": 1.38, "T4_C": 3.055, "T5_C": 1.26, "T6_C": 1.05, "T7_C": 1.74, "T8_C": 2.096, "T9_C": 2.06, "T10_C": 1.765, "T11_C": 2.136, "T12_C": 1.71, "T13_C": 2.305, "T14_C": 1.616, "T180_C": 2.136, "T181_C": 1.71}
[2025-08-23 21:44:59] Palma vs Vigo - C Values: {"T1_C": 13, "T2_C": 4.26, "T3_C": 1.344, "T4_C": 3.232, "T5_C": 1.24, "T6_C": 1.045, "T7_C": 1.74, "T8_C": 2.096, "T9_C": 2.1, "T10_C": 1.736, "T11_C": 2.136, "T12_C": 1.71, "T13_C": 2.305, "T14_C": 1.616, "T180_C": 2.136, "T181_C": 1.71}
[2025-08-23 21:45:33] Palma vs Vigo - C Values: {"T1_C": 13, "T2_C": 4.26, "T3_C": 1.344, "T4_C": 3.232, "T5_C": 1.24, "T6_C": 1.045, "T7_C": 1.74, "T8_C": 2.096, "T9_C": 2.144, "T10_C": 1.704, "T11_C": 2.136, "T12_C": 1.71, "T13_C": 2.305, "T14_C": 1.616, "T180_C": 2.136, "T181_C": 1.71}
[2025-08-23 21:45:36] Palma vs Vigo - C Values: {"T1_C": 13, "T2_C": 4.26, "T3_C": 1.344, "T4_C": 3.232, "T5_C": 1.24, "T6_C": 1.045, "T7_C": 1.74, "T8_C": 2.096, "T9_C": 2.192, "T10_C": 1.675, "T11_C": 2.136, "T12_C": 1.71, "T13_C": 2.305, "T14_C": 1.616, "T180_C": 2.136, "T181_C": 1.71}
[2025-08-23 21:46:19] Palma vs Vigo - C Values: {"T1_C": 13, "T2_C": 4.26, "T3_C": 1.344, "T4_C": 3.232, "T5_C": 1.24, "T6_C": 1.045, "T7_C": 1.74, "T8_C": 2.096, "T9_C": 2.24, "T10_C": 1.65, "T11_C": 2.136, "T12_C": 1.71, "T13_C": 2.41, "T14_C": 1.568, "T180_C": 2.136, "T181_C": 1.71}
[2025-08-23 21:46:47] Palma vs Vigo - C Values: {"T1_C": 14, "T2_C": 4.3, "T3_C": 1.33, "T4_C": 3.304, "T5_C": 1.235, "T6_C": 1.04, "T7_C": 1.76, "T8_C": 2.064, "T9_C": 2.296, "T10_C": 1.62, "T11_C": 2.2, "T12_C": 1.67, "T13_C": 2.41, "T14_C": 1.568, "T180_C": 2.2, "T181_C": 1.67}
[2025-08-23 21:47:36] Palma vs Vigo - C Values: {"T1_C": 14, "T2_C": 4.3, "T3_C": 1.33, "T4_C": 3.304, "T5_C": 1.235, "T6_C": 1.04, "T7_C": 1.76, "T8_C": 2.064, "T9_C": 2.352, "T10_C": 1.592, "T11_C": 2.2, "T12_C": 1.67, "T13_C": 2.41, "T14_C": 1.568, "T180_C": 2.2, "T181_C": 1.67}
[2025-08-23 21:48:09] Palma vs Vigo - C Values: {"T1_C": 14, "T2_C": 4.3, "T3_C": 1.33, "T4_C": 3.304, "T5_C": 1.235, "T6_C": 1.04, "T7_C": 1.74, "T8_C": 2.096, "T9_C": 2.352, "T10_C": 1.592, "T11_C": 2.2, "T12_C": 1.67, "T13_C": 2.41, "T14_C": 1.568, "T180_C": 2.2, "T181_C": 1.67}
[2025-08-23 21:48:14] Palma vs Vigo - C Values: {"T1_C": 14, "T2_C": 4.3, "T3_C": 1.33, "T4_C": 3.304, "T5_C": 1.235, "T6_C": 1.04, "T7_C": 1.76, "T8_C": 2.064, "T9_C": 2.352, "T10_C": 1.592, "T11_C": 2.305, "T12_C": 1.616, "T13_C": 2.41, "T14_C": 1.568, "T180_C": 2.305, "T181_C": 1.616}
[2025-08-23 21:48:27] Palma vs Vigo - C Values: {"T1_C": 14.5, "T2_C": 4.52, "T3_C": 1.31, "T4_C": 3.464, "T5_C": 1.22, "T6_C": 1.035, "T7_C": 1.76, "T8_C": 2.064, "T9_C": 2.42, "T10_C": 1.565, "T11_C": 2.305, "T12_C": 1.616, "T13_C": 2.41, "T14_C": 1.568, "T180_C": 2.305, "T181_C": 1.616}
[2025-08-23 21:49:06] Palma vs Vigo - C Values: {"T1_C": 14.5, "T2_C": 4.52, "T3_C": 1.31, "T4_C": 3.464, "T5_C": 1.22, "T6_C": 1.035, "T7_C": 1.76, "T8_C": 2.064, "T9_C": 1.58, "T10_C": 2.384, "T11_C": 2.305, "T12_C": 1.616, "T13_C": 2.55, "T14_C": 1.512, "T180_C": 2.305, "T181_C": 1.616}
[2025-08-23 21:49:56] Palma vs Vigo - C Values: {"T1_C": 16, "T2_C": 4.4, "T3_C": 1.31, "T4_C": 3.47, "T5_C": 1.23, "T6_C": 1.03, "T7_C": 1.76, "T8_C": 2.064, "T9_C": 1.58, "T10_C": 2.384, "T11_C": 2.41, "T12_C": 1.568, "T13_C": 2.55, "T14_C": 1.512, "T180_C": 2.41, "T181_C": 1.568}
[2025-08-23 21:51:03] Palma vs Vigo - C Values: {"T1_C": 16, "T2_C": 4.4, "T3_C": 1.31, "T4_C": 3.47, "T5_C": 1.23, "T6_C": 1.03, "T7_C": 1.74, "T8_C": 2.096, "T9_C": 1.63, "T10_C": 2.28, "T11_C": 2.41, "T12_C": 1.568, "T13_C": 2.55, "T14_C": 1.512, "T180_C": 2.41, "T181_C": 1.568}
[2025-08-23 21:51:34] Palma vs Vigo - C Values: {"T1_C": 16, "T2_C": 4.4, "T3_C": 1.31, "T4_C": 3.47, "T5_C": 1.23, "T6_C": 1.03, "T7_C": 1.74, "T8_C": 2.096, "T9_C": 1.63, "T10_C": 2.28, "T11_C": 2.41, "T12_C": 1.568, "T13_C": 2.68, "T14_C": 1.47, "T180_C": 2.41, "T181_C": 1.568}
[2025-08-23 21:52:34] Palma vs Vigo - C Values: {"T1_C": 16, "T2_C": 4.54, "T3_C": 1.29, "T4_C": 3.58, "T5_C": 1.22, "T6_C": 1.03, "T7_C": 1.78, "T8_C": 2.04, "T9_C": 1.63, "T10_C": 2.28, "T11_C": 2.41, "T12_C": 1.568, "T13_C": 2.55, "T14_C": 1.512, "T180_C": 2.41, "T181_C": 1.568}
[2025-08-23 21:52:41] Palma vs Vigo - C Values: {"T1_C": 17, "T2_C": 4.48, "T3_C": 1.29, "T4_C": 3.6, "T5_C": 1.225, "T6_C": 1.025, "T7_C": 1.78, "T8_C": 2.04, "T9_C": 1.685, "T10_C": 2.175, "T11_C": 2.55, "T12_C": 1.512, "T13_C": 2.68, "T14_C": 1.47, "T180_C": 2.55, "T181_C": 1.512}
[2025-08-23 21:52:48] Palma vs Vigo - C Values: {"T1_C": 16, "T2_C": 4.54, "T3_C": 1.29, "T4_C": 3.58, "T5_C": 1.22, "T6_C": 1.03, "T7_C": 1.76, "T8_C": 2.064, "T9_C": 1.685, "T10_C": 2.175, "T11_C": 2.55, "T12_C": 1.512, "T13_C": 2.68, "T14_C": 1.47, "T180_C": 2.55, "T181_C": 1.512}
